candidate_profile_count,exact,fault_count,minimum_profile_count,reason,reduction_count,reduction_fraction,scenario,selected_profile_fault_ids,solve_ms,solver
80,True,80,80,,0,0.0,M_RING,l_SW_C01_CC_SW_C01_M01_ACT;l_SW_C01_CC_SW_C08_M03_SENS;l_SW_C01_M01_ACT_SW_C01_M01_CTRL;l_SW_C01_M01_CTRL_SW_C01_M01_SENS;l_SW_C01_M01_SENS_SW_C01_M02_ACT;l_SW_C01_M02_ACT_SW_C01_M02_CTRL;l_SW_C01_M02_CTRL_SW_C01_M02_SENS;l_SW_C01_M02_SENS_SW_C01_M03_ACT;l_SW_C01_M03_ACT_SW_C01_M03_CTRL;l_SW_C01_M03_CTRL_SW_C01_M03_SENS;l_SW_C01_M03_SENS_SW_C02_CC;l_SW_C02_CC_SW_C02_M01_ACT;l_SW_C02_M01_ACT_SW_C02_M01_CTRL;l_SW_C02_M01_CTRL_SW_C02_M01_SENS;l_SW_C02_M01_SENS_SW_C02_M02_ACT;l_SW_C02_M02_ACT_SW_C02_M02_CTRL;l_SW_C02_M02_CTRL_SW_C02_M02_SENS;l_SW_C02_M02_SENS_SW_C02_M03_ACT;l_SW_C02_M03_ACT_SW_C02_M03_CTRL;l_SW_C02_M03_CTRL_SW_C02_M03_SENS;l_SW_C02_M03_SENS_SW_C03_CC;l_SW_C03_CC_SW_C03_M01_ACT;l_SW_C03_M01_ACT_SW_C03_M01_CTRL;l_SW_C03_M01_CTRL_SW_C03_M01_SENS;l_SW_C03_M01_SENS_SW_C03_M02_ACT;l_SW_C03_M02_ACT_SW_C03_M02_CTRL;l_SW_C03_M02_CTRL_SW_C03_M02_SENS;l_SW_C03_M02_SENS_SW_C03_M03_ACT;l_SW_C03_M03_ACT_SW_C03_M03_CTRL;l_SW_C03_M03_CTRL_SW_C03_M03_SENS;l_SW_C03_M03_SENS_SW_C04_CC;l_SW_C04_CC_SW_C04_M01_ACT;l_SW_C04_M01_ACT_SW_C04_M01_CTRL;l_SW_C04_M01_CTRL_SW_C04_M01_SENS;l_SW_C04_M01_SENS_SW_C04_M02_ACT;l_SW_C04_M02_ACT_SW_C04_M02_CTRL;l_SW_C04_M02_CTRL_SW_C04_M02_SENS;l_SW_C04_M02_SENS_SW_C04_M03_ACT;l_SW_C04_M03_ACT_SW_C04_M03_CTRL;l_SW_C04_M03_CTRL_SW_C04_M03_SENS;l_SW_C04_M03_SENS_SW_C05_CC;l_SW_C05_CC_SW_C05_M01_ACT;l_SW_C05_M01_ACT_SW_C05_M01_CTRL;l_SW_C05_M01_CTRL_SW_C05_M01_SENS;l_SW_C05_M01_SENS_SW_C05_M02_ACT;l_SW_C05_M02_ACT_SW_C05_M02_CTRL;l_SW_C05_M02_CTRL_SW_C05_M02_SENS;l_SW_C05_M02_SENS_SW_C05_M03_ACT;l_SW_C05_M03_ACT_SW_C05_M03_CTRL;l_SW_C05_M03_CTRL_SW_C05_M03_SENS;l_SW_C05_M03_SENS_SW_C06_CC;l_SW_C06_CC_SW_C06_M01_ACT;l_SW_C06_M01_ACT_SW_C06_M01_CTRL;l_SW_C06_M01_CTRL_SW_C06_M01_SENS;l_SW_C06_M01_SENS_SW_C06_M02_ACT;l_SW_C06_M02_ACT_SW_C06_M02_CTRL;l_SW_C06_M02_CTRL_SW_C06_M02_SENS;l_SW_C06_M02_SENS_SW_C06_M03_ACT;l_SW_C06_M03_ACT_SW_C06_M03_CTRL;l_SW_C06_M03_CTRL_SW_C06_M03_SENS;l_SW_C06_M03_SENS_SW_C07_CC;l_SW_C07_CC_SW_C07_M01_ACT;l_SW_C07_M01_ACT_SW_C07_M01_CTRL;l_SW_C07_M01_CTRL_SW_C07_M01_SENS;l_SW_C07_M01_SENS_SW_C07_M02_ACT;l_SW_C07_M02_ACT_SW_C07_M02_CTRL;l_SW_C07_M02_CTRL_SW_C07_M02_SENS;l_SW_C07_M02_SENS_SW_C07_M03_ACT;l_SW_C07_M03_ACT_SW_C07_M03_CTRL;l_SW_C07_M03_CTRL_SW_C07_M03_SENS;l_SW_C07_M03_SENS_SW_C08_CC;l_SW_C08_CC_SW_C08_M01_ACT;l_SW_C08_M01_ACT_SW_C08_M01_CTRL;l_SW_C08_M01_CTRL_SW_C08_M01_SENS;l_SW_C08_M01_SENS_SW_C08_M02_ACT;l_SW_C08_M02_ACT_SW_C08_M02_CTRL;l_SW_C08_M02_CTRL_SW_C08_M02_SENS;l_SW_C08_M02_SENS_SW_C08_M03_ACT;l_SW_C08_M03_ACT_SW_C08_M03_CTRL;l_SW_C08_M03_CTRL_SW_C08_M03_SENS,98.53668099094648,z3 5.1.0
101,True,128,64,,64,0.5,M_REDSTAR,l_SW_C01_CC_SW_C01_CORE_A;l_SW_C01_CC_SW_C01_CORE_B;l_SW_C01_CORE_A_SW_C01_M01_CTRL;l_SW_C01_CORE_A_SW_C01_M02_CTRL;l_SW_C01_CORE_A_SW_C01_M03_CTRL;l_SW_C01_CORE_B_SW_C01_M01_CTRL;l_SW_C01_CORE_B_SW_C01_M02_CTRL;l_SW_C01_CORE_B_SW_C01_M03_CTRL;l_SW_C02_CC_SW_C02_CORE_A;l_SW_C02_CC_SW_C02_CORE_B;l_SW_C02_CORE_A_SW_C02_M01_CTRL;l_SW_C02_CORE_A_SW_C02_M02_CTRL;l_SW_C02_CORE_A_SW_C02_M03_CTRL;l_SW_C02_CORE_B_SW_C02_M01_CTRL;l_SW_C02_CORE_B_SW_C02_M02_CTRL;l_SW_C02_CORE_B_SW_C02_M03_CTRL;l_SW_C03_CC_SW_C03_CORE_A;l_SW_C03_CC_SW_C03_CORE_B;l_SW_C03_CORE_A_SW_C03_M01_CTRL;l_SW_C03_CORE_A_SW_C03_M02_CTRL;l_SW_C03_CORE_A_SW_C03_M03_CTRL;l_SW_C03_CORE_B_SW_C03_M01_CTRL;l_SW_C03_CORE_B_SW_C03_M02_CTRL;l_SW_C03_CORE_B_SW_C03_M03_CTRL;l_SW_C04_CC_SW_C04_CORE_A;l_SW_C04_CC_SW_C04_CORE_B;l_SW_C04_CORE_A_SW_C04_M01_CTRL;l_SW_C04_CORE_A_SW_C04_M02_CTRL;l_SW_C04_CORE_A_SW_C04_M03_CTRL;l_SW_C04_CORE_B_SW_C04_M01_CTRL;l_SW_C04_CORE_B_SW_C04_M02_CTRL;l_SW_C04_CORE_B_SW_C04_M03_CTRL;l_SW_C05_CC_SW_C05_CORE_A;l_SW_C05_CC_SW_C05_CORE_B;l_SW_C05_CORE_A_SW_C05_M01_CTRL;l_SW_C05_CORE_A_SW_C05_M02_CTRL;l_SW_C05_CORE_A_SW_C05_M03_CTRL;l_SW_C05_CORE_B_SW_C05_M01_CTRL;l_SW_C05_CORE_B_SW_C05_M02_CTRL;l_SW_C05_CORE_B_SW_C05_M03_CTRL;l_SW_C06_CC_SW_C06_CORE_A;l_SW_C06_CC_SW_C06_CORE_B;l_SW_C06_CORE_A_SW_C06_M01_CTRL;l_SW_C06_CORE_A_SW_C06_M02_CTRL;l_SW_C06_CORE_A_SW_C06_M03_CTRL;l_SW_C06_CORE_B_SW_C06_M01_CTRL;l_SW_C06_CORE_B_SW_C06_M02_CTRL;l_SW_C06_CORE_B_SW_C06_M03_CTRL;l_SW_C07_CC_SW_C07_CORE_A;l_SW_C07_CC_SW_C07_CORE_B;l_SW_C07_CORE_A_SW_C07_M01_CTRL;l_SW_C07_CORE_A_SW_C07_M02_CTRL;l_SW_C07_CORE_A_SW_C07_M03_CTRL;l_SW_C07_CORE_B_SW_C07_M01_CTRL;l_SW_C07_CORE_B_SW_C07_M02_CTRL;l_SW_C07_CORE_B_SW_C07_M03_CTRL;l_SW_C08_CC_SW_C08_CORE_A;l_SW_C08_CC_SW_C08_CORE_B;l_SW_C08_CORE_A_SW_C08_M01_CTRL;l_SW_C08_CORE_A_SW_C08_M02_CTRL;l_SW_C08_CORE_A_SW_C08_M03_CTRL;l_SW_C08_CORE_B_SW_C08_M01_CTRL;l_SW_C08_CORE_B_SW_C08_M02_CTRL;l_SW_C08_CORE_B_SW_C08_M03_CTRL,151.20878799643833,z3 5.1.0
110,True,110,88,,22,0.19999999999999996,M_ROR,l_SW_BB_C01_A_SW_BB_C08_B;l_SW_BB_C01_A_SW_C01_CC;l_SW_BB_C01_B_SW_BB_C02_A;l_SW_BB_C02_A_SW_C02_CC;l_SW_BB_C02_B_SW_BB_C03_A;l_SW_BB_C03_A_SW_C03_CC;l_SW_BB_C03_B_SW_BB_C04_A;l_SW_BB_C04_A_SW_C04_CC;l_SW_BB_C04_B_SW_BB_C05_A;l_SW_BB_C05_A_SW_C05_CC;l_SW_BB_C05_B_SW_BB_C06_A;l_SW_BB_C06_A_SW_C06_CC;l_SW_BB_C06_B_SW_BB_C07_A;l_SW_BB_C07_A_SW_C07_CC;l_SW_BB_C07_B_SW_BB_C08_A;l_SW_BB_C08_A_SW_C08_CC;l_SW_C01_CC_SW_C01_M01_ACT;l_SW_C01_CC_SW_C01_M03_SENS;l_SW_C01_M01_ACT_SW_C01_M01_CTRL;l_SW_C01_M01_CTRL_SW_C01_M01_SENS;l_SW_C01_M02_ACT_SW_C01_M02_CTRL;l_SW_C01_M02_CTRL_SW_C01_M02_SENS;l_SW_C01_M02_SENS_SW_C01_M03_ACT;l_SW_C01_M03_ACT_SW_C01_M03_CTRL;l_SW_C01_M03_CTRL_SW_C01_M03_SENS;l_SW_C02_CC_SW_C02_M01_ACT;l_SW_C02_CC_SW_C02_M03_SENS;l_SW_C02_M01_ACT_SW_C02_M01_CTRL;l_SW_C02_M01_CTRL_SW_C02_M01_SENS;l_SW_C02_M02_ACT_SW_C02_M02_CTRL;l_SW_C02_M02_CTRL_SW_C02_M02_SENS;l_SW_C02_M02_SENS_SW_C02_M03_ACT;l_SW_C02_M03_ACT_SW_C02_M03_CTRL;l_SW_C02_M03_CTRL_SW_C02_M03_SENS;l_SW_C03_CC_SW_C03_M01_ACT;l_SW_C03_CC_SW_C03_M03_SENS;l_SW_C03_M01_ACT_SW_C03_M01_CTRL;l_SW_C03_M01_CTRL_SW_C03_M01_SENS;l_SW_C03_M02_ACT_SW_C03_M02_CTRL;l_SW_C03_M02_CTRL_SW_C03_M02_SENS;l_SW_C03_M02_SENS_SW_C03_M03_ACT;l_SW_C03_M03_ACT_SW_C03_M03_CTRL;l_SW_C03_M03_CTRL_SW_C03_M03_SENS;l_SW_C04_CC_SW_C04_M01_ACT;l_SW_C04_CC_SW_C04_M03_SENS;l_SW_C04_M01_ACT_SW_C04_M01_CTRL;l_SW_C04_M01_CTRL_SW_C04_M01_SENS;l_SW_C04_M02_ACT_SW_C04_M02_CTRL;l_SW_C04_M02_CTRL_SW_C04_M02_SENS;l_SW_C04_M02_SENS_SW_C04_M03_ACT;l_SW_C04_M03_ACT_SW_C04_M03_CTRL;l_SW_C04_M03_CTRL_SW_C04_M03_SENS;l_SW_C05_CC_SW_C05_M01_ACT;l_SW_C05_CC_SW_C05_M03_SENS;l_SW_C05_M01_ACT_SW_C05_M01_CTRL;l_SW_C05_M01_CTRL_SW_C05_M01_SENS;l_SW_C05_M02_ACT_SW_C05_M02_CTRL;l_SW_C05_M02_CTRL_SW_C05_M02_SENS;l_SW_C05_M02_SENS_SW_C05_M03_ACT;l_SW_C05_M03_ACT_SW_C05_M03_CTRL;l_SW_C05_M03_CTRL_SW_C05_M03_SENS;l_SW_C06_CC_SW_C06_M01_ACT;l_SW_C06_CC_SW_C06_M03_SENS;l_SW_C06_M01_ACT_SW_C06_M01_CTRL;l_SW_C06_M01_CTRL_SW_C06_M01_SENS;l_SW_C06_M02_ACT_SW_C06_M02_CTRL;l_SW_C06_M02_CTRL_SW_C06_M02_SENS;l_SW_C06_M02_SENS_SW_C06_M03_ACT;l_SW_C06_M03_ACT_SW_C06_M03_CTRL;l_SW_C06_M03_CTRL_SW_C06_M03_SENS;l_SW_C07_CC_SW_C07_M01_ACT;l_SW_C07_CC_SW_C07_M03_SENS;l_SW_C07_M01_ACT_SW_C07_M01_CTRL;l_SW_C07_M01_CTRL_SW_C07_M01_SENS;l_SW_C07_M02_ACT_SW_C07_M02_CTRL;l_SW_C07_M02_CTRL_SW_C07_M02_SENS;l_SW_C07_M02_SENS_SW_C07_M03_ACT;l_SW_C07_M03_ACT_SW_C07_M03_CTRL;l_SW_C07_M03_CTRL_SW_C07_M03_SENS;l_SW_C08_CC_SW_C08_M01_ACT;l_SW_C08_CC_SW_C08_M03_SENS;l_SW_C08_M01_ACT_SW_C08_M01_CTRL;l_SW_C08_M01_CTRL_SW_C08_M01_SENS;l_SW_C08_M02_ACT_SW_C08_M02_CTRL;l_SW_C08_M02_CTRL_SW_C08_M02_SENS;l_SW_C08_M02_SENS_SW_C08_M03_ACT;l_SW_C08_M03_ACT_SW_C08_M03_CTRL;l_SW_C08_M03_CTRL_SW_C08_M03_SENS,139.69178499246482,z3 5.1.0
208,True,208,208,,0,0.0,L_RING,l_SW_C01_CC_SW_C01_M01_ACT;l_SW_C01_CC_SW_C16_M04_SENS;l_SW_C01_M01_ACT_SW_C01_M01_CTRL;l_SW_C01_M01_CTRL_SW_C01_M01_SENS;l_SW_C01_M01_SENS_SW_C01_M02_ACT;l_SW_C01_M02_ACT_SW_C01_M02_CTRL;l_SW_C01_M02_CTRL_SW_C01_M02_SENS;l_SW_C01_M02_SENS_SW_C01_M03_ACT;l_SW_C01_M03_ACT_SW_C01_M03_CTRL;l_SW_C01_M03_CTRL_SW_C01_M03_SENS;l_SW_C01_M03_SENS_SW_C01_M04_ACT;l_SW_C01_M04_ACT_SW_C01_M04_CTRL;l_SW_C01_M04_CTRL_SW_C01_M04_SENS;l_SW_C01_M04_SENS_SW_C02_CC;l_SW_C02_CC_SW_C02_M01_ACT;l_SW_C02_M01_ACT_SW_C02_M01_CTRL;l_SW_C02_M01_CTRL_SW_C02_M01_SENS;l_SW_C02_M01_SENS_SW_C02_M02_ACT;l_SW_C02_M02_ACT_SW_C02_M02_CTRL;l_SW_C02_M02_CTRL_SW_C02_M02_SENS;l_SW_C02_M02_SENS_SW_C02_M03_ACT;l_SW_C02_M03_ACT_SW_C02_M03_CTRL;l_SW_C02_M03_CTRL_SW_C02_M03_SENS;l_SW_C02_M03_SENS_SW_C02_M04_ACT;l_SW_C02_M04_ACT_SW_C02_M04_CTRL;l_SW_C02_M04_CTRL_SW_C02_M04_SENS;l_SW_C02_M04_SENS_SW_C03_CC;l_SW_C03_CC_SW_C03_M01_ACT;l_SW_C03_M01_ACT_SW_C03_M01_CTRL;l_SW_C03_M01_CTRL_SW_C03_M01_SENS;l_SW_C03_M01_SENS_SW_C03_M02_ACT;l_SW_C03_M02_ACT_SW_C03_M02_CTRL;l_SW_C03_M02_CTRL_SW_C03_M02_SENS;l_SW_C03_M02_SENS_SW_C03_M03_ACT;l_SW_C03_M03_ACT_SW_C03_M03_CTRL;l_SW_C03_M03_CTRL_SW_C03_M03_SENS;l_SW_C03_M03_SENS_SW_C03_M04_ACT;l_SW_C03_M04_ACT_SW_C03_M04_CTRL;l_SW_C03_M04_CTRL_SW_C03_M04_SENS;l_SW_C03_M04_SENS_SW_C04_CC;l_SW_C04_CC_SW_C04_M01_ACT;l_SW_C04_M01_ACT_SW_C04_M01_CTRL;l_SW_C04_M01_CTRL_SW_C04_M01_SENS;l_SW_C04_M01_SENS_SW_C04_M02_ACT;l_SW_C04_M02_ACT_SW_C04_M02_CTRL;l_SW_C04_M02_CTRL_SW_C04_M02_SENS;l_SW_C04_M02_SENS_SW_C04_M03_ACT;l_SW_C04_M03_ACT_SW_C04_M03_CTRL;l_SW_C04_M03_CTRL_SW_C04_M03_SENS;l_SW_C04_M03_SENS_SW_C04_M04_ACT;l_SW_C04_M04_ACT_SW_C04_M04_CTRL;l_SW_C04_M04_CTRL_SW_C04_M04_SENS;l_SW_C04_M04_SENS_SW_C05_CC;l_SW_C05_CC_SW_C05_M01_ACT;l_SW_C05_M01_ACT_SW_C05_M01_CTRL;l_SW_C05_M01_CTRL_SW_C05_M01_SENS;l_SW_C05_M01_SENS_SW_C05_M02_ACT;l_SW_C05_M02_ACT_SW_C05_M02_CTRL;l_SW_C05_M02_CTRL_SW_C05_M02_SENS;l_SW_C05_M02_SENS_SW_C05_M03_ACT;l_SW_C05_M03_ACT_SW_C05_M03_CTRL;l_SW_C05_M03_CTRL_SW_C05_M03_SENS;l_SW_C05_M03_SENS_SW_C05_M04_ACT;l_SW_C05_M04_ACT_SW_C05_M04_CTRL;l_SW_C05_M04_CTRL_SW_C05_M04_SENS;l_SW_C05_M04_SENS_SW_C06_CC;l_SW_C06_CC_SW_C06_M01_ACT;l_SW_C06_M01_ACT_SW_C06_M01_CTRL;l_SW_C06_M01_CTRL_SW_C06_M01_SENS;l_SW_C06_M01_SENS_SW_C06_M02_ACT;l_SW_C06_M02_ACT_SW_C06_M02_CTRL;l_SW_C06_M02_CTRL_SW_C06_M02_SENS;l_SW_C06_M02_SENS_SW_C06_M03_ACT;l_SW_C06_M03_ACT_SW_C06_M03_CTRL;l_SW_C06_M03_CTRL_SW_C06_M03_SENS;l_SW_C06_M03_SENS_SW_C06_M04_ACT;l_SW_C06_M04_ACT_SW_C06_M04_CTRL;l_SW_C06_M04_CTRL_SW_C06_M04_SENS;l_SW_C06_M04_SENS_SW_C07_CC;l_SW_C07_CC_SW_C07_M01_ACT;l_SW_C07_M01_ACT_SW_C07_M01_CTRL;l_SW_C07_M01_CTRL_SW_C07_M01_SENS;l_SW_C07_M01_SENS_SW_C07_M02_ACT;l_SW_C07_M02_ACT_SW_C07_M02_CTRL;l_SW_C07_M02_CTRL_SW_C07_M02_SENS;l_SW_C07_M02_SENS_SW_C07_M03_ACT;l_SW_C07_M03_ACT_SW_C07_M03_CTRL;l_SW_C07_M03_CTRL_SW_C07_M03_SENS;l_SW_C07_M03_SENS_SW_C07_M04_ACT;l_SW_C07_M04_ACT_SW_C07_M04_CTRL;l_SW_C07_M04_CTRL_SW_C07_M04_SENS;l_SW_C07_M04_SENS_SW_C08_CC;l_SW_C08_CC_SW_C08_M01_ACT;l_SW_C08_M01_ACT_SW_C08_M01_CTRL;l_SW_C08_M01_CTRL_SW_C08_M01_SENS;l_SW_C08_M01_SENS_SW_C08_M02_ACT;l_SW_C08_M02_ACT_SW_C08_M02_CTRL;l_SW_C08_M02_CTRL_SW_C08_M02_SENS;l_SW_C08_M02_SENS_SW_C08_M03_ACT;l_SW_C08_M03_ACT_SW_C08_M03_CTRL;l_SW_C08_M03_CTRL_SW_C08_M03_SENS;l_SW_C08_M03_SENS_SW_C08_M04_ACT;l_SW_C08_M04_ACT_SW_C08_M04_CTRL;l_SW_C08_M04_CTRL_SW_C08_M04_SENS;l_SW_C08_M04_SENS_SW_C09_CC;l_SW_C09_CC_SW_C09_M01_ACT;l_SW_C09_M01_ACT_SW_C09_M01_CTRL;l_SW_C09_M01_CTRL_SW_C09_M01_SENS;l_SW_C09_M01_SENS_SW_C09_M02_ACT;l_SW_C09_M02_ACT_SW_C09_M02_CTRL;l_SW_C09_M02_CTRL_SW_C09_M02_SENS;l_SW_C09_M02_SENS_SW_C09_M03_ACT;l_SW_C09_M03_ACT_SW_C09_M03_CTRL;l_SW_C09_M03_CTRL_SW_C09_M03_SENS;l_SW_C09_M03_SENS_SW_C09_M04_ACT;l_SW_C09_M04_ACT_SW_C09_M04_CTRL;l_SW_C09_M04_CTRL_SW_C09_M04_SENS;l_SW_C09_M04_SENS_SW_C10_CC;l_SW_C10_CC_SW_C10_M01_ACT;l_SW_C10_M01_ACT_SW_C10_M01_CTRL;l_SW_C10_M01_CTRL_SW_C10_M01_SENS;l_SW_C10_M01_SENS_SW_C10_M02_ACT;l_SW_C10_M02_ACT_SW_C10_M02_CTRL;l_SW_C10_M02_CTRL_SW_C10_M02_SENS;l_SW_C10_M02_SENS_SW_C10_M03_ACT;l_SW_C10_M03_ACT_SW_C10_M03_CTRL;l_SW_C10_M03_CTRL_SW_C10_M03_SENS;l_SW_C10_M03_SENS_SW_C10_M04_ACT;l_SW_C10_M04_ACT_SW_C10_M04_CTRL;l_SW_C10_M04_CTRL_SW_C10_M04_SENS;l_SW_C10_M04_SENS_SW_C11_CC;l_SW_C11_CC_SW_C11_M01_ACT;l_SW_C11_M01_ACT_SW_C11_M01_CTRL;l_SW_C11_M01_CTRL_SW_C11_M01_SENS;l_SW_C11_M01_SENS_SW_C11_M02_ACT;l_SW_C11_M02_ACT_SW_C11_M02_CTRL;l_SW_C11_M02_CTRL_SW_C11_M02_SENS;l_SW_C11_M02_SENS_SW_C11_M03_ACT;l_SW_C11_M03_ACT_SW_C11_M03_CTRL;l_SW_C11_M03_CTRL_SW_C11_M03_SENS;l_SW_C11_M03_SENS_SW_C11_M04_ACT;l_SW_C11_M04_ACT_SW_C11_M04_CTRL;l_SW_C11_M04_CTRL_SW_C11_M04_SENS;l_SW_C11_M04_SENS_SW_C12_CC;l_SW_C12_CC_SW_C12_M01_ACT;l_SW_C12_M01_ACT_SW_C12_M01_CTRL;l_SW_C12_M01_CTRL_SW_C12_M01_SENS;l_SW_C12_M01_SENS_SW_C12_M02_ACT;l_SW_C12_M02_ACT_SW_C12_M02_CTRL;l_SW_C12_M02_CTRL_SW_C12_M02_SENS;l_SW_C12_M02_SENS_SW_C12_M03_ACT;l_SW_C12_M03_ACT_SW_C12_M03_CTRL;l_SW_C12_M03_CTRL_SW_C12_M03_SENS;l_SW_C12_M03_SENS_SW_C12_M04_ACT;l_SW_C12_M04_ACT_SW_C12_M04_CTRL;l_SW_C12_M04_CTRL_SW_C12_M04_SENS;l_SW_C12_M04_SENS_SW_C13_CC;l_SW_C13_CC_SW_C13_M01_ACT;l_SW_C13_M01_ACT_SW_C13_M01_CTRL;l_SW_C13_M01_CTRL_SW_C13_M01_SENS;l_SW_C13_M01_SENS_SW_C13_M02_ACT;l_SW_C13_M02_ACT_SW_C13_M02_CTRL;l_SW_C13_M02_CTRL_SW_C13_M02_SENS;l_SW_C13_M02_SENS_SW_C13_M03_ACT;l_SW_C13_M03_ACT_SW_C13_M03_CTRL;l_SW_C13_M03_CTRL_SW_C13_M03_SENS;l_SW_C13_M03_SENS_SW_C13_M04_ACT;l_SW_C13_M04_ACT_SW_C13_M04_CTRL;l_SW_C13_M04_CTRL_SW_C13_M04_SENS;l_SW_C13_M04_SENS_SW_C14_CC;l_SW_C14_CC_SW_C14_M01_ACT;l_SW_C14_M01_ACT_SW_C14_M01_CTRL;l_SW_C14_M01_CTRL_SW_C14_M01_SENS;l_SW_C14_M01_SENS_SW_C14_M02_ACT;l_SW_C14_M02_ACT_SW_C14_M02_CTRL;l_SW_C14_M02_CTRL_SW_C14_M02_SENS;l_SW_C14_M02_SENS_SW_C14_M03_ACT;l_SW_C14_M03_ACT_SW_C14_M03_CTRL;l_SW_C14_M03_CTRL_SW_C14_M03_SENS;l_SW_C14_M03_SENS_SW_C14_M04_ACT;l_SW_C14_M04_ACT_SW_C14_M04_CTRL;l_SW_C14_M04_CTRL_SW_C14_M04_SENS;l_SW_C14_M04_SENS_SW_C15_CC;l_SW_C15_CC_SW_C15_M01_ACT;l_SW_C15_M01_ACT_SW_C15_M01_CTRL;l_SW_C15_M01_CTRL_SW_C15_M01_SENS;l_SW_C15_M01_SENS_SW_C15_M02_ACT;l_SW_C15_M02_ACT_SW_C15_M02_CTRL;l_SW_C15_M02_CTRL_SW_C15_M02_SENS;l_SW_C15_M02_SENS_SW_C15_M03_ACT;l_SW_C15_M03_ACT_SW_C15_M03_CTRL;l_SW_C15_M03_CTRL_SW_C15_M03_SENS;l_SW_C15_M03_SENS_SW_C15_M04_ACT;l_SW_C15_M04_ACT_SW_C15_M04_CTRL;l_SW_C15_M04_CTRL_SW_C15_M04_SENS;l_SW_C15_M04_SENS_SW_C16_CC;l_SW_C16_CC_SW_C16_M01_ACT;l_SW_C16_M01_ACT_SW_C16_M01_CTRL;l_SW_C16_M01_CTRL_SW_C16_M01_SENS;l_SW_C16_M01_SENS_SW_C16_M02_ACT;l_SW_C16_M02_ACT_SW_C16_M02_CTRL;l_SW_C16_M02_CTRL_SW_C16_M02_SENS;l_SW_C16_M02_SENS_SW_C16_M03_ACT;l_SW_C16_M03_ACT_SW_C16_M03_CTRL;l_SW_C16_M03_CTRL_SW_C16_M03_SENS;l_SW_C16_M03_SENS_SW_C16_M04_ACT;l_SW_C16_M04_ACT_SW_C16_M04_CTRL;l_SW_C16_M04_CTRL_SW_C16_M04_SENS,384.97991500480566,z3 5.1.0
