candidate_present,canonical_profile_sha256,fault_id,integrity_pass,profile_present,profile_ref,profile_sha_parity,scenario,scenario_local,semantic_bytes_parity,semantic_profile_hash,semantic_sha_parity,semantic_valid,success_h2s
True,e131043dbdbacbbab47080dad9d3ccab60ddec1af34c51346a970d172ae0d03b,l_SW_C09_CC_SW_C09_CORE_A,True,True,profiles/L_REDSTAR/l_SW_C09_CC_SW_C09_CORE_A.json,True,L_REDSTAR,True,True,40c540f92b996a23faf4926886bbd4008275032eb1c78d8c4b910f208c85bf3e,True,True,True
True,18fab0befc3ab0c6922e546ad7e341ac3eb2e3f064145a3300c6f7d5a6ac9fbd,l_SW_C09_CC_SW_C09_CORE_B,True,True,profiles/L_REDSTAR/l_SW_C09_CC_SW_C09_CORE_B.json,True,L_REDSTAR,True,True,d600d76f01e13583027abb3ee9e8f85e82c38681ad7445f6bc5fc5600bc5b696,True,True,True
True,884395b824643ef8064d1fdf97d05229b78ca6f2f662700699c958620dece673,l_SW_C09_CORE_A_SW_C09_M01_ACT,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M01_ACT.json,True,L_REDSTAR,True,True,948e5c256aacccd50ca06268fda1cb334757bcc6381687b1425fac0775ddf649,True,True,True
True,109d7a4be159156fe75125277e1dc98aeb8c24f45faa12cc9c6f114896cb7713,l_SW_C09_CORE_A_SW_C09_M01_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M01_CTRL.json,True,L_REDSTAR,True,True,05addac39cfb8e1d65768fd3b6db0137a7831e5c68510745661a4051ba6f36ce,True,True,True
True,c0ffc9a87e216a00e04ce0b12de0d4a74e8fc695a9e25079a9fe199e14e09172,l_SW_C09_CORE_A_SW_C09_M02_ACT,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M02_ACT.json,True,L_REDSTAR,True,True,d4503acfe126b911099d8e68ac56264de6c66d43240732bc0623f1734ae4f835,True,True,True
True,e72d731b2ae64298a19f86b9d1e39a4d0fad1f112090fff07703647f1b0bb795,l_SW_C09_CORE_A_SW_C09_M02_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M02_CTRL.json,True,L_REDSTAR,True,True,307a32ec1043ac275bc4190b8dd04efe326c57b542e1ff01961fa41c1a369a45,True,True,True
True,212a859869228fa32063e2f6456e32cb1d0e2daf9ca938dfe771497c68b48098,l_SW_C09_CORE_A_SW_C09_M03_ACT,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M03_ACT.json,True,L_REDSTAR,True,True,b934d08378af6323568cede589d9b2e708b631a44ac8fac64a94785ceb901311,True,True,True
True,adaa9a5f610c0146972a297f6241c5499966e511418675d478582e9e876ed87a,l_SW_C09_CORE_A_SW_C09_M03_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M03_CTRL.json,True,L_REDSTAR,True,True,8d3983e0d42bc5d69ec0e128be124aaa4b831e59ab4a3335f636f1946816dda0,True,True,True
True,eab469cea34cf39fd8fe80480a9672fcb3831bf7a0ea310ed30f74d9f585ae0d,l_SW_C09_CORE_A_SW_C09_M04_ACT,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M04_ACT.json,True,L_REDSTAR,True,True,830b20adb274296acae407d7800ddee8c2662e6a5080ed860b12d06bc163628f,True,True,True
True,3210b61411e39f0c590dd7a847f90a8f982b8c1f2da1bf4cd5e83d839ed78320,l_SW_C09_CORE_A_SW_C09_M04_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_C09_M04_CTRL.json,True,L_REDSTAR,True,True,4a4e14fdf40357677df55a2e407beae5ffed6ef5a13e1f3233f166ab5bfd50d4,True,True,True
True,748d9cd1af80ec67624d4f2cfa43c9fddd63832978ff1c58f6d37a06a70be666,l_SW_C09_CORE_A_SW_FACTORY_CORE_A,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_A_SW_FACTORY_CORE_A.json,True,L_REDSTAR,True,True,0fc25c7a865d6399bf065dcaa95ac17fce335c5305aa39441cedf1df9d818b71,True,True,True
True,a07947064133862540c34ff03c559f88d3aea6b9a18821f664604f3d37879900,l_SW_C09_CORE_B_SW_C09_M01_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M01_CTRL.json,True,L_REDSTAR,True,True,86081c4941b751cf164ff251b6889fb17dc38b0b6a206df93a6dfa8175df6221,True,True,True
True,2c52b091ce1507a43f6f9ddc0870fb732605b72c31bf34eded826fd726ed908e,l_SW_C09_CORE_B_SW_C09_M01_SENS,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M01_SENS.json,True,L_REDSTAR,True,True,86081c4941b751cf164ff251b6889fb17dc38b0b6a206df93a6dfa8175df6221,True,True,True
True,bdc2bdc1e1c62ff8857627f1113c1f85ef288740e797e22f6a9f2e448d9ac929,l_SW_C09_CORE_B_SW_C09_M02_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M02_CTRL.json,True,L_REDSTAR,True,True,7985bf50a04c083da33e06ea446778e05804ae7b056dc0741c00750cd95ca598,True,True,True
True,0c27e705fa44eb53a8938395feb38299668ee53f830912f9860278be7aae0b51,l_SW_C09_CORE_B_SW_C09_M02_SENS,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M02_SENS.json,True,L_REDSTAR,True,True,7985bf50a04c083da33e06ea446778e05804ae7b056dc0741c00750cd95ca598,True,True,True
True,63bbb1b090ca16386363c8458ea0b00d65963b7607b1bd23d7cfcc3f40990b8f,l_SW_C09_CORE_B_SW_C09_M03_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M03_CTRL.json,True,L_REDSTAR,True,True,60a015880db7a5bdb526dc9e9a042920f560520d31ca822649b05dc1226ef37c,True,True,True
True,151f0ea180196245fe21e7a961f3e6074a35627028dce858c21feb8c68e98605,l_SW_C09_CORE_B_SW_C09_M03_SENS,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M03_SENS.json,True,L_REDSTAR,True,True,60a015880db7a5bdb526dc9e9a042920f560520d31ca822649b05dc1226ef37c,True,True,True
True,b7964c56cb2bb1093079b5c1c4f0bad47f54f47361b8033234f274dd343a08fb,l_SW_C09_CORE_B_SW_C09_M04_CTRL,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M04_CTRL.json,True,L_REDSTAR,True,True,6a48695c27e4a3ae09dc9f777eb5aedb792fcbaea6d6d171785239cc77d62a9e,True,True,True
True,02204274ecd4a3bd2a403defd36e1b27cf30a83dc743a2fb922d6feb1ba9ead3,l_SW_C09_CORE_B_SW_C09_M04_SENS,True,True,profiles/L_REDSTAR/l_SW_C09_CORE_B_SW_C09_M04_SENS.json,True,L_REDSTAR,True,True,6a48695c27e4a3ae09dc9f777eb5aedb792fcbaea6d6d171785239cc77d62a9e,True,True,True
