fault_ids,profile_count,representative_fault,scenario,semantic_gzip_bytes,semantic_hash,semantic_payload_bytes
l_SW_C03_M01_SENS_SW_C03_M02_ACT,1,l_SW_C03_M01_SENS_SW_C03_M02_ACT,L_RING,363575,eafbc1745b99da63aa7c14ee7a8ae9d95a4441032c6eb9934c871182882531c3,7055813
l_SW_C03_M03_ACT_SW_C03_M03_CTRL,1,l_SW_C03_M03_ACT_SW_C03_M03_CTRL,L_RING,638038,ebd85836c10d5ff01dc9cb9bf205cc4b3e088bbe76f1b3f5d8a48dfb371ed7eb,10184661
l_SW_C03_CC_SW_C03_M01_ACT,1,l_SW_C03_CC_SW_C03_M01_ACT,L_RING,389364,ebe8e763b4527775da1577537e36e45babf37b3936321260aac3fab03b8cac29,7383316
l_SW_C08_M02_SENS_SW_C08_M03_ACT,1,l_SW_C08_M02_SENS_SW_C08_M03_ACT,L_RING,335709,ecd31f081f8d3e4ef987b2e1d57e7dba20256f2d57938d7c2b7ec40f4b396344,6737114
l_SW_C13_M03_SENS_SW_C13_M04_ACT,1,l_SW_C13_M03_SENS_SW_C13_M04_ACT,L_RING,305333,ecf8c2f793498dfb5a81fd0d7d4fff28c38888eb6fdd580d3735b3ed151e59f1,6425114
l_SW_C14_M01_ACT_SW_C14_M01_CTRL,1,l_SW_C14_M01_ACT_SW_C14_M01_CTRL,L_RING,692500,ee1a7dc1bdefa0b0a97a87900474cced3b44f9c90d89462697a29a8c53a8aee0,10838917
l_SW_C10_M04_SENS_SW_C11_CC,1,l_SW_C10_M04_SENS_SW_C11_CC,L_RING,276191,ee2ea665071f8edd14156e8ae2951faac27ad9bd45c7b267040f38179b58d9cf,6125541
l_SW_C03_M03_CTRL_SW_C03_M03_SENS,1,l_SW_C03_M03_CTRL_SW_C03_M03_SENS,L_RING,689832,ef04739dd4598a4d03ac14b7dcaca168cbaa5184b015dd7deebfeda448c304a1,10535321
l_SW_C12_CC_SW_C12_M01_ACT,1,l_SW_C12_CC_SW_C12_M01_ACT,L_RING,388328,f26f3ca34b57e2e4ecfe5bcf6cf7f19cb7308f1fc40f685fc59921334132b952,7385576
l_SW_C16_M03_ACT_SW_C16_M03_CTRL,1,l_SW_C16_M03_ACT_SW_C16_M03_CTRL,L_RING,634206,f2f6134c9818298021ed71c6e298b434ea56635040befc0811be7dcea72761ea,10087874
l_SW_C14_M03_ACT_SW_C14_M03_CTRL,1,l_SW_C14_M03_ACT_SW_C14_M03_CTRL,L_RING,637268,f3aa9fbe4ce21035c3489f5dc5f295c0bdab734ecb355a7d75edadbe39901d27,10088088
l_SW_C07_CC_SW_C07_M01_ACT,1,l_SW_C07_CC_SW_C07_M01_ACT,L_RING,389812,f6aeb224d0f9afa5eb65dbf8f491fe5e1fd6b4785e0830bf800c940f2d0a7d0c,7385398
l_SW_C05_M02_ACT_SW_C05_M02_CTRL,1,l_SW_C05_M02_ACT_SW_C05_M02_CTRL,L_RING,669770,f90fd48f96634986c60706abc5e8edea6141615a18803571fd6c21eada2aa660,10523071
l_SW_C03_M02_CTRL_SW_C03_M02_SENS,1,l_SW_C03_M02_CTRL_SW_C03_M02_SENS,L_RING,718452,fb3d80eedf7631369100838cf2f1864255821c7e86831813456e5c92365aac03,10824981
l_SW_C04_M04_SENS_SW_C05_CC,1,l_SW_C04_M04_SENS_SW_C05_CC,L_RING,276949,fb9524d93a9d0b27f57e49f4ea7a97606df31e5bc236e7400185fcaad1c446f6,6125946
l_SW_C13_M04_SENS_SW_C14_CC,1,l_SW_C13_M04_SENS_SW_C14_CC,L_RING,276742,fd84ee916e6affc89424a9ceb78dc4dfc130fad61b97c16f3fc3a0a15c57fd51,6126182
l_SW_C11_CC_SW_C11_M01_ACT,1,l_SW_C11_CC_SW_C11_M01_ACT,L_RING,388628,fe186f91d83e96b54a424f08066a1e22d87cce3f598779f6765bbdf545886f62,7386341
l_SW_C15_M04_ACT_SW_C15_M04_CTRL,1,l_SW_C15_M04_ACT_SW_C15_M04_CTRL,L_RING,609024,ff75988a6b00c155fb3921c035d834ea8e13fb3c225f3040d24df8d812a5bd59,9770842
l_SW_C01_CORE_A_SW_C01_M03_ACT,1,l_SW_C01_CORE_A_SW_C01_M03_ACT,L_REDSTAR,311968,0068add5908cae114f80bd2b21d09fe48d6acee649b31ece8d927d8ebe1246b9,7735233
l_SW_C07_CORE_A_SW_C07_M02_CTRL,1,l_SW_C07_CORE_A_SW_C07_M02_CTRL,L_REDSTAR,311951,010df2550ecffb1f2c06b03f823935df0569cb8ae6cd84d99346f63088da0437,7734170
l_SW_C15_CORE_B_SW_C15_M02_CTRL;l_SW_C15_CORE_B_SW_C15_M02_SENS,2,l_SW_C15_CORE_B_SW_C15_M02_CTRL,L_REDSTAR,311956,012067333cd36a41ffe3ab37a775ccbed28972ddd3c25237cfeeeb288a5274dd,7733456
l_SW_C14_CC_SW_C14_CORE_B,1,l_SW_C14_CC_SW_C14_CORE_B,L_REDSTAR,311810,024dd22ac9122aac9ee3698221d8556b22c72c65fe91d43be023a964244e6361,7733474
l_SW_C03_CC_SW_C03_CORE_B,1,l_SW_C03_CC_SW_C03_CORE_B,L_REDSTAR,311802,032ac6d17756578041194f153224fe74b45f5c0aff733ad198b827cb42a18322,7733470
l_SW_C03_CORE_A_SW_C03_M02_ACT,1,l_SW_C03_CORE_A_SW_C03_M02_ACT,L_REDSTAR,311927,045f25e58c1e4bd1865c64da04cbf8a1ebb46afd2c249e83952c094b674e2524,7734900
l_SW_C09_CORE_A_SW_C09_M01_CTRL,1,l_SW_C09_CORE_A_SW_C09_M01_CTRL,L_REDSTAR,311962,05addac39cfb8e1d65768fd3b6db0137a7831e5c68510745661a4051ba6f36ce,7734158
l_SW_C08_CORE_B_SW_C08_M04_CTRL;l_SW_C08_CORE_B_SW_C08_M04_SENS,2,l_SW_C08_CORE_B_SW_C08_M04_CTRL,L_REDSTAR,311966,060aa308ac006058785aaab48271e3a73279afad59ce3521f867e50094b8b0e5,7733460
l_SW_C15_CORE_A_SW_C15_M02_ACT,1,l_SW_C15_CORE_A_SW_C15_M02_ACT,L_REDSTAR,311963,06507c5007234f483b7df745809ae1b75ea9f7549a4d1cac005e2dd76f0d54ad,7735233
l_SW_C12_CORE_A_SW_C12_M01_CTRL,1,l_SW_C12_CORE_A_SW_C12_M01_CTRL,L_REDSTAR,311977,0a44445e88f8fe40c26d6eda6f7b7be756745e9339989caa79475d81388ce507,7734521
l_SW_C05_CORE_B_SW_C05_M04_CTRL;l_SW_C05_CORE_B_SW_C05_M04_SENS,2,l_SW_C05_CORE_B_SW_C05_M04_CTRL,L_REDSTAR,311960,0aa56c3a76fd885b8f4c75ddcdb8c0bf88ccc081ae01be1d09932bbaa189537c,7733452
l_SW_C14_CC_SW_C14_CORE_A,1,l_SW_C14_CC_SW_C14_CORE_A,L_REDSTAR,311870,0aabe855ebf2cfad2ade5630a9abfba99468356a2246cd98761eb6e8a603e90a,7733476
l_SW_C04_CORE_B_SW_C04_M01_CTRL;l_SW_C04_CORE_B_SW_C04_M01_SENS,2,l_SW_C04_CORE_B_SW_C04_M01_CTRL,L_REDSTAR,311995,0bd4e0e01691abae23ce716ddd927575ac392ca47196a0a4a726b968f4f52dbc,7733456
l_SW_C12_CORE_A_SW_FACTORY_CORE_A,1,l_SW_C12_CORE_A_SW_FACTORY_CORE_A,L_REDSTAR,311893,0c7aa5e68967c06fbe7b9e1a5837e40254be88f72267b7fb83bfafd978728969,7734882
l_SW_C06_CORE_A_SW_C06_M01_ACT,1,l_SW_C06_CORE_A_SW_C06_M01_ACT,L_REDSTAR,311946,0e14f1c0f895d866ac86c1cee355ae78a4860c43b778ee59726c74ab56c0de80,7734902
l_SW_C14_CORE_A_SW_C14_M01_CTRL,1,l_SW_C14_CORE_A_SW_C14_M01_CTRL,L_REDSTAR,311974,0f0ebd2bfefb5591b23f42237c9a23683d835bdc57c1338054fb7ad5ad8d7f63,7734160
l_SW_C09_CORE_A_SW_FACTORY_CORE_A,1,l_SW_C09_CORE_A_SW_FACTORY_CORE_A,L_REDSTAR,311910,0fc25c7a865d6399bf065dcaa95ac17fce335c5305aa39441cedf1df9d818b71,7734505
l_SW_C11_CORE_A_SW_C11_M01_CTRL,1,l_SW_C11_CORE_A_SW_C11_M01_CTRL,L_REDSTAR,311988,10ac0881f968d6ab1635ff12b4ae330ec27c14db28dabcb9059fe4f4abc929b8,7734657
l_SW_C02_CORE_B_SW_C02_M01_CTRL;l_SW_C02_CORE_B_SW_C02_M01_SENS,2,l_SW_C02_CORE_B_SW_C02_M01_CTRL,L_REDSTAR,311979,11863e55c2e2b5f8745e1ba224c71141875f23de361a3aab202d62d0e87b8799,7733452
l_SW_C07_CORE_A_SW_FACTORY_CORE_A,1,l_SW_C07_CORE_A_SW_FACTORY_CORE_A,L_REDSTAR,311857,12ab57deac4a39c636de77fae9a32cd4571273762e03d8664bd7cc292989faea,7733797
l_SW_C13_CORE_A_SW_C13_M03_CTRL,1,l_SW_C13_CORE_A_SW_C13_M03_CTRL,L_REDSTAR,311969,1481845f6ba463076cba85244062c307acae956a14893b446a7a11a720be3ae8,7734511
