scenario,link_id,endpoint_a,endpoint_a_type,endpoint_b,endpoint_b_type,in_protection_scope,used_by_tt_primary_route,candidate_fault,affected_flow_count,affected_flow_ids,affected_tt_payload_rate_bps,min_affected_deadline_us,mean_affected_deadline_us,max_affected_deadline_us,primary_route_usage_count,classification
structured40_auto,l_es01_sw01,es01,end_system,sw01,switch,0,1,0,4,TT01;TT10;TT21;TT29,8000000.0,900.0,920.0,950.0,4,OUT_OF_SCOPE
structured40_auto,l_es02_sw03,es02,end_system,sw03,switch,0,1,0,4,TT02;TT11;TT22;TT30,7680000.0,900.0,917.5,930.0,4,OUT_OF_SCOPE
structured40_auto,l_es03_sw05,es03,end_system,sw05,switch,0,1,0,4,TT03;TT12;TT23;TT31,7360000.0,900.0,925.0,940.0,4,OUT_OF_SCOPE
structured40_auto,l_es04_sw07,es04,end_system,sw07,switch,0,1,0,4,TT04;TT13;TT24;TT32,8640000.0,919.9999999999999,940.0,950.0,4,OUT_OF_SCOPE
structured40_auto,l_es05_sw09,es05,end_system,sw09,switch,0,1,0,4,TT05;TT14;TT25;TT33,9920000.0,930.0,937.5,950.0,4,OUT_OF_SCOPE
structured40_auto,l_es06_sw11,es06,end_system,sw11,switch,0,1,0,4,TT06;TT15;TT26;TT34,8000000.0,900.0,920.0,950.0,4,OUT_OF_SCOPE
structured40_auto,l_es07_sw13,es07,end_system,sw13,switch,0,1,0,4,TT07;TT16;TT27;TT35,7680000.0,900.0,917.5,930.0,4,OUT_OF_SCOPE
structured40_auto,l_es08_sw15,es08,end_system,sw15,switch,0,1,0,4,TT08;TT17;TT28;TT36,7360000.0,900.0,925.0,940.0,4,OUT_OF_SCOPE
structured40_auto,l_es09_sw17,es09,end_system,sw17,switch,0,1,0,4,TT09;TT18;TT29;TT37,8640000.0,919.9999999999999,940.0,950.0,4,OUT_OF_SCOPE
structured40_auto,l_es10_sw19,es10,end_system,sw19,switch,0,1,0,4,TT10;TT19;TT30;TT38,9920000.0,930.0,937.5,950.0,4,OUT_OF_SCOPE
structured40_auto,l_es11_sw21,es11,end_system,sw21,switch,0,1,0,4,TT11;TT20;TT31;TT39,8000000.0,900.0,920.0,950.0,4,OUT_OF_SCOPE
structured40_auto,l_es12_sw23,es12,end_system,sw23,switch,0,1,0,4,TT01;TT12;TT32;TT40,7680000.0,900.0,917.5,930.0,4,OUT_OF_SCOPE
