estimated_serial_work_ms,lpt_16_workers_ms,lpt_1_workers_ms,lpt_2_workers_ms,lpt_32_workers_ms,lpt_4_workers_ms,lpt_8_workers_ms,scenario_id
1206.342143,95.0242644,1206.3421430000003,603.1710715,47.7409325,312.85853679999997,167.7625213,S1
4806.808483,340.2058429578948,4806.808483,2403.5603791315793,192.73311544473685,1224.6651473815787,635.5500281842105,S2
7855.715518,626.0233479,7855.7155180000045,3927.8577589999986,313.3404972,2041.4363795000002,1098.1969769999998,S3
98235.68346887501,6373.088064375,98235.68346887502,49191.20580537506,3284.9676471250004,24694.150933749977,12480.02607675,S4
241836.967037125,15393.314886750002,241836.9670371242,120949.18494749989,7898.1372409999985,60676.12419725002,30447.56998612501,S5
1504916.0750142501,95502.76234187504,1504916.0750142522,753214.3620892484,48402.79762774999,376614.2699986249,189217.53744212483,S6
4042412.3634840003,255456.3869828753,4042412.363483984,2023240.8638327364,127736.96028524998,1012005.3628286242,506063.7874429999,S7
2743.816407,218.30854699999998,2743.816406999997,1371.9082035000004,109.470986,712.7715579000002,383.1872685,F150_TT100
5016.443293,398.3928086,5016.443293000003,2508.221646499999,200.1644312,1302.5675072,699.9009791000001,F150_TT250
8073.660714,643.7024851,8073.660714000003,4036.8303569999994,322.63412289999997,2098.1860156,1128.5782761,F150_TT500
26062.964588,1748.3194784999998,26062.964588,13113.711092750003,949.955427375,6645.3692011250005,3330.040090874999,F150_TT750
42845.764619625,2803.020867625,42845.764619625144,21502.47538249999,1504.664364,10806.445698249996,5406.711823374999,F150_TT1000
