CELF_HNF_count,CELF_HNF_set_sha,CELF_attempted,CELF_complete,CELF_ms,CELF_scheduled_count,CELF_status,H2S_HNF_count,H2S_HNF_set_sha,H2S_complete,H2S_instance_completion_sha,H2S_ms,H2S_order_sha,H2S_scheduled_count,H2S_scheduled_ratio,H2S_status,candidate_vector_sha,formal_backend_complete,input_scenario_sha,input_topology_sha,peak_RSS,policy_cli_value,policy_command_ok,policy_enum,policy_tag,repeat,scale,scenario,static_checker,topology,total_wall_ms,upstream_verifier
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,368.300104,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,364.475778,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,914,0.9849137931034483,HEURISTIC_NOT_FOUND,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,832511ff494f89bfd02bc8f72f6a6050af0b2981a9c51a391815251045e38799,42655744,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,1,L,L_ROR,False,ROR,1985.090241,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,382.332977,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,362.01901,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,914,0.9849137931034483,HEURISTIC_NOT_FOUND,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,832511ff494f89bfd02bc8f72f6a6050af0b2981a9c51a391815251045e38799,42651648,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,2,L,L_ROR,False,ROR,2021.535012,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,65.016333,348,HEURISTIC_NOT_FOUND,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,b8d3c68cf478b3964ebbb01c675c333a1a1d406972981c242d9f2218be9ad314,66.764949,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,348,0.9886363636363636,HEURISTIC_NOT_FOUND,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,47c438b36a2f35777aa39d1bb082ccbc31cc8978f408fab0312a4857ccfa285c,19472384,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,1,M,M_RING,False,RING,326.466714,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,63.318694,348,HEURISTIC_NOT_FOUND,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,b8d3c68cf478b3964ebbb01c675c333a1a1d406972981c242d9f2218be9ad314,64.731853,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,348,0.9886363636363636,HEURISTIC_NOT_FOUND,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,47c438b36a2f35777aa39d1bb082ccbc31cc8978f408fab0312a4857ccfa285c,19468288,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,2,M,M_RING,False,RING,320.998941,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,97.706012,348,HEURISTIC_NOT_FOUND,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,1d9f07041bb050f92b92a1f610f5e6039acff77af5eb5bd6c9e7e5c108174d83,100.351587,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,348,0.9886363636363636,HEURISTIC_NOT_FOUND,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,fa91787ccaa443c2e67ffad84e9f8afe098b9d95243532ef6546ef498b356ddb,23076864,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,1,M,M_REDSTAR,False,REDSTAR,530.861244,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,97.21802,348,HEURISTIC_NOT_FOUND,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,1d9f07041bb050f92b92a1f610f5e6039acff77af5eb5bd6c9e7e5c108174d83,96.985289,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,348,0.9886363636363636,HEURISTIC_NOT_FOUND,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,fa91787ccaa443c2e67ffad84e9f8afe098b9d95243532ef6546ef498b356ddb,23076864,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,2,M,M_REDSTAR,False,REDSTAR,541.82684,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,92.044127,348,HEURISTIC_NOT_FOUND,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,c84e1fe5439140e4199b227c1ddafd0e3cfd6985ee7cfb4b846287ba9ae907fd,91.754238,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,cfcfe1f610758115caf2d4e35d72ce0bce4abdbe15c376ea59fdec2cfab917d3,19128320,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,1,M,M_ROR,False,ROR,447.880186,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,91.362334,348,HEURISTIC_NOT_FOUND,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,c84e1fe5439140e4199b227c1ddafd0e3cfd6985ee7cfb4b846287ba9ae907fd,89.763636,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,cfcfe1f610758115caf2d4e35d72ce0bce4abdbe15c376ea59fdec2cfab917d3,19128320,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,2,M,M_ROR,False,ROR,408.925021,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,171.534594,914,HEURISTIC_NOT_FOUND,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,411d5830052f8c1bfd87a38651e9d978110c2a12c159ec6b6ca5c8b96a25de38,173.585053,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,914,0.9849137931034483,HEURISTIC_NOT_FOUND,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,760aba30715010395d1daff945a92b7d9a8e1f84a5d3251d4a253cbe6d847664,44167168,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,1,L,L_RING,False,RING,1555.878481,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,172.169584,914,HEURISTIC_NOT_FOUND,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,411d5830052f8c1bfd87a38651e9d978110c2a12c159ec6b6ca5c8b96a25de38,167.172316,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,914,0.9849137931034483,HEURISTIC_NOT_FOUND,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,760aba30715010395d1daff945a92b7d9a8e1f84a5d3251d4a253cbe6d847664,44167168,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,2,L,L_RING,False,RING,1564.474105,True
