H2S_status,actual_order,candidate_vector_sha256,expected_order,order_count,order_export_valid,order_matches_comparator,order_sha256,policy_cli_value,policy_enum,policy_reaches_upstream,policy_tag,unique_positions
HEURISTIC_NOT_FOUND,A_FAST;B_HEAVY;D_MEDIUM;C_LIGHT,023430c4191f40ed7426369582d0e6bfe8bd6036fbbfde24521a9acfdcd34aed,A_FAST;B_HEAVY;D_MEDIUM;C_LIGHT,4,True,True,11c966e8f2f3058da3a7ca5d24e8e301e500bed4ac84cac16ad6ad366d826531,4,LOW_PERIOD_FLOWS_FIRST,True,LOW_PERIOD,4
HEURISTIC_NOT_FOUND,C_LIGHT;D_MEDIUM;A_FAST;B_HEAVY,023430c4191f40ed7426369582d0e6bfe8bd6036fbbfde24521a9acfdcd34aed,C_LIGHT;D_MEDIUM;A_FAST;B_HEAVY,4,True,True,b0763488e143112c2c875b3d9bd398a52a480dc4d2bfbfc9df4c0c5b454d5ede,1,LOWEST_TRAFFIC_FLOWS_FIRST,True,LOWEST_TRAFFIC,4
HEURISTIC_NOT_FOUND,A_FAST;B_HEAVY;C_LIGHT;D_MEDIUM,023430c4191f40ed7426369582d0e6bfe8bd6036fbbfde24521a9acfdcd34aed,A_FAST;B_HEAVY;C_LIGHT;D_MEDIUM,4,True,True,c339d3174cc4da5842baa701c1e01a63a55afadfd9ac0ff0e8407da720d77b8d,2,LOWEST_ID_FIRST,True,LOWEST_ID,4
HEURISTIC_NOT_FOUND,A_FAST;D_MEDIUM;C_LIGHT;B_HEAVY,023430c4191f40ed7426369582d0e6bfe8bd6036fbbfde24521a9acfdcd34aed,A_FAST;D_MEDIUM;C_LIGHT;B_HEAVY,4,True,True,b23c46d1879f807f2dc90e2b9b278e79c30ec99490245e82f7dc13078ff7ab4b,3,SOURCE_NODE_SORTING,True,SOURCE_NODE,4
