scenario,fault_id,status,affected_flow_count,route_solver_wall_us,smt_solver_wall_us,profile_compile_wall_us,serialization_wall_us,total_precompute_wall_us,objective,profile_bytes,semantic_profile_hash,diagnostic
structured50_auto,l_sw01_sw02,SAT,4,392.694,2002704.669,321.004,1011.931,2007817.3009999997,424,76985,f254a8bd4f20c878fc29cd6460411aca1330e9456d4c0f132afe99442ed281ce,lexicographic optimum found
structured50_auto,l_sw01_sw11,SAT,11,967.313,1467653.939,233.013,1001.2449999999999,1472462.301,424,78271,b64a76441223e63796453665313ae3e2826cd16506cfa308ae1f6394e6ac5e58,lexicographic optimum found
structured50_auto,l_sw01_sw13,SAT,9,794.042,1441309.163,222.369,1077.942,1445859.277,424,79156,b43d9cc291dc1542545da1d057c1fb6dab2ee20d4c998b404b6f48aa8a1f6f3c,lexicographic optimum found
structured50_auto,l_sw02_sw03,SAT,4,418.966,2289289.674,245.25700000000003,1131.35,2294227.889,424,79288,4c71c0988b8c4acf6f1e9859dcaa1d9ed0801ac5d78c75e2a6b9580adcefe95e,lexicographic optimum found
structured50_auto,l_sw03_sw04,SAT,7,715.202,2246302.9269999997,236.31,1104.921,2251640.608,424,78169,77788f4d25289fb558529ceb123dd3648558cc902464197a85100feb91b103e0,lexicographic optimum found
structured50_auto,l_sw03_sw13,SAT,3,364.519,2008487.9290000002,238.704,1082.379,2013334.617,424,78121,34f6b553d3272a583cae65e244469d25b4b9c51359cd3f5b4eb62da4dbaf7df3,lexicographic optimum found
structured50_auto,l_sw04_sw05,SAT,7,685.988,2190049.682,256.714,1088.481,2195366.23,424,79195,073829ec9e8627f50fe427d4c02a99c28730335dc5a86d05291c4b3bb4167db1,lexicographic optimum found
structured50_auto,l_sw05_sw06,SAT,2,225.987,2034524.5580000002,248.18699999999998,1105.214,2039240.9359999998,424,78418,7cd5a10b1893908eba6297e226eed3b6178599da9eac36c51df6c2afb3fa5c92,lexicographic optimum found
structured50_auto,l_sw05_sw15,SAT,5,388.976,2114259.469,233.885,1083.547,2118946.0330000003,424,78662,36d56c70eef86e61a6df0ab39189da057e895e23320c04dff86258a5f04544bb,lexicographic optimum found
structured50_auto,l_sw05_sw17,SAT,8,654.796,2025264.05,245.434,1120.996,2030345.299,424,80053,91a85359d587196fd091a444c7dadf555cafded5faede4e1865fb77b859a30ef,lexicographic optimum found
