changed_flows,changed_ratio,max_shift_ticks,mean_shift_ticks,p50_shift_ticks,p95_shift_ticks,scale,total_flows,total_shift_ns,total_shift_ticks,unchanged_flows
4,0.011363636363636364,21,0.13636363636363635,0,0,M,352,4800,48,348
14,0.015086206896551725,21,0.12176724137931035,0,0,L,928,11300,113,914
