scenario,solver_delay_s,activation_time_s,first_success_s,total_recovery_s,tt_lost,deadline_miss_count,route_solver_wall_us,smt_solver_wall_us,total_solver_wall_us
online_delay_0_1,0.0001,0.0051,0.00635365,0.00135365,1,0,31.309,9782.257,10218.263
online_delay_1,0.001,0.006,0.00613637,0.00113637,1,0,27.214,10634.181,11073.629
online_delay_5,0.005,0.01,0.01013637,0.00513637,5,0,29.169,11169.659,11612.527
online_delay_10,0.01,0.015,0.01513637,0.01013637,10,0,28.898,10851.993,11292.356
