affected_route_unchanged_count,changed_affected_flow_count,changed_route_flow_count,changed_route_flow_ratio,changed_unaffected_flow_count,changed_unaffected_flow_ratio,extra_unaffected_reroute_fraction,fault_id,hop_delta_total,max_hop_delta,mean_hop_delta_per_changed_flow,new_physical_links_used,p0_route_links_abandoned,rescue_class,scenario_id,total_p0_hops,total_pf_hops,unaffected_route_unchanged_count
0,3,31,0.031,28,0.028084252758274825,0.028084252758274825,l_sw0094_sw0095,2,4,0.06451612903225806,2,6,B_RESCUED_WITH_SMALL_RELAXATION,S5,37528,37530,969
0,202,381,0.381,179,0.22431077694235588,0.22431077694235588,l_sw0094_sw0096,301,9,0.7900262467191601,28,14,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37829,619
0,200,377,0.377,177,0.22125,0.22125,l_sw0100_sw0102,298,6,0.7904509283819628,28,18,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37826,623
0,198,349,0.349,151,0.1882793017456359,0.1882793017456359,l_sw0103_sw0105,446,19,1.2779369627507164,35,16,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37974,651
0,197,352,0.352,155,0.1930261519302615,0.1930261519302615,l_sw0113_sw0115,437,17,1.2414772727272727,33,14,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37965,648
0,206,357,0.357,151,0.190176322418136,0.190176322418136,l_sw0118_sw0120,318,11,0.8907563025210085,32,8,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37846,643
0,199,382,0.382,183,0.22846441947565543,0.22846441947565543,l_sw0148_sw0150,453,17,1.1858638743455496,41,15,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37981,618
0,209,366,0.366,157,0.19848293299620734,0.19848293299620734,l_sw0152_sw0154,387,13,1.0573770491803278,34,10,C_RESCUED_WITH_MODERATE_RELAXATION,S5,37528,37915,634
0,210,376,0.376,166,0.21012658227848102,0.21012658227848102,l_sw0154_sw0156,395,13,1.050531914893617,33,14,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37923,624
0,217,398,0.398,181,0.23116219667943805,0.23116219667943805,l_sw0161_sw0163,500,17,1.256281407035176,31,11,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,38028,602
0,203,375,0.375,172,0.21580928481806774,0.21580928481806774,l_sw0164_sw0166,381,13,1.016,34,15,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37909,625
0,224,403,0.403,179,0.23067010309278352,0.23067010309278352,l_sw0167_sw0169,454,17,1.1265508684863523,34,19,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37982,597
0,205,387,0.387,182,0.2289308176100629,0.2289308176100629,l_sw0168_sw0170,386,12,0.9974160206718347,35,14,D_RESCUED_WITH_GLOBAL_RELAXATION,S5,37528,37914,613
0,2,63,0.063,61,0.061122244488977955,0.061122244488977955,l_sw0001_sw0340,1,10,0.015873015873015872,15,14,C_RESCUED_WITH_MODERATE_RELAXATION,S6,83727,83728,937
0,234,541,0.541,307,0.4007832898172324,0.4007832898172324,l_sw0012_sw0014,526,13,0.9722735674676525,100,25,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84253,459
0,236,508,0.508,272,0.35602094240837695,0.35602094240837695,l_sw0016_sw0018,630,15,1.2401574803149606,91,28,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84357,492
0,240,485,0.485,245,0.3223684210526316,0.3223684210526316,l_sw0024_sw0026,519,12,1.0701030927835051,98,26,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84246,515
0,231,526,0.526,295,0.3836150845253576,0.3836150845253576,l_sw0032_sw0034,438,12,0.8326996197718631,94,28,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84165,474
0,243,487,0.487,244,0.32232496697490093,0.32232496697490093,l_sw0039_sw0041,351,13,0.7207392197125256,95,27,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84078,513
0,229,514,0.514,285,0.36964980544747084,0.36964980544747084,l_sw0055_sw0057,369,15,0.7178988326848249,92,25,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84096,486
0,5,27,0.027,22,0.022110552763819097,0.022110552763819097,l_sw0066_sw0067,-9,2,-0.3333333333333333,6,10,B_RESCUED_WITH_SMALL_RELAXATION,S6,83727,83718,973
0,242,522,0.522,280,0.36939313984168864,0.36939313984168864,l_sw0067_sw0069,508,13,0.9731800766283525,99,25,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84235,478
0,234,528,0.528,294,0.3838120104438642,0.3838120104438642,l_sw0076_sw0078,409,12,0.7746212121212122,92,27,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84136,472
0,239,509,0.509,270,0.354796320630749,0.354796320630749,l_sw0080_sw0082,420,12,0.825147347740668,97,21,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84147,491
0,235,510,0.51,275,0.35947712418300654,0.35947712418300654,l_sw0081_sw0083,455,13,0.8921568627450981,93,34,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84182,490
0,229,506,0.506,277,0.35927367055771725,0.35927367055771725,l_sw0087_sw0089,474,11,0.9367588932806324,95,30,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84201,494
0,6,95,0.095,89,0.08953722334004025,0.08953722334004025,l_sw0089_sw0090,-40,7,-0.42105263157894735,13,18,C_RESCUED_WITH_MODERATE_RELAXATION,S6,83727,83687,905
0,249,488,0.488,239,0.3182423435419441,0.3182423435419441,l_sw0090_sw0092,364,9,0.7459016393442623,100,19,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84091,512
0,246,481,0.481,235,0.3116710875331565,0.3116710875331565,l_sw0096_sw0098,371,13,0.7713097713097713,83,23,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84098,519
0,237,491,0.491,254,0.3328964613368283,0.3328964613368283,l_sw0130_sw0132,360,11,0.7331975560081466,95,21,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84087,509
0,238,550,0.55,312,0.4094488188976378,0.4094488188976378,l_sw0148_sw0150,446,13,0.8109090909090909,107,22,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84173,450
0,244,523,0.523,279,0.36904761904761907,0.36904761904761907,l_sw0152_sw0154,477,13,0.9120458891013384,103,19,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84204,477
0,261,519,0.519,258,0.3491204330175913,0.3491204330175913,l_sw0171_sw0173,380,10,0.7321772639691715,95,19,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84107,481
0,221,485,0.485,264,0.33889602053915274,0.33889602053915274,l_sw0172_sw0174,506,11,1.043298969072165,90,18,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84233,515
0,245,478,0.478,233,0.3086092715231788,0.3086092715231788,l_sw0179_sw0181,374,10,0.7824267782426778,90,24,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84101,522
0,227,480,0.48,253,0.32729624838292365,0.32729624838292365,l_sw0206_sw0208,562,13,1.1708333333333334,89,24,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84289,520
0,240,484,0.484,244,0.32105263157894737,0.32105263157894737,l_sw0220_sw0222,569,13,1.1756198347107438,84,33,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84296,516
0,241,481,0.481,240,0.31620553359683795,0.31620553359683795,l_sw0228_sw0230,476,13,0.9896049896049897,80,31,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84203,519
0,233,491,0.491,258,0.3363754889178618,0.3363754889178618,l_sw0240_sw0242,513,12,1.044806517311609,94,24,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84240,509
0,232,498,0.498,266,0.3463541666666667,0.3463541666666667,l_sw0257_sw0259,534,13,1.072289156626506,90,25,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84261,502
0,250,484,0.484,234,0.312,0.312,l_sw0277_sw0279,646,13,1.334710743801653,90,23,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84373,516
