scenario,fault_id,affected_flow_count,affected_flow_ids,affected_load_bps,min_deadline_us,mean_deadline_us,max_deadline_us,status,rerouted_flow_count,primary_route_links_affected,recovery_route_link_union,recovery_route_total_hops,schedule_objective_ticks,profile_semantic_hash,profile_bytes,route_solver_wall_us,smt_solver_wall_us,total_precompute_wall_us,pre_fault_affected_flow_count,pre_fault_affected_flow_ids,pre_fault_affected_load_bps,post_recovery_status,post_recovery_rerouted_flow_count,post_recovery_profile_semantic_hash
diamond_auto,l_s1_s2,1,TT,1600000.0,1000.0,1000.0,1000.0,SAT,1,l_s1_s2,l_s1_s3;l_s3_s4;l_s4_destination;l_source_s1,4,226,0f3160ef0e91b0567c2da52867a7fc79b31667d3bae6f739d30ff0e9525a5abf,2009,7.198,8337.478000000001,9246.149,1,TT,1600000.0,SAT,1,0f3160ef0e91b0567c2da52867a7fc79b31667d3bae6f739d30ff0e9525a5abf
diamond_auto,l_s2_s4,1,TT,1600000.0,1000.0,1000.0,1000.0,SAT,1,l_s2_s4,l_s1_s3;l_s3_s4;l_s4_destination;l_source_s1,4,226,0f3160ef0e91b0567c2da52867a7fc79b31667d3bae6f739d30ff0e9525a5abf,2020,7.278,7045.275000000001,7276.596,1,TT,1600000.0,SAT,1,0f3160ef0e91b0567c2da52867a7fc79b31667d3bae6f739d30ff0e9525a5abf
