scenario,class_id,candidate_group_id,class_type,profile_source,class_size,fault_ids,affected_flow_set,status,profile_id,profile_sha256,semantic_profile_hash,profile_bytes
structured20_auto,C0007,G0007,SINGLETON,PER_FAILURE_REUSE,1,l_sw02_sw03,TT02;TT03;TT05;TT08;TT11;TT16;TT17,VALIDATED_SINGLETON,PF_l_sw02_sw03,9049cf70436a5b390d01bbf1759bfc10e8c8064a4e8c56442921e73ae268192d,cff9ef3ead0b627af3b0760aa8f8f7bd926c0e7c1726a6cc33c2dd77b932f881,33593
structured20_auto,C0008,G0008,SINGLETON,PER_FAILURE_REUSE,1,l_sw03_sw04,TT03;TT05;TT07;TT08;TT11;TT12;TT13;TT16;TT17,VALIDATED_SINGLETON,PF_l_sw03_sw04,b73f60aaf5f38cb4d2020e3b27a401d21fa2ef2a429f0ee11d247bffcf8af138,5a6c248adaf085bc0c37051baec67c1c99b7deb1a9c690fee08f35fdf7cc6927,33546
structured20_auto,C0009,G0009,SINGLETON,PER_FAILURE_REUSE,1,l_sw10_sw15,TT07;TT11;TT12;TT17,VALIDATED_SINGLETON,PF_l_sw10_sw15,86a84d71f0e28f7bd99c822403c554b75f71946e75914f08add4347a2028a7f4,083bf417913503fae0edfd22339b8d0054cc77326152f83b1179dd98c4e87e64,35182
structured20_auto,C0010,G0010,SINGLETON,PER_FAILURE_REUSE,1,l_sw15_sw20,TT10;TT12,VALIDATED_SINGLETON,PF_l_sw15_sw20,53074a6c95ace11fe5eab81e73298bce0a167908a9aaf268865ca8bb5a42aa24,a874ecd590d83b72d56bb94e7f59bdbf47b82c174d94f87a3842f7ebf4f9e64e,34730
structured20_auto,C0011,G0011,MULTI_FAULT_SHARED,ROBUST_SYNTHESIS,2,l_sw03_sw08;l_sw13_sw18,TT13;TT19,VALIDATED_SHARED,EQ_C0011,a151954f181a87a0b6d2d97edbfa4428704e51099f4547e63c270d9139721c71,668c06bfc17a9a64abdd43b2a971626f713f5af4ec030a91498a46f2f1cc8b08,35798
structured20_auto,C0012,G0012,SINGLETON,PER_FAILURE_REUSE,1,l_sw02_sw08,TT01,VALIDATED_SINGLETON,PF_l_sw02_sw08,25cb73af8bb4a860cd47e9750770546f5908531cdf8eec9b4c29e8984cac05a6,123e5f32388462a89709a46cb38820fcff1ed4362895d6e81d40a7a0cd88c579,33647
structured20_auto,C0013,G0013,SINGLETON,PER_FAILURE_REUSE,1,l_sw01_sw06,TT02;TT03;TT08;TT16,VALIDATED_SINGLETON,PF_l_sw01_sw06,b1a6312d706743956e5c2b574b67d08ed96475aa8db7c1cd037cd080d0142dfb,03c8829e24bf478364779e76d75c2e537c8c512d3462b0076bddd252173fefb5,34450
structured20_auto,C0014,G0014,SINGLETON,PER_FAILURE_REUSE,1,l_sw08_sw13,TT01;TT13;TT19;TT20,VALIDATED_SINGLETON,PF_l_sw08_sw13,ef1da0edf8f68ae9973379e393f53997a0b6e12ddc1b1a13ca54bb10ff96c6b0,11051c14be4bf143e257323fd5c33f9cda97f9c1357bb4cfe52711987c28a033,34589
structured20_auto,C0015,G0015,SINGLETON,PER_FAILURE_REUSE,1,l_sw04_sw10,TT05;TT07;TT11;TT12;TT17,VALIDATED_SINGLETON,PF_l_sw04_sw10,40a1b3fab75a28609a2bdbe50eb0ef005ada64f3d5f4e79651b964ff722bbb2e,79f96bedb4b607fac8eb00ee491a728d922a7e9e63e7362dee9b3fc96875ab41,34363
structured20_auto,C0016,G0016,MULTI_FAULT_SHARED,ROBUST_SYNTHESIS,2,l_sw06_sw07;l_sw07_sw08,TT06;TT15;TT18;TT20,VALIDATED_SHARED,EQ_C0016,1da1b3f448127d1c9b6a5c18dfd92925e66dd261135fd0143ddc302ece7c8df2,0e051809902479513bf327acdbea2b2f6b8872738f5940fb94c4c4db1c4deb67,34657
structured20_auto,C0017,G0017,MULTI_FAULT_SHARED,ROBUST_SYNTHESIS,2,l_sw13_sw19;l_sw19_sw20,TT01;TT20,VALIDATED_SHARED,EQ_C0017,2f23e5772b8f86dfbbd9df0f40255c39fde5d64633f3a25de5e1e9d104e0f9fa,3100b5450052eb153143f756875ee717a7fa9e55c8471a7fc79602e59c3a3ebe,33450
