scenario,solver_delay_s,activation_time_s,first_success_s,total_recovery_s,tt_lost,deadline_miss_count,route_solver_wall_us,smt_solver_wall_us,total_solver_wall_us
online_delay_0_1,0.0001,0.0051,0.00635365,0.00135365,1,0,26.112,7548.988,8014.485
online_delay_1,0.001,0.006,0.00613637,0.00113637,1,0,27.465,9446.396,9904.759
online_delay_5,0.005,0.01,0.01013637,0.00513637,5,0,26.947,7574.882,8001.792
online_delay_10,0.01,0.015,0.01513637,0.01013637,10,0,28.181,7516.038,7957.154
