scenario,policy_id,policy_type,theta,dmax,recoverable_fault_count,raw_candidate_group_count,raw_multi_fault_group_count,candidate_compression_ratio,synthesis_attempt_count,accepted_attempt_count,rejected_attempt_count,recursive_split_count,max_split_depth,final_profile_count,realized_profile_compression_ratio,storage_compression_ratio,compression_gap,shared_fault_coverage,mean_class_size,max_class_size,group_acceptance_rate,no_route_count,unsat_count,forwarding_conflict_count,timeout_count,validation_failed_count,error_count,cold_synthesis_wall_ms,cold_validation_wall_ms,mean_recovery_delta_us,p95_recovery_delta_us,max_recovery_delta_us,tt_loss_delta,deadline_miss_delta,stable_validation_pass,multi_fault_class_count,singleton_class_count,frontier_type
diamond_auto,J100,JACCARD,1.0,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.4574918972824732,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,J080,JACCARD,0.8,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,J060,JACCARD,0.6,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,J040,JACCARD,0.4,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,J020,JACCARD,0.2,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,JE080_D0,JACCARD_EDGE,0.8,0,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,JE080_D1,JACCARD_EDGE,0.8,1,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,JE080_D2,JACCARD_EDGE,0.8,2,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,JE060_D0,JACCARD_EDGE,0.6,0,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,JE060_D1,JACCARD_EDGE,0.6,1,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
diamond_auto,JE060_D2,JACCARD_EDGE,0.6,2,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0,observed_non_dominated
