scenario,policy_id,policy_type,theta,dmax,recoverable_fault_count,raw_candidate_group_count,raw_multi_fault_group_count,candidate_compression_ratio,synthesis_attempt_count,accepted_attempt_count,rejected_attempt_count,recursive_split_count,max_split_depth,final_profile_count,realized_profile_compression_ratio,storage_compression_ratio,compression_gap,shared_fault_coverage,mean_class_size,max_class_size,group_acceptance_rate,no_route_count,unsat_count,forwarding_conflict_count,timeout_count,validation_failed_count,error_count,cold_synthesis_wall_ms,cold_validation_wall_ms,mean_recovery_delta_us,p95_recovery_delta_us,max_recovery_delta_us,tt_loss_delta,deadline_miss_delta,stable_validation_pass,multi_fault_class_count,singleton_class_count
diamond_auto,J100,JACCARD,1.0,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.4574918972824732,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,J080,JACCARD,0.8,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,J060,JACCARD,0.6,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,J040,JACCARD,0.4,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,J020,JACCARD,0.2,,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE080_D0,JACCARD_EDGE,0.8,0,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE080_D1,JACCARD_EDGE,0.8,1,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE080_D2,JACCARD_EDGE,0.8,2,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE060_D0,JACCARD_EDGE,0.6,0,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE060_D1,JACCARD_EDGE,0.6,1,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE060_D2,JACCARD_EDGE,0.6,2,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE040_D0,JACCARD_EDGE,0.4,0,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE040_D1,JACCARD_EDGE,0.4,1,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
diamond_auto,JE040_D2,JACCARD_EDGE,0.4,2,2,1,1,0.5,1,1,0,0,0,1,0.5,0.48890550984791825,0.0,1.0,2.0,2,1.0,0,0,0,0,0,0,9.996076,1168.4007689999999,0.0,0.0,0.0,0,0,True,1,0
mesh10_auto,J100,JACCARD,1.0,,12,10,2,0.16666666666666663,2,2,0,0,0,10,0.16666666666666663,0.1586049489242074,0.0,0.3333333333333333,1.2,2,1.0,0,0,0,0,0,0,120.24291399999998,16432.727976,0.0,0.0,0.0,0,0,True,2,8
mesh10_auto,J080,JACCARD,0.8,,12,9,3,0.25,3,3,0,0,0,9,0.25,0.2453363765413199,0.0,0.5,1.3333333333333333,2,1.0,0,0,0,0,0,0,178.770841,16404.653927,0.0,0.0,0.0,0,0,True,3,6
mesh10_auto,J060,JACCARD,0.6,,12,8,3,0.33333333333333337,3,3,0,0,0,8,0.33333333333333337,0.32903387424499675,0.0,0.5833333333333334,1.5,3,1.0,0,0,0,0,0,0,174.96677,16437.633848,0.0,0.0,0.0,0,0,True,3,5
mesh10_auto,J040,JACCARD,0.4,,12,6,3,0.5,3,3,0,0,0,6,0.5,0.49179168870209033,0.0,0.75,2.0,3,1.0,0,0,0,0,0,0,171.252478,16530.984731,0.0,0.0,0.0,0,0,True,3,3
mesh10_auto,J020,JACCARD,0.2,,12,4,3,0.6666666666666667,3,3,0,0,0,4,0.6666666666666667,0.6639741698444067,0.0,0.9166666666666666,3.0,4,1.0,0,0,0,0,0,0,172.459736,16591.168999,0.0,0.0,0.0,0,0,True,3,1
mesh10_auto,JE080_D0,JACCARD_EDGE,0.8,0,12,9,3,0.25,3,3,0,0,0,9,0.25,0.2453363765413199,0.0,0.5,1.3333333333333333,2,1.0,0,0,0,0,0,0,178.770841,16404.653927,0.0,0.0,0.0,0,0,True,3,6
mesh10_auto,JE080_D1,JACCARD_EDGE,0.8,1,12,9,3,0.25,3,3,0,0,0,9,0.25,0.2453363765413199,0.0,0.5,1.3333333333333333,2,1.0,0,0,0,0,0,0,178.770841,16404.653927,0.0,0.0,0.0,0,0,True,3,6
mesh10_auto,JE080_D2,JACCARD_EDGE,0.8,2,12,9,3,0.25,3,3,0,0,0,9,0.25,0.2453363765413199,0.0,0.5,1.3333333333333333,2,1.0,0,0,0,0,0,0,178.770841,16404.653927,0.0,0.0,0.0,0,0,True,3,6
mesh10_auto,JE060_D0,JACCARD_EDGE,0.6,0,12,9,3,0.25,3,3,0,0,0,9,0.25,0.2453363765413199,0.0,0.5,1.3333333333333333,2,1.0,0,0,0,0,0,0,178.770841,16404.653927,0.0,0.0,0.0,0,0,True,3,6
mesh10_auto,JE060_D1,JACCARD_EDGE,0.6,1,12,8,3,0.33333333333333337,3,3,0,0,0,8,0.33333333333333337,0.32903387424499675,0.0,0.5833333333333334,1.5,3,1.0,0,0,0,0,0,0,174.96677,16437.633848,0.0,0.0,0.0,0,0,True,3,5
mesh10_auto,JE060_D2,JACCARD_EDGE,0.6,2,12,8,3,0.33333333333333337,3,3,0,0,0,8,0.33333333333333337,0.32903387424499675,0.0,0.5833333333333334,1.5,3,1.0,0,0,0,0,0,0,174.96677,16437.633848,0.0,0.0,0.0,0,0,True,3,5
mesh10_auto,JE040_D0,JACCARD_EDGE,0.4,0,12,9,3,0.25,3,3,0,0,0,9,0.25,0.2453363765413199,0.0,0.5,1.3333333333333333,2,1.0,0,0,0,0,0,0,178.770841,16404.653927,0.0,0.0,0.0,0,0,True,3,6
mesh10_auto,JE040_D1,JACCARD_EDGE,0.4,1,12,6,3,0.5,3,3,0,0,0,6,0.5,0.49179168870209033,0.0,0.75,2.0,3,1.0,0,0,0,0,0,0,171.252478,16530.984731,0.0,0.0,0.0,0,0,True,3,3
mesh10_auto,JE040_D2,JACCARD_EDGE,0.4,2,12,6,3,0.5,3,3,0,0,0,6,0.5,0.49179168870209033,0.0,0.75,2.0,3,1.0,0,0,0,0,0,0,171.252478,16530.984731,0.0,0.0,0.0,0,0,True,3,3
structured20_auto,J100,JACCARD,1.0,,22,17,5,0.2272727272727273,5,5,0,0,0,17,0.2272727272727273,0.2267935591847824,0.0,0.45454545454545453,1.2941176470588236,2,1.0,0,0,0,0,0,0,1190.752052,63281.019727,0.0,0.0,0.0,0,0,True,5,12
structured20_auto,J080,JACCARD,0.8,,22,15,7,0.31818181818181823,7,7,0,0,0,15,0.31818181818181823,0.31909441367822566,0.0,0.6363636363636364,1.4666666666666666,2,1.0,0,0,0,0,0,0,1679.9703319999999,63272.137075000006,0.0,0.0,0.0,0,0,True,7,8
structured20_auto,J060,JACCARD,0.6,,22,13,7,0.40909090909090906,7,7,0,0,0,13,0.40909090909090906,0.41058020882928203,0.0,0.7272727272727273,1.6923076923076923,4,1.0,0,0,0,0,0,0,1738.3378530000002,63064.494252000004,0.0,0.0,0.0,0,0,True,7,6
structured20_auto,J040,JACCARD,0.4,,22,9,8,0.5909090909090908,8,8,0,0,0,9,0.5909090909090908,0.593642800902632,0.0,0.9545454545454546,2.4444444444444446,4,1.0,0,0,0,0,0,0,1970.156766,62824.085769000005,0.0,0.0,0.0,0,0,True,8,1
structured20_auto,J020,JACCARD,0.2,,22,7,6,0.6818181818181819,8,7,1,1,0,8,0.6363636363636364,0.6376190771365304,0.045454545454545525,0.9545454545454546,2.75,6,0.875,1,0,0,0,0,0,1722.066167,63029.043131,0.0,0.0,0.0,0,0,True,7,1
structured20_auto,JE080_D0,JACCARD_EDGE,0.8,0,22,16,6,0.2727272727272727,6,6,0,0,0,16,0.2727272727272727,0.2741105236294672,0.0,0.5454545454545454,1.375,2,1.0,0,0,0,0,0,0,1439.4754480000001,63006.81499,0.0,0.0,0.0,0,0,True,6,10
structured20_auto,JE080_D1,JACCARD_EDGE,0.8,1,22,15,7,0.31818181818181823,7,7,0,0,0,15,0.31818181818181823,0.31909441367822566,0.0,0.6363636363636364,1.4666666666666666,2,1.0,0,0,0,0,0,0,1679.9703319999999,63272.137075000006,0.0,0.0,0.0,0,0,True,7,8
structured20_auto,JE080_D2,JACCARD_EDGE,0.8,2,22,15,7,0.31818181818181823,7,7,0,0,0,15,0.31818181818181823,0.31909441367822566,0.0,0.6363636363636364,1.4666666666666666,2,1.0,0,0,0,0,0,0,1679.9703319999999,63272.137075000006,0.0,0.0,0.0,0,0,True,7,8
structured20_auto,JE060_D0,JACCARD_EDGE,0.6,0,22,16,6,0.2727272727272727,6,6,0,0,0,16,0.2727272727272727,0.2741105236294672,0.0,0.5454545454545454,1.375,2,1.0,0,0,0,0,0,0,1439.4754480000001,63006.81499,0.0,0.0,0.0,0,0,True,6,10
structured20_auto,JE060_D1,JACCARD_EDGE,0.6,1,22,15,7,0.31818181818181823,7,7,0,0,0,15,0.31818181818181823,0.31909441367822566,0.0,0.6363636363636364,1.4666666666666666,2,1.0,0,0,0,0,0,0,1679.9703319999999,63272.137075000006,0.0,0.0,0.0,0,0,True,7,8
structured20_auto,JE060_D2,JACCARD_EDGE,0.6,2,22,14,6,0.36363636363636365,6,6,0,0,0,14,0.36363636363636365,0.3652230796318253,0.0,0.6363636363636364,1.5714285714285714,4,1.0,0,0,0,0,0,0,1512.678744,63067.722799999996,0.0,0.0,0.0,0,0,True,6,8
