scenario,policy_id,fault_id,class_id,class_type,class_size,per_failure_tt_lost,approximate_tt_lost,tt_loss_delta,per_failure_deadline_miss,approximate_deadline_miss,deadline_miss_delta,per_failure_recovery_us,approximate_recovery_us,recovery_delta_us,validation_pass,validation_reused,source_validation_hash
diamond_auto,JE040_D1,l_s2_s4,C0001,SHARED,2,0,0,0,0,0,0,246.32000000000002,246.32000000000002,0.0,True,True,abdd166a6081615a902ca5c5552c92c1642d06d86bb0d1f8ec57fade3ed2ac71
diamond_auto,JE040_D2,l_s1_s2,C0001,SHARED,2,0,0,0,0,0,0,363.6,363.6,0.0,True,True,22a5c210864a5a4e79dfeda0319d29fa2f2ffc1129df08913debca3840565842
diamond_auto,JE040_D2,l_s2_s4,C0001,SHARED,2,0,0,0,0,0,0,246.32000000000002,246.32000000000002,0.0,True,True,abdd166a6081615a902ca5c5552c92c1642d06d86bb0d1f8ec57fade3ed2ac71
mesh10_auto,J100,l_sw1_sw2,C0001,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,False,d3ff52f77535536654e0042444b382ba020d2ad95034afb337fd032c97af0839
mesh10_auto,J100,l_sw1_sw3,C0002,SINGLETON,1,0,0,0,0,0,0,120.16,120.16,0.0,True,False,fbd10165afae342cbe067118efec6c3db937eade5cef51ff4a6b95440bdda343
mesh10_auto,J100,l_sw2_sw3,C0003,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,False,11eb9665ab5333a3c201ec821ddb495cbf342698330a795a9a94e6890eda9445
mesh10_auto,J100,l_sw2_sw5,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d58f1a5f949dfb53ad8eb23f742f08f46a32ec76b326b459300a1f6006b4b5b0
mesh10_auto,J100,l_sw3_sw4,C0005,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,False,30c8da529e6a8c0e7911aa79486fb5a9d0e33b5c7164e79dfd86c9a0fb2b57ad
mesh10_auto,J100,l_sw4_sw6,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,890c52c4ae79f32c8267ddaf1786bdebf8bb64f239e6e390a3206812f3774ea0
mesh10_auto,J100,l_sw4_sw7,C0007,SINGLETON,1,0,0,0,0,0,0,84.528,84.528,0.0,True,False,da1b6a8917682b1660cf9f1e5ed0c3f197a3373b8099eb65ac86027df8d728d0
mesh10_auto,J100,l_sw5_sw8,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,b992ff912a0db7507f02a92b95f3c189606bea64193c85aa326bd26f6a9378f7
mesh10_auto,J100,l_sw6_sw8,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,6e76efbe1c3c92216c929610df9bb734cc4eca4e74d03d8931f707a8eb419ff5
mesh10_auto,J100,l_sw7_sw9,C0008,SINGLETON,1,0,0,0,0,0,0,84.528,84.528,0.0,True,False,7f414a7b4c1c725f58e8e22f2a7f5d1a07a8a643a2cc5f80ed05e9f7cd0ccca8
mesh10_auto,J100,l_sw8_sw10,C0009,SINGLETON,1,0,0,0,0,0,0,55.071999999999996,55.071999999999996,0.0,True,False,4fcc4498cf5931fed9304f179bf41fb56ebedb84e9908f228b852c718736db48
mesh10_auto,J100,l_sw8_sw9,C0010,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,False,936f3a288fbe3efb890384604ca084870f0dc38cca064cac600d04eed37a4e9d
mesh10_auto,J080,l_sw1_sw2,C0001,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d3ff52f77535536654e0042444b382ba020d2ad95034afb337fd032c97af0839
mesh10_auto,J080,l_sw1_sw3,C0002,SINGLETON,1,0,0,0,0,0,0,120.16,120.16,0.0,True,True,fbd10165afae342cbe067118efec6c3db937eade5cef51ff4a6b95440bdda343
mesh10_auto,J080,l_sw2_sw3,C0003,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,True,11eb9665ab5333a3c201ec821ddb495cbf342698330a795a9a94e6890eda9445
mesh10_auto,J080,l_sw2_sw5,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d58f1a5f949dfb53ad8eb23f742f08f46a32ec76b326b459300a1f6006b4b5b0
mesh10_auto,J080,l_sw3_sw4,C0005,SHARED,2,0,0,0,0,0,0,107.728,107.728,0.0,True,True,4de89d05e15de06a24fc6af064d497703bb528a2d16019feb1fbab61bad60ab0
mesh10_auto,J080,l_sw4_sw6,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,890c52c4ae79f32c8267ddaf1786bdebf8bb64f239e6e390a3206812f3774ea0
mesh10_auto,J080,l_sw4_sw7,C0005,SHARED,2,0,0,0,0,0,0,84.528,84.528,0.0,True,True,da1b6a8917682b1660cf9f1e5ed0c3f197a3373b8099eb65ac86027df8d728d0
mesh10_auto,J080,l_sw5_sw8,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,b992ff912a0db7507f02a92b95f3c189606bea64193c85aa326bd26f6a9378f7
mesh10_auto,J080,l_sw6_sw8,C0006,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,6e76efbe1c3c92216c929610df9bb734cc4eca4e74d03d8931f707a8eb419ff5
mesh10_auto,J080,l_sw7_sw9,C0007,SINGLETON,1,0,0,0,0,0,0,84.528,84.528,0.0,True,True,7f414a7b4c1c725f58e8e22f2a7f5d1a07a8a643a2cc5f80ed05e9f7cd0ccca8
mesh10_auto,J080,l_sw8_sw10,C0008,SINGLETON,1,0,0,0,0,0,0,55.071999999999996,55.071999999999996,0.0,True,True,4fcc4498cf5931fed9304f179bf41fb56ebedb84e9908f228b852c718736db48
mesh10_auto,J080,l_sw8_sw9,C0009,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,True,936f3a288fbe3efb890384604ca084870f0dc38cca064cac600d04eed37a4e9d
mesh10_auto,J060,l_sw1_sw2,C0001,SHARED,3,0,0,0,0,0,0,54.912,54.912,0.0,True,True,47717f5cf4f3df3705011b1d4e34da8743625071533b47e49438dd8f665ae711
mesh10_auto,J060,l_sw1_sw3,C0002,SINGLETON,1,0,0,0,0,0,0,120.16,120.16,0.0,True,True,fbd10165afae342cbe067118efec6c3db937eade5cef51ff4a6b95440bdda343
mesh10_auto,J060,l_sw2_sw3,C0003,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,True,11eb9665ab5333a3c201ec821ddb495cbf342698330a795a9a94e6890eda9445
mesh10_auto,J060,l_sw2_sw5,C0001,SHARED,3,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d58f1a5f949dfb53ad8eb23f742f08f46a32ec76b326b459300a1f6006b4b5b0
mesh10_auto,J060,l_sw3_sw4,C0004,SHARED,2,0,0,0,0,0,0,107.728,107.728,0.0,True,True,4de89d05e15de06a24fc6af064d497703bb528a2d16019feb1fbab61bad60ab0
mesh10_auto,J060,l_sw4_sw6,C0005,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,890c52c4ae79f32c8267ddaf1786bdebf8bb64f239e6e390a3206812f3774ea0
mesh10_auto,J060,l_sw4_sw7,C0004,SHARED,2,0,0,0,0,0,0,84.528,84.528,0.0,True,True,da1b6a8917682b1660cf9f1e5ed0c3f197a3373b8099eb65ac86027df8d728d0
mesh10_auto,J060,l_sw5_sw8,C0001,SHARED,3,0,0,0,0,0,0,54.912,54.912,0.0,True,True,b992ff912a0db7507f02a92b95f3c189606bea64193c85aa326bd26f6a9378f7
mesh10_auto,J060,l_sw6_sw8,C0005,SHARED,2,0,0,0,0,0,0,141.328,141.328,0.0,True,True,6e76efbe1c3c92216c929610df9bb734cc4eca4e74d03d8931f707a8eb419ff5
mesh10_auto,J060,l_sw7_sw9,C0006,SINGLETON,1,0,0,0,0,0,0,84.528,84.528,0.0,True,True,7f414a7b4c1c725f58e8e22f2a7f5d1a07a8a643a2cc5f80ed05e9f7cd0ccca8
mesh10_auto,J060,l_sw8_sw10,C0007,SINGLETON,1,0,0,0,0,0,0,55.071999999999996,55.071999999999996,0.0,True,True,4fcc4498cf5931fed9304f179bf41fb56ebedb84e9908f228b852c718736db48
mesh10_auto,J060,l_sw8_sw9,C0008,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,True,936f3a288fbe3efb890384604ca084870f0dc38cca064cac600d04eed37a4e9d
mesh10_auto,J040,l_sw1_sw2,C0001,SHARED,3,0,0,0,0,0,0,54.912,54.912,0.0,True,True,47717f5cf4f3df3705011b1d4e34da8743625071533b47e49438dd8f665ae711
mesh10_auto,J040,l_sw1_sw3,C0002,SHARED,3,0,0,0,0,0,0,120.16,120.16,0.0,True,True,463361445f853bb7374c1a17581547e22ea01f445d3d1bc3a0f6bfcecb3d8347
mesh10_auto,J040,l_sw2_sw3,C0003,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,True,11eb9665ab5333a3c201ec821ddb495cbf342698330a795a9a94e6890eda9445
mesh10_auto,J040,l_sw2_sw5,C0001,SHARED,3,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d58f1a5f949dfb53ad8eb23f742f08f46a32ec76b326b459300a1f6006b4b5b0
mesh10_auto,J040,l_sw3_sw4,C0002,SHARED,3,0,0,0,0,0,0,107.728,107.728,0.0,True,True,7a9071a3ce1daf6a52989fb03fbce0ddd3c5cdf6ff80b2ec8cb88b4cb39300f3
mesh10_auto,J040,l_sw4_sw6,C0004,SHARED,3,0,0,0,0,0,0,141.328,141.328,0.0,True,True,8046f969464c4a751b4e507effa628119156155117aec0a51d51b294a2269b22
mesh10_auto,J040,l_sw4_sw7,C0002,SHARED,3,0,0,0,0,0,0,84.528,84.528,0.0,True,True,e2574d109478a033d105bfc4b91fcceba86234fab0873213f3564948a0c8ded6
mesh10_auto,J040,l_sw5_sw8,C0001,SHARED,3,0,0,0,0,0,0,54.912,54.912,0.0,True,True,b992ff912a0db7507f02a92b95f3c189606bea64193c85aa326bd26f6a9378f7
mesh10_auto,J040,l_sw6_sw8,C0004,SHARED,3,0,0,0,0,0,0,141.328,141.328,0.0,True,True,86174573c38ac89af60e58db1d1c13026b2795c438362364f8d3aad6f84afe06
mesh10_auto,J040,l_sw7_sw9,C0005,SINGLETON,1,0,0,0,0,0,0,84.528,84.528,0.0,True,True,7f414a7b4c1c725f58e8e22f2a7f5d1a07a8a643a2cc5f80ed05e9f7cd0ccca8
