scenario,link_id,endpoint_a,endpoint_a_type,endpoint_b,endpoint_b_type,in_protection_scope,used_by_tt_primary_route,candidate_fault,affected_flow_count,affected_flow_ids,affected_tt_payload_rate_bps,min_affected_deadline_us,mean_affected_deadline_us,max_affected_deadline_us,primary_route_usage_count,classification
structured20_auto,l_es01_sw01,es01,end_system,sw01,switch,0,1,0,4,TT01;TT05;TT11;TT17,7680000.0,900.0,917.5,950.0,4,OUT_OF_SCOPE
structured20_auto,l_es02_sw03,es02,end_system,sw03,switch,0,1,0,4,TT02;TT07;TT12;TT19,8000000.0,900.0,922.5,940.0,4,OUT_OF_SCOPE
structured20_auto,l_es03_sw05,es03,end_system,sw05,switch,0,1,0,4,TT03;TT08;TT13;TT16,8000000.0,900.0,917.5,930.0,4,OUT_OF_SCOPE
structured20_auto,l_es04_sw06,es04,end_system,sw06,switch,0,1,0,4,TT04;TT09;TT14;TT20,10240000.0,940.0,942.5,950.0,4,OUT_OF_SCOPE
structured20_auto,l_es05_sw10,es05,end_system,sw10,switch,0,1,0,4,TT05;TT06;TT15;TT18,9280000.0,900.0,932.5,950.0,4,OUT_OF_SCOPE
structured20_auto,l_es06_sw11,es06,end_system,sw11,switch,0,1,0,4,TT03;TT06;TT14;TT16,7680000.0,900.0,915.0,940.0,4,OUT_OF_SCOPE
structured20_auto,l_es07_sw15,es07,end_system,sw15,switch,0,1,0,4,TT07;TT10;TT11;TT17,8000000.0,900.0,922.5,950.0,4,OUT_OF_SCOPE
structured20_auto,l_es08_sw16,es08,end_system,sw16,switch,0,1,0,4,TT02;TT08;TT15;TT18,8960000.0,900.0,925.0,950.0,4,OUT_OF_SCOPE
structured20_auto,l_es09_sw18,es09,end_system,sw18,switch,0,1,0,4,TT04;TT09;TT13;TT19,9600000.0,930.0,937.5,940.0,4,OUT_OF_SCOPE
structured20_auto,l_es10_sw20,es10,end_system,sw20,switch,0,1,0,4,TT01;TT10;TT12;TT20,8960000.0,900.0,932.5,950.0,4,OUT_OF_SCOPE
structured20_auto,l_sw01_sw02,sw01,switch,sw02,switch,1,1,1,8,TT01;TT02;TT03;TT05;TT08;TT11;TT16;TT17,15200000.0,900.0,913.75,950.0,8,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw01_sw06,sw01,switch,sw06,switch,1,1,1,4,TT02;TT03;TT08;TT16,7520000.0,900.0,910.0,919.9999999999999,4,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw02_sw03,sw02,switch,sw03,switch,1,1,1,7,TT02;TT03;TT05;TT08;TT11;TT16;TT17,13760000.0,900.0,915.7142857142857,950.0,7,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw02_sw07,sw02,switch,sw07,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw02_sw08,sw02,switch,sw08,switch,1,1,1,1,TT01,1440000.0,900.0,900.0,900.0,1,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw03_sw04,sw03,switch,sw04,switch,1,1,1,9,TT03;TT05;TT07;TT08;TT11;TT12;TT13;TT16;TT17,17920000.0,900.0,921.1111111111111,950.0,9,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw03_sw08,sw03,switch,sw08,switch,1,1,1,2,TT13;TT19,4800000.0,930.0,935.0,940.0,2,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw04_sw05,sw04,switch,sw05,switch,1,1,1,4,TT03;TT08;TT13;TT16,8000000.0,900.0,917.5,930.0,4,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw04_sw09,sw04,switch,sw09,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw04_sw10,sw04,switch,sw10,switch,1,1,1,5,TT05;TT07;TT11;TT12;TT17,9920000.0,900.0,924.0,950.0,5,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw05_sw10,sw05,switch,sw10,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw06_sw07,sw06,switch,sw07,switch,1,1,1,4,TT06;TT15;TT18;TT20,9440000.0,900.0,932.5,950.0,4,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw06_sw11,sw06,switch,sw11,switch,1,1,1,10,TT02;TT03;TT04;TT06;TT08;TT09;TT14;TT15;TT16;TT18,21440000.0,900.0,924.0,950.0,10,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw07_sw08,sw07,switch,sw08,switch,1,1,1,4,TT06;TT15;TT18;TT20,9440000.0,900.0,932.5,950.0,4,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw07_sw12,sw07,switch,sw12,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw08_sw09,sw08,switch,sw09,switch,1,1,1,3,TT06;TT15;TT18,6560000.0,900.0,926.6666666666666,950.0,3,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw08_sw13,sw08,switch,sw13,switch,1,1,1,4,TT01;TT13;TT19;TT20,9120000.0,900.0,930.0,950.0,4,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw09_sw10,sw09,switch,sw10,switch,1,1,1,3,TT06;TT15;TT18,6560000.0,900.0,926.6666666666666,950.0,3,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw09_sw14,sw09,switch,sw14,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw10_sw15,sw10,switch,sw15,switch,1,1,1,4,TT07;TT11;TT12;TT17,7200000.0,900.0,917.5,930.0,4,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw11_sw12,sw11,switch,sw12,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw11_sw16,sw11,switch,sw16,switch,1,1,1,4,TT02;TT08;TT15;TT18,8960000.0,900.0,925.0,950.0,4,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw11_sw17,sw11,switch,sw17,switch,1,1,1,2,TT04;TT09,4800000.0,940.0,940.0,940.0,2,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw12_sw13,sw12,switch,sw13,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw12_sw17,sw12,switch,sw17,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw13_sw14,sw13,switch,sw14,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw13_sw18,sw13,switch,sw18,switch,1,1,1,2,TT13;TT19,4800000.0,930.0,935.0,940.0,2,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw13_sw19,sw13,switch,sw19,switch,1,1,1,2,TT01;TT20,4320000.0,900.0,925.0,950.0,2,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw14_sw15,sw14,switch,sw15,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw14_sw19,sw14,switch,sw19,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw15_sw20,sw15,switch,sw20,switch,1,1,1,2,TT10;TT12,4640000.0,930.0,940.0,950.0,2,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw16_sw17,sw16,switch,sw17,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw17_sw18,sw17,switch,sw18,switch,1,1,1,2,TT04;TT09,4800000.0,940.0,940.0,940.0,2,TT_RELEVANT_CANDIDATE
structured20_auto,l_sw18_sw19,sw18,switch,sw19,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured20_auto,l_sw19_sw20,sw19,switch,sw20,switch,1,1,1,2,TT01;TT20,4320000.0,900.0,925.0,950.0,2,TT_RELEVANT_CANDIDATE
