level,kind,policy_id,case_id,route_hash,hop_count
R0_GRID,CLASS,J020,l_sw23_sw31;l_sw31_sw39,070071b38dd4e8a7286322a8852f9b61cf0e303ad4ce03b65c192a5a41a3de95,244
R0_GRID,CLASS,J020,l_sw27_sw35,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,240
R0_GRID,CLASS,J020,l_sw29_sw37,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,240
R0_GRID,CLASS,J040,l_sw01_sw02;l_sw02_sw03,420de5d4ae1fc8b7d0fe57d1e965b98104377aa6930a3ceb0f98c6c55faa79d8,236
R0_GRID,CLASS,J040,l_sw01_sw09,28e256c364ffd87bd115ff14fe52fea03b7adde7729fafd48b0a5014a6883528,240
R0_GRID,CLASS,J040,l_sw03_sw04;l_sw04_sw05,ca3ac2811d5273c20436bc7e3374f227f047c880d570e3822fb5c0525b14941b,236
R0_GRID,CLASS,J040,l_sw03_sw11,3ff9f97cab822b74cfa8501b010a81e13f57a3c6994f1b1aff0c7ef45ab7df84,240
R0_GRID,CLASS,J040,l_sw05_sw06;l_sw06_sw07,4719eaa82e766fe84289cca0fcfc4b66e5948bffe098603563bed32a47cb5d07,236
R0_GRID,CLASS,J040,l_sw05_sw13,6c9d99f5e609c78e6babe33beec2d52dbd1fc98bbe92490745b7874978723eeb,240
R0_GRID,CLASS,J040,l_sw07_sw15;l_sw15_sw23,9789b529572a9f68ad740e1ebd5165cefd76d721609c60e8b7ac823ec8c10e61,244
R0_GRID,CLASS,J040,l_sw09_sw10;l_sw10_sw11,7243b78a2c71a6a7df2ad67c0903ae9cf4fe9205d5a33f1711ea698b89c60b6e,236
R0_GRID,CLASS,J040,l_sw09_sw17;l_sw17_sw25,93172424f7a83757e57eb75b096425844aed8808acdf5207bc5ed50a26374177,246
R0_GRID,CLASS,J040,l_sw11_sw12;l_sw12_sw13,f6d8ed21449516ce5f6aadf497ffc5daf7c1211f17405ee81bd624f9321583d7,236
R0_GRID,CLASS,J040,l_sw11_sw19;l_sw19_sw27,ff93e5862d62cbd5da18c484e50c1eee35e5fa8f4f998d3a6394ccb5e4de4a15,246
R0_GRID,CLASS,J040,l_sw13_sw14;l_sw14_sw15,47b8c4d59047d6d7a68308dc1a520c73e7612b5e0c49257b92ada0c6f446aab1,236
R0_GRID,CLASS,J040,l_sw13_sw21;l_sw21_sw29,0ac1b0636672e40727bd01433a5c05c64afb155e8b5df678c50e5da1c94b96af,246
R0_GRID,CLASS,J040,l_sw17_sw18;l_sw18_sw19,4929a3c6e0b2f6af2485d625497c739f35cf0e6820434ce7b55b4eaae3a5553a,236
R0_GRID,CLASS,J040,l_sw19_sw20;l_sw20_sw21,401d63846e4ff83d11a012e95a38b3d50e402a96f3807bab95374cf76143182a,236
R0_GRID,CLASS,J040,l_sw21_sw22;l_sw22_sw23,fe6e5d62affca00c050584b3916864fbd2fb79233964949caebe1bc660aed706,236
R0_GRID,CLASS,J040,l_sw23_sw31;l_sw31_sw39,070071b38dd4e8a7286322a8852f9b61cf0e303ad4ce03b65c192a5a41a3de95,244
R0_GRID,CLASS,J040,l_sw25_sw33,7af447b6713fdfb7a8b96ca1f41eea525578ac0529518429668ae33002520b68,240
R0_GRID,CLASS,J040,l_sw27_sw35,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,240
R0_GRID,CLASS,J040,l_sw29_sw37,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,240
R0_GRID,CLASS,J100,l_sw01_sw02;l_sw02_sw03,420de5d4ae1fc8b7d0fe57d1e965b98104377aa6930a3ceb0f98c6c55faa79d8,236
R0_GRID,CLASS,J100,l_sw01_sw09,28e256c364ffd87bd115ff14fe52fea03b7adde7729fafd48b0a5014a6883528,240
R0_GRID,CLASS,J100,l_sw03_sw04;l_sw04_sw05,ca3ac2811d5273c20436bc7e3374f227f047c880d570e3822fb5c0525b14941b,236
R0_GRID,CLASS,J100,l_sw03_sw11,3ff9f97cab822b74cfa8501b010a81e13f57a3c6994f1b1aff0c7ef45ab7df84,240
R0_GRID,CLASS,J100,l_sw05_sw06;l_sw06_sw07,4719eaa82e766fe84289cca0fcfc4b66e5948bffe098603563bed32a47cb5d07,236
R0_GRID,CLASS,J100,l_sw05_sw13,6c9d99f5e609c78e6babe33beec2d52dbd1fc98bbe92490745b7874978723eeb,240
R0_GRID,CLASS,J100,l_sw07_sw15,573f8153ea14fd0f6bf8161fd211cc0111f4ae1910a6caa576c7f9c60e537650,240
R0_GRID,CLASS,J100,l_sw09_sw10;l_sw10_sw11,7243b78a2c71a6a7df2ad67c0903ae9cf4fe9205d5a33f1711ea698b89c60b6e,236
R0_GRID,CLASS,J100,l_sw09_sw17,aecafc7c607c31a25f2d4ab2323ff4acb68c2170373003fa14b72c497eaa5270,244
R0_GRID,CLASS,J100,l_sw11_sw12;l_sw12_sw13,f6d8ed21449516ce5f6aadf497ffc5daf7c1211f17405ee81bd624f9321583d7,236
R0_GRID,CLASS,J100,l_sw11_sw19,895e749e842c08a0de16d1378995425fa0e6650029776ec6f4f87e29b3111326,244
R0_GRID,CLASS,J100,l_sw13_sw14;l_sw14_sw15,47b8c4d59047d6d7a68308dc1a520c73e7612b5e0c49257b92ada0c6f446aab1,236
R0_GRID,CLASS,J100,l_sw13_sw21,26d4c0e35af76c0c067df57c46a8f7b8b5509e2a6a62501a04f8d3e7be0a3da2,244
R0_GRID,CLASS,J100,l_sw15_sw23,9789b529572a9f68ad740e1ebd5165cefd76d721609c60e8b7ac823ec8c10e61,244
R0_GRID,CLASS,J100,l_sw17_sw18;l_sw18_sw19,4929a3c6e0b2f6af2485d625497c739f35cf0e6820434ce7b55b4eaae3a5553a,236
R0_GRID,CLASS,J100,l_sw17_sw25,5b2c803fdc1deb0e3f57bce7f3e3a651d751cad109394c9e392e234375e82be3,244
R0_GRID,CLASS,J100,l_sw19_sw20;l_sw20_sw21,401d63846e4ff83d11a012e95a38b3d50e402a96f3807bab95374cf76143182a,236
R0_GRID,CLASS,J100,l_sw19_sw27,c94873ef89d91a4d3502eb8d1666f4ed96069f836294e93da263f7455b0e6b50,244
R0_GRID,CLASS,J100,l_sw21_sw22;l_sw22_sw23,fe6e5d62affca00c050584b3916864fbd2fb79233964949caebe1bc660aed706,236
R0_GRID,CLASS,J100,l_sw21_sw29,d14a5f934008b34d7b39be52d2daa5a2f1c9f43be26c4017c46de81fdbcd2576,244
R0_GRID,CLASS,J100,l_sw23_sw31,ff30071384088efa1209ccaec508a6e3034bf1e35269852a172e80400f4bbf54,244
R0_GRID,CLASS,J100,l_sw25_sw33,7af447b6713fdfb7a8b96ca1f41eea525578ac0529518429668ae33002520b68,240
R0_GRID,CLASS,J100,l_sw27_sw35,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,240
R0_GRID,CLASS,J100,l_sw29_sw37,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,240
R0_GRID,CLASS,J100,l_sw31_sw39,363b7e062895a45f72776293adba570eacf6562cb8d7f0baa340d33b77061ed4,240
R1_CURRENT,PF,PF,l_sw01_sw02,b51b7b7bbfc3ccca8baad7a6165bfe0438d9312ff4245141493d11a9aa1a9f8e,224
R1_CURRENT,PF,PF,l_sw01_sw09,eb4f5e543bea75a27eb41ef5c010042da92d1324e20e882120bb72dca418bf80,234
R1_CURRENT,PF,PF,l_sw02_sw03,e55cea81ffca36445ad85e2142fa82ed4a53caf3764d2594ab4743010e17ebe4,224
R1_CURRENT,PF,PF,l_sw03_sw04,fe03a59c8c5b108082ce96953ccd46177a1739a46e53c66df7843cb99f64027e,226
R1_CURRENT,PF,PF,l_sw03_sw11,9971b114ea958962da52fa42895b58b2bf987c038d77fedaaa507ad45e9b57a0,238
R1_CURRENT,PF,PF,l_sw04_sw05,359ef4a9a13aa448cf66c304bcfb9782619aa69784b82310f7bb6c1c8a08bbf3,226
R1_CURRENT,PF,PF,l_sw05_sw06,2bece2d3d1208b32041096ee2a43018a40e585b69139588fd1b7443da7d59b4a,224
R1_CURRENT,PF,PF,l_sw05_sw13,48bcc26bc02b86f80468504fa65823b726c799e9fca5c8e4a83380fe95bf7fb0,240
R1_CURRENT,PF,PF,l_sw06_sw07,5e0a5c39037e98eb4412c5b25079036c590cc975e13885cd87e53687ba9a500b,224
R1_CURRENT,PF,PF,l_sw07_sw15,e3959e857e9d36e374f382b89660fe2aa31fec6936e7efa2f617b47eca70a24a,234
R1_CURRENT,PF,PF,l_sw09_sw10,1ece6dd2314ed069ca68a7d9e19e68d143d417babeb36ca7cc2141bd82f3aa69,226
R1_CURRENT,PF,PF,l_sw09_sw17,e6cd7306d0ffea13a5c8ec5cd69204c44a3c523874c20595e11352da3a3d492d,232
R1_CURRENT,PF,PF,l_sw10_sw11,1ece6dd2314ed069ca68a7d9e19e68d143d417babeb36ca7cc2141bd82f3aa69,226
R1_CURRENT,PF,PF,l_sw11_sw12,057669598b5551cf27611d80d41d9426405bcf3056b5e4c0d709eba82e5f4328,224
R1_CURRENT,PF,PF,l_sw11_sw19,895e749e842c08a0de16d1378995425fa0e6650029776ec6f4f87e29b3111326,244
R1_CURRENT,PF,PF,l_sw12_sw13,fe1df0f6d54bf7cd3a07a1366b6d646f72018f0797cf75be8a103b320b5e179a,224
R1_CURRENT,PF,PF,l_sw13_sw14,1c1e85f17cd220b3235743b43f8c3441e5c737d5b5fbe6a08353d793675e6245,226
R1_CURRENT,PF,PF,l_sw13_sw21,2126e53677930a39c1f914d5479b64e8b05dc93ee59ad43422a24f92d299c56e,242
R1_CURRENT,PF,PF,l_sw14_sw15,1c1e85f17cd220b3235743b43f8c3441e5c737d5b5fbe6a08353d793675e6245,226
R1_CURRENT,PF,PF,l_sw15_sw23,bebddf6b34b6567b29e79ccdf6d4bdad5685be90b3cfc3c8993626400a9a6375,236
R1_CURRENT,PF,PF,l_sw17_sw18,7a6de5d870b3abae414891bf6745f8db4b2d4236c6ba1abb97a63b53cf9dd5a5,232
R1_CURRENT,PF,PF,l_sw17_sw25,57f0026772788d3625d29cc4cb1711543fde0306e5bf4ffc1ca22783c4e63a24,232
R1_CURRENT,PF,PF,l_sw18_sw19,a8b511e33ab32120a1f388a5609c34a52da2a892dd6ad849586f8a1394ffcf98,232
R1_CURRENT,PF,PF,l_sw19_sw20,52bf7ff90d842001a62e0836f04423e24fd0062e8216f109511265d6ca35769f,230
R1_CURRENT,PF,PF,l_sw19_sw27,c94873ef89d91a4d3502eb8d1666f4ed96069f836294e93da263f7455b0e6b50,244
R1_CURRENT,PF,PF,l_sw20_sw21,52bf7ff90d842001a62e0836f04423e24fd0062e8216f109511265d6ca35769f,230
R1_CURRENT,PF,PF,l_sw21_sw22,f1bc53ab3809893cd2ec4a2ae510d75f662d139c1669c72ce7614e1f77af083e,232
R1_CURRENT,PF,PF,l_sw21_sw29,53c440b03ff2a1ee52699b01d4ff3390e6de01d42ec7e0ee6017fa26f2b40d45,240
R1_CURRENT,PF,PF,l_sw22_sw23,c4689dd1ab20093be488cb332d8d50440d21361413a68adb4efa3b08d31e46a9,232
R1_CURRENT,PF,PF,l_sw23_sw31,974d07d3f7154474a7bb6ae527eb09a80c975129c15954418ee3fdfd0d6596a6,240
R1_CURRENT,PF,PF,l_sw25_sw33,43152beddc8041c25c7550e142e8fbaa0665c72e28611c59624877af83e019b3,236
R1_CURRENT,PF,PF,l_sw27_sw35,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,240
R1_CURRENT,PF,PF,l_sw29_sw37,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,240
R1_CURRENT,PF,PF,l_sw31_sw39,5722b700bcd682bfc99501a9e1682810e38653e058cf7b61b43d8679bae174af,238
R1_CURRENT,CLASS,J020,l_sw01_sw02;l_sw01_sw09;l_sw02_sw03,4904899af352052586e4b576459862ed7594c250828d84c26c52c98491f08ffa,230
R1_CURRENT,CLASS,J020,l_sw03_sw04;l_sw04_sw05;l_sw05_sw06;l_sw06_sw07,7e7033279ab9fbf8750e57eb4b02dc8fb7e265a243aa537d81044e1cefce7fd9,224
R1_CURRENT,CLASS,J020,l_sw03_sw11;l_sw11_sw19;l_sw19_sw27,ff93e5862d62cbd5da18c484e50c1eee35e5fa8f4f998d3a6394ccb5e4de4a15,246
R1_CURRENT,CLASS,J020,l_sw05_sw13;l_sw13_sw21;l_sw21_sw29,aac17c6ffdb80110dd78a1dc5009d2a21e9de41dadbe1445244f905e744a504c,242
R1_CURRENT,CLASS,J020,l_sw07_sw15;l_sw15_sw23,bebddf6b34b6567b29e79ccdf6d4bdad5685be90b3cfc3c8993626400a9a6375,236
R1_CURRENT,CLASS,J020,l_sw09_sw10;l_sw10_sw11;l_sw11_sw12;l_sw12_sw13;l_sw13_sw14;l_sw14_sw15,a467e324a9a51d01ae82c6667a61bbc203f5a3238ea21ac3fe6e23695e0b2f63,224
R1_CURRENT,CLASS,J020,l_sw09_sw17;l_sw17_sw25;l_sw25_sw33,7ef1333f7bb2c141106662c63179063bd73d8df3125a5ff7578a9f414e6f9bc9,236
R1_CURRENT,CLASS,J020,l_sw17_sw18;l_sw18_sw19;l_sw19_sw20;l_sw20_sw21;l_sw21_sw22;l_sw22_sw23,126744eaf3ff8d9858e31ba712bfcc3f35328066cae673f4c2c50b2aad63db1f,230
R1_CURRENT,CLASS,J020,l_sw23_sw31;l_sw31_sw39,6909bd0e5ede570157f553c40618741ec5d3cd01623aa2677d76832072cd0b8c,240
R1_CURRENT,CLASS,J020,l_sw27_sw35,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,240
R1_CURRENT,CLASS,J020,l_sw29_sw37,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,240
R1_CURRENT,CLASS,J040,l_sw01_sw02;l_sw02_sw03,e55cea81ffca36445ad85e2142fa82ed4a53caf3764d2594ab4743010e17ebe4,224
R1_CURRENT,CLASS,J040,l_sw01_sw09,eb4f5e543bea75a27eb41ef5c010042da92d1324e20e882120bb72dca418bf80,234
R1_CURRENT,CLASS,J040,l_sw03_sw04;l_sw04_sw05,b9350c2b944f95b9edd61721bda0620999cfcefb482665fe4a4d9686a271b75c,226
R1_CURRENT,CLASS,J040,l_sw03_sw11,9971b114ea958962da52fa42895b58b2bf987c038d77fedaaa507ad45e9b57a0,238
R1_CURRENT,CLASS,J040,l_sw05_sw06;l_sw06_sw07,5e0a5c39037e98eb4412c5b25079036c590cc975e13885cd87e53687ba9a500b,224
R1_CURRENT,CLASS,J040,l_sw05_sw13,48bcc26bc02b86f80468504fa65823b726c799e9fca5c8e4a83380fe95bf7fb0,240
R1_CURRENT,CLASS,J040,l_sw07_sw15;l_sw15_sw23,bebddf6b34b6567b29e79ccdf6d4bdad5685be90b3cfc3c8993626400a9a6375,236
R1_CURRENT,CLASS,J040,l_sw09_sw10;l_sw10_sw11,1ece6dd2314ed069ca68a7d9e19e68d143d417babeb36ca7cc2141bd82f3aa69,226
R1_CURRENT,CLASS,J040,l_sw09_sw17;l_sw17_sw25,768b5aa516af4b70bd495da71fa8b5463528fcd9a3d31b3b8ed55858b9cc5442,234
R1_CURRENT,CLASS,J040,l_sw11_sw12;l_sw12_sw13,fe1df0f6d54bf7cd3a07a1366b6d646f72018f0797cf75be8a103b320b5e179a,224
R1_CURRENT,CLASS,J040,l_sw11_sw19;l_sw19_sw27,ff93e5862d62cbd5da18c484e50c1eee35e5fa8f4f998d3a6394ccb5e4de4a15,246
R1_CURRENT,CLASS,J040,l_sw13_sw14;l_sw14_sw15,1c1e85f17cd220b3235743b43f8c3441e5c737d5b5fbe6a08353d793675e6245,226
R1_CURRENT,CLASS,J040,l_sw13_sw21;l_sw21_sw29,aac17c6ffdb80110dd78a1dc5009d2a21e9de41dadbe1445244f905e744a504c,242
R1_CURRENT,CLASS,J040,l_sw17_sw18;l_sw18_sw19,7a6de5d870b3abae414891bf6745f8db4b2d4236c6ba1abb97a63b53cf9dd5a5,232
R1_CURRENT,CLASS,J040,l_sw19_sw20;l_sw20_sw21,52bf7ff90d842001a62e0836f04423e24fd0062e8216f109511265d6ca35769f,230
R1_CURRENT,CLASS,J040,l_sw21_sw22;l_sw22_sw23,f1bc53ab3809893cd2ec4a2ae510d75f662d139c1669c72ce7614e1f77af083e,232
R1_CURRENT,CLASS,J040,l_sw23_sw31;l_sw31_sw39,6909bd0e5ede570157f553c40618741ec5d3cd01623aa2677d76832072cd0b8c,240
R1_CURRENT,CLASS,J040,l_sw25_sw33,43152beddc8041c25c7550e142e8fbaa0665c72e28611c59624877af83e019b3,236
R1_CURRENT,CLASS,J040,l_sw27_sw35,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,240
R1_CURRENT,CLASS,J040,l_sw29_sw37,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,240
R1_CURRENT,CLASS,J100,l_sw01_sw02;l_sw02_sw03,e55cea81ffca36445ad85e2142fa82ed4a53caf3764d2594ab4743010e17ebe4,224
R1_CURRENT,CLASS,J100,l_sw01_sw09,eb4f5e543bea75a27eb41ef5c010042da92d1324e20e882120bb72dca418bf80,234
R1_CURRENT,CLASS,J100,l_sw03_sw04;l_sw04_sw05,b9350c2b944f95b9edd61721bda0620999cfcefb482665fe4a4d9686a271b75c,226
R1_CURRENT,CLASS,J100,l_sw03_sw11,9971b114ea958962da52fa42895b58b2bf987c038d77fedaaa507ad45e9b57a0,238
