level,connectivity_margin_mean,connectivity_margin_min,fault_id,graph_connected,profile_bytes,raw_status,recovery_hop_count,recovery_route_hash,semantic_profile_hash,smt_solver_wall_us,status,affected_flow_count
R0_GRID,2,1,l_sw01_sw02,True,59444,SAT,236,02f7168ba993fa1ee75ded34979887569711839fe14a6e26aa112e87cf0479eb,4b2cc36b4b43b811ac82771902931a948018e2ac78ebe7e3af6d7e2ac281d510,678389.871,SAT,4
R0_GRID,2,1,l_sw01_sw09,True,60096,SAT,240,28e256c364ffd87bd115ff14fe52fea03b7adde7729fafd48b0a5014a6883528,8285d8ae7db81f7b02c5eae566c7e6cf0d84572a90ad1c8b077f2bf97fd6efe1,689561.023,SAT,4
R0_GRID,2.25,2,l_sw02_sw03,True,59414,SAT,236,e25702278de713dc7e8e0d0f7115a6147d06991c67b88ef92935e580872624bf,eb200e0b3c0c187bfa1b653e47ce81435e04518fdc74b26716f614604a54e573,660376.388,SAT,4
R0_GRID,2.5,2,l_sw03_sw04,True,59453,SAT,236,7748b0243758280fec377d697d81e62fb2914a878f58343cd862fd4de1a8fe73,4a489b551d6374096c8343a1a2999e6eb3cc6fa08c4ae1aa21f48af1d5af7c49,659045.356,SAT,4
R0_GRID,2.25,2,l_sw03_sw11,True,60426,SAT,240,3ff9f97cab822b74cfa8501b010a81e13f57a3c6994f1b1aff0c7ef45ab7df84,5e843e9311b41e1cbc41c3bca42471003a03ed7b3c3a5268c52b5658e474ed28,677738.227,SAT,4
R0_GRID,2.5,2,l_sw04_sw05,True,59494,SAT,236,1feabe46fd88a773d84214eb97535e9845ee8a08915d4eb61894721c8a78af47,add394979ffed41c4e031e67ea584eb9f5bbb69d870adcaef9c8dce77bb43386,657645.274,SAT,4
R0_GRID,2.5,2,l_sw05_sw06,True,59434,SAT,236,80925a4feff607688911c412468172be603da04f78017966c43f590a23e8e00b,bb59bde4dd035ec98c57b3ff653c1544448a9debb9132134fe5555b600047b15,655857.358,SAT,4
R0_GRID,2.5,2,l_sw05_sw13,True,60331,SAT,240,6c9d99f5e609c78e6babe33beec2d52dbd1fc98bbe92490745b7874978723eeb,e825d167c928817f8762c0536b6cf96824a7cc7c14c6597984c7a68b35d82893,679136.354,SAT,4
R0_GRID,2.25,2,l_sw06_sw07,True,59361,SAT,236,dd767a1f03265cfcfdff13fe03ad83d22fbda1e52686071631587b709167b0c5,5490ee77f8e5afbac68809c824ca579741ec2065f87f13b98586e25922da8512,650193.504,SAT,4
R0_GRID,2.25,2,l_sw07_sw15,True,60088,SAT,240,573f8153ea14fd0f6bf8161fd211cc0111f4ae1910a6caa576c7f9c60e537650,6bf134c5604a5853c005934f50660f75615f78460dee1e705b8a2ca249a05199,673483.571,SAT,4
R0_GRID,2,2,l_sw09_sw10,True,59522,SAT,236,f20bb79c0fac666bc5219867e4db0bf4fd4f154db2b09016a644a32245fe6811,f9c2c96ba4776392a1a4a998febeb094b4d2092dff40b51f046638f247cad145,646159.9970000001,SAT,4
R0_GRID,2.25,2,l_sw09_sw17,True,60690,SAT,244,aecafc7c607c31a25f2d4ab2323ff4acb68c2170373003fa14b72c497eaa5270,cb3e35bc79f08b82e1c18c8b50a7af57bf74f88de8412701d176c319f56d67ca,699722.9670000001,SAT,8
R0_GRID,2.5,2,l_sw10_sw11,True,59597,SAT,236,b4b5dccef2bc88ed9ea635274798988d17f18c3ce15aaeabb11d16fca7831e88,d1684535cb33ce5abb3be9ae7c7893c008561d2297b868336428240020fe4b1c,646434.873,SAT,4
R0_GRID,2.75,2,l_sw11_sw12,True,59499,SAT,236,e8dc8faae256280aeed67ef0f4ae3ad46f6646d4b4045f76d832a241b505bade,ec1d428dc6f0b9ddaf234469bb27bd38d20961388afc36f5f90d64ac2ea0c87d,645894.399,SAT,4
R0_GRID,2.875,2,l_sw11_sw19,True,61350,SAT,244,895e749e842c08a0de16d1378995425fa0e6650029776ec6f4f87e29b3111326,4c38e5d353435c4bf51c9aa8b2daab0f6fc9b7eac11a3bea0379d71dbd11b746,696674.83,SAT,8
R0_GRID,3,2,l_sw12_sw13,True,59597,SAT,236,9f6d376f1274dbfd4b239be575422c1add8b91700e00fa01e6fd3cbde843dcb9,583012d9b3d55090ffcee51142434510f10ebf0debfaa9865a1f01cb879ab50d,646093.277,SAT,4
R0_GRID,2.75,2,l_sw13_sw14,True,59517,SAT,236,2b88049d49fa4031eb01d30cae2fe9d3e246a2d371e4f40f636a638c3337db8b,22a01e1001190f9933839a67784617ca136a800bf29a51e342d6201621123b80,647733.303,SAT,4
R0_GRID,3.125,3,l_sw13_sw21,True,61216,SAT,244,26d4c0e35af76c0c067df57c46a8f7b8b5509e2a6a62501a04f8d3e7be0a3da2,8343e847a5f5641a7e498999b2efe5575d43f9b99b4c783e6717964372dbdc3f,695552.9940000001,SAT,8
R0_GRID,3,2,l_sw14_sw15,True,59582,SAT,236,49d3390c8303bc67f1a57fc1598608f09bfd265fe747a29fd8e75abacfc7ca22,5b653571089b83ace6c7fab62b342374c5d8e0d3ac82ffa24b0991dd17bc74a6,645678.851,SAT,4
R0_GRID,3,2,l_sw15_sw23,True,60746,SAT,244,9789b529572a9f68ad740e1ebd5165cefd76d721609c60e8b7ac823ec8c10e61,17e2c40d11dbaecae5a708923c6d009901bbbea3cb2e7d86842599c51783fea4,696384.302,SAT,8
R0_GRID,2,2,l_sw17_sw18,True,59485,SAT,236,4929a3c6e0b2f6af2485d625497c739f35cf0e6820434ce7b55b4eaae3a5553a,ec41ec88b3f9a2c97373b9749cbaff8964415a7917c73da35cc651f01b097188,646301.236,SAT,2
R0_GRID,2,2,l_sw17_sw25,True,61804,SAT,244,5b2c803fdc1deb0e3f57bce7f3e3a651d751cad109394c9e392e234375e82be3,3254fee3e3e45d578691616af47530c832a60e36e77c90ddf9de70d04d5124a1,694154.022,SAT,8
R0_GRID,3,3,l_sw18_sw19,True,60047,SAT,236,0bc7c6d8f601a386ad60ea6049c508537f20356d5feb929a9cd6c4a096a5400e,115edcd7583bc45da4d664401657f86f0c88208f2380dea6a2cd49442fce8091,640324.526,SAT,2
R0_GRID,3,3,l_sw19_sw20,True,59468,SAT,236,401d63846e4ff83d11a012e95a38b3d50e402a96f3807bab95374cf76143182a,dceaa327cff206421fa1163cbeb2079650ca92f639371ce34a50c5c71e04f2f3,643333.48,SAT,2
