level,flow_id,source_es,destination_es,source_switch,destination_switch,edge_connectivity
R2_D4,TT36,es16,es08,sw31,sw15,4
R2_D4,TT37,es17,es09,sw33,sw17,3
R2_D4,TT38,es18,es10,sw35,sw19,4
R2_D4,TT39,es19,es11,sw37,sw21,4
R2_D4,TT40,es20,es12,sw39,sw23,3
R3_D5,TT01,es01,es12,sw01,sw23,5
R3_D5,TT02,es02,es13,sw03,sw25,5
R3_D5,TT03,es03,es14,sw05,sw27,5
R3_D5,TT04,es04,es15,sw07,sw29,5
R3_D5,TT05,es05,es16,sw09,sw31,5
R3_D5,TT06,es06,es17,sw11,sw33,5
R3_D5,TT07,es07,es18,sw13,sw35,5
R3_D5,TT08,es08,es19,sw15,sw37,5
R3_D5,TT09,es09,es20,sw17,sw39,5
R3_D5,TT10,es10,es01,sw19,sw01,5
R3_D5,TT11,es11,es02,sw21,sw03,5
R3_D5,TT12,es12,es03,sw23,sw05,5
R3_D5,TT13,es13,es04,sw25,sw07,5
R3_D5,TT14,es14,es05,sw27,sw09,5
R3_D5,TT15,es15,es06,sw29,sw11,5
R3_D5,TT16,es16,es07,sw31,sw13,5
R3_D5,TT17,es17,es08,sw33,sw15,5
R3_D5,TT18,es18,es09,sw35,sw17,5
R3_D5,TT19,es19,es10,sw37,sw19,5
R3_D5,TT20,es20,es11,sw39,sw21,5
R3_D5,TT21,es01,es13,sw01,sw25,5
R3_D5,TT22,es02,es14,sw03,sw27,5
R3_D5,TT23,es03,es15,sw05,sw29,5
R3_D5,TT24,es04,es16,sw07,sw31,5
R3_D5,TT25,es05,es17,sw09,sw33,5
R3_D5,TT26,es06,es18,sw11,sw35,5
R3_D5,TT27,es07,es19,sw13,sw37,5
R3_D5,TT28,es08,es20,sw15,sw39,5
R3_D5,TT29,es09,es01,sw17,sw01,5
R3_D5,TT30,es10,es02,sw19,sw03,5
R3_D5,TT31,es11,es03,sw21,sw05,5
R3_D5,TT32,es12,es04,sw23,sw07,5
R3_D5,TT33,es13,es05,sw25,sw09,5
R3_D5,TT34,es14,es06,sw27,sw11,5
R3_D5,TT35,es15,es07,sw29,sw13,5
R3_D5,TT36,es16,es08,sw31,sw15,5
R3_D5,TT37,es17,es09,sw33,sw17,5
R3_D5,TT38,es18,es10,sw35,sw19,5
R3_D5,TT39,es19,es11,sw37,sw21,5
R3_D5,TT40,es20,es12,sw39,sw23,5
R4_D6,TT01,es01,es12,sw01,sw23,5
R4_D6,TT02,es02,es13,sw03,sw25,6
R4_D6,TT03,es03,es14,sw05,sw27,6
R4_D6,TT04,es04,es15,sw07,sw29,5
R4_D6,TT05,es05,es16,sw09,sw31,6
R4_D6,TT06,es06,es17,sw11,sw33,5
R4_D6,TT07,es07,es18,sw13,sw35,6
R4_D6,TT08,es08,es19,sw15,sw37,6
R4_D6,TT09,es09,es20,sw17,sw39,6
R4_D6,TT10,es10,es01,sw19,sw01,5
R4_D6,TT11,es11,es02,sw21,sw03,6
R4_D6,TT12,es12,es03,sw23,sw05,6
R4_D6,TT13,es13,es04,sw25,sw07,5
R4_D6,TT14,es14,es05,sw27,sw09,6
R4_D6,TT15,es15,es06,sw29,sw11,6
R4_D6,TT16,es16,es07,sw31,sw13,6
R4_D6,TT17,es17,es08,sw33,sw15,5
R4_D6,TT18,es18,es09,sw35,sw17,6
R4_D6,TT19,es19,es10,sw37,sw19,6
R4_D6,TT20,es20,es11,sw39,sw21,6
R4_D6,TT21,es01,es13,sw01,sw25,5
R4_D6,TT22,es02,es14,sw03,sw27,6
R4_D6,TT23,es03,es15,sw05,sw29,6
R4_D6,TT24,es04,es16,sw07,sw31,5
R4_D6,TT25,es05,es17,sw09,sw33,5
R4_D6,TT26,es06,es18,sw11,sw35,6
R4_D6,TT27,es07,es19,sw13,sw37,6
R4_D6,TT28,es08,es20,sw15,sw39,6
R4_D6,TT29,es09,es01,sw17,sw01,5
R4_D6,TT30,es10,es02,sw19,sw03,6
R4_D6,TT31,es11,es03,sw21,sw05,6
R4_D6,TT32,es12,es04,sw23,sw07,5
R4_D6,TT33,es13,es05,sw25,sw09,6
R4_D6,TT34,es14,es06,sw27,sw11,6
R4_D6,TT35,es15,es07,sw29,sw13,6
R4_D6,TT36,es16,es08,sw31,sw15,6
R4_D6,TT37,es17,es09,sw33,sw17,5
R4_D6,TT38,es18,es10,sw35,sw19,6
R4_D6,TT39,es19,es11,sw37,sw21,6
R4_D6,TT40,es20,es12,sw39,sw23,6
