scenario,fault_id,affected_flow_count,offline_status,online_recovery_status,no_recovery_tt_lost,online_tt_lost,offline_tt_lost,online_recovery_us,offline_recovery_us,online_deadline_miss,offline_deadline_miss,online_runtime_solver_delay_us,offline_lookup_delay_us,online_route_wall_us,online_z3_wall_us,offline_lookup_wall_us,profile_bytes
diamond,l_s1_s2,1,SAT,RECOVERED,15,1,0,1246.32,363.6,0,0,1000.0,0.0,8.296,8572.018,0.396,2001
diamond,l_s1_s3,0,NO_AFFECTED_TT,NO_ACTION,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.241,0
diamond,l_s2_s4,1,SAT,RECOVERED,15,1,0,1246.32,246.32000000000002,0,0,1000.0,0.0,8.13,8825.418,0.14,2011
diamond,l_s3_s4,0,NO_AFFECTED_TT,NO_ACTION,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.232,0
mesh10,l_sw2_sw5,3,SAT,RECOVERED,49,3,0,1054.912,54.912,0,0,1000.0,0.0,39.227,54011.945,0.529,14670
mesh10,l_sw3_sw6,0,NO_AFFECTED_TT,NO_ACTION,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.373,0
mesh10,l_sw6_sw8,2,SAT,RECOVERED,32,2,0,1141.328,141.328,0,0,1000.0,0.0,34.415,63470.7,0.295,14192
mesh10,l_sw7_sw9,2,SAT,RECOVERED,32,2,0,1084.528,84.528,0,0,1000.0,0.0,33.744,53274.113,0.415,15704
