scenario,policy_id,step,left_cluster,right_cluster,merged_members,min_pairwise_jaccard,max_edge_distance,merge_priority,result_candidate_group_id
structured50_auto,J040,1,l_sw01_sw02,l_sw02_sw03,l_sw01_sw02;l_sw02_sw03,1.0,0,"[-1.0,0,-2,[""l_sw01_sw02"",""l_sw02_sw03""]]",G0001
structured50_auto,J040,2,l_sw03_sw04,l_sw04_sw05,l_sw03_sw04;l_sw04_sw05,1.0,0,"[-1.0,0,-2,[""l_sw03_sw04"",""l_sw04_sw05""]]",G0003
structured50_auto,J040,3,l_sw05_sw06,l_sw06_sw07,l_sw05_sw06;l_sw06_sw07,1.0,0,"[-1.0,0,-2,[""l_sw05_sw06"",""l_sw06_sw07""]]",G0004
structured50_auto,J040,4,l_sw07_sw08,l_sw08_sw09,l_sw07_sw08;l_sw08_sw09,1.0,0,"[-1.0,0,-2,[""l_sw07_sw08"",""l_sw08_sw09""]]",G0007
structured50_auto,J040,5,l_sw09_sw10,l_sw10_sw20,l_sw09_sw10;l_sw10_sw20,1.0,0,"[-1.0,0,-2,[""l_sw09_sw10"",""l_sw10_sw20""]]",G0008
structured50_auto,J040,6,l_sw11_sw12,l_sw12_sw24,l_sw11_sw12;l_sw12_sw24,1.0,0,"[-1.0,0,-2,[""l_sw11_sw12"",""l_sw12_sw24""]]",G0011
structured50_auto,J040,7,l_sw13_sw14,l_sw14_sw15,l_sw13_sw14;l_sw14_sw15,1.0,0,"[-1.0,0,-2,[""l_sw13_sw14"",""l_sw14_sw15""]]",G0013
structured50_auto,J040,8,l_sw17_sw18,l_sw18_sw19,l_sw17_sw18;l_sw18_sw19,1.0,0,"[-1.0,0,-2,[""l_sw17_sw18"",""l_sw18_sw19""]]",G0015
structured50_auto,J040,9,l_sw24_sw34,l_sw34_sw46,l_sw24_sw34;l_sw34_sw46,1.0,0,"[-1.0,0,-2,[""l_sw24_sw34"",""l_sw34_sw46""]]",G0011
structured50_auto,J040,10,l_sw25_sw26,l_sw26_sw27,l_sw25_sw26;l_sw26_sw27,1.0,0,"[-1.0,0,-2,[""l_sw25_sw26"",""l_sw26_sw27""]]",G0020
structured50_auto,J040,11,l_sw35_sw36,l_sw36_sw37,l_sw35_sw36;l_sw36_sw37,1.0,0,"[-1.0,0,-2,[""l_sw35_sw36"",""l_sw36_sw37""]]",G0024
structured50_auto,J040,12,l_sw24_sw34;l_sw34_sw46,l_sw46_sw47,l_sw24_sw34;l_sw34_sw46;l_sw46_sw47,1.0,1,"[-1.0,1,-3,[""l_sw24_sw34"",""l_sw34_sw46"",""l_sw46_sw47""]]",G0011
structured50_auto,J040,13,l_sw11_sw12;l_sw12_sw24,l_sw24_sw34;l_sw34_sw46;l_sw46_sw47,l_sw11_sw12;l_sw12_sw24;l_sw24_sw34;l_sw34_sw46;l_sw46_sw47,1.0,3,"[-1.0,3,-5,[""l_sw11_sw12"",""l_sw12_sw24"",""l_sw24_sw34"",""l_sw34_sw46"",""l_sw46_sw47""]]",G0011
structured50_auto,J040,14,l_sw11_sw21,l_sw21_sw31,l_sw11_sw21;l_sw21_sw31,0.8,0,"[-0.8,0,-2,[""l_sw11_sw21"",""l_sw21_sw31""]]",G0012
structured50_auto,J040,15,l_sw19_sw20,l_sw20_sw22,l_sw19_sw20;l_sw20_sw22,0.75,0,"[-0.75,0,-2,[""l_sw19_sw20"",""l_sw20_sw22""]]",G0016
structured50_auto,J040,16,l_sw09_sw19,l_sw19_sw29,l_sw09_sw19;l_sw19_sw29,0.6666666666666666,0,"[-0.6666666666666666,0,-2,[""l_sw09_sw19"",""l_sw19_sw29""]]",G0010
structured50_auto,J040,17,l_sw01_sw11,l_sw01_sw13,l_sw01_sw11;l_sw01_sw13,0.5384615384615384,0,"[-0.5384615384615384,0,-2,[""l_sw01_sw11"",""l_sw01_sw13""]]",G0002
structured50_auto,J040,18,l_sw05_sw15,l_sw15_sw25,l_sw05_sw15;l_sw15_sw25,0.5,0,"[-0.5,0,-2,[""l_sw05_sw15"",""l_sw15_sw25""]]",G0005
structured50_auto,J040,19,l_sw23_sw33,l_sw33_sw43,l_sw23_sw33;l_sw33_sw43,0.5,0,"[-0.5,0,-2,[""l_sw23_sw33"",""l_sw33_sw43""]]",G0018
structured50_auto,J040,20,l_sw07_sw08;l_sw08_sw09,l_sw07_sw17,l_sw07_sw08;l_sw07_sw17;l_sw08_sw09,0.5,1,"[-0.5,1,-3,[""l_sw07_sw08"",""l_sw07_sw17"",""l_sw08_sw09""]]",G0007
structured50_auto,J040,21,l_sw19_sw20;l_sw20_sw22,l_sw22_sw23,l_sw19_sw20;l_sw20_sw22;l_sw22_sw23,0.5,1,"[-0.5,1,-3,[""l_sw19_sw20"",""l_sw20_sw22"",""l_sw22_sw23""]]",G0016
structured50_auto,J040,22,l_sw05_sw17,l_sw17_sw27,l_sw05_sw17;l_sw17_sw27,0.45454545454545453,0,"[-0.45454545454545453,0,-2,[""l_sw05_sw17"",""l_sw17_sw27""]]",G0006
structured50_auto,J040,23,l_sw03_sw04;l_sw04_sw05,l_sw03_sw13,l_sw03_sw04;l_sw03_sw13;l_sw04_sw05,0.42857142857142855,1,"[-0.42857142857142855,1,-3,[""l_sw03_sw04"",""l_sw03_sw13"",""l_sw04_sw05""]]",G0003
structured50_auto,J040,24,l_sw27_sw37,l_sw37_sw47,l_sw27_sw37;l_sw37_sw47,0.4,0,"[-0.4,0,-2,[""l_sw27_sw37"",""l_sw37_sw47""]]",G0021
structured50_auto,J040,25,l_sw05_sw15;l_sw15_sw25,l_sw25_sw35,l_sw05_sw15;l_sw15_sw25;l_sw25_sw35,0.4,1,"[-0.4,1,-3,[""l_sw05_sw15"",""l_sw15_sw25"",""l_sw25_sw35""]]",G0005
structured50_auto,J040,26,l_sw11_sw21;l_sw21_sw31,l_sw31_sw41,l_sw11_sw21;l_sw21_sw31;l_sw31_sw41,0.4,1,"[-0.4,1,-3,[""l_sw11_sw21"",""l_sw21_sw31"",""l_sw31_sw41""]]",G0012
