affected_flow_count,affected_set_key,fault_count,fault_ids,scenario,selected_by_mode
10,7036f18482b5cfdfb94e0a5e5970ddf3da5cc1b8a37f15124747b497ca74589c,1,l_SW_C07_M03_CTRL_SW_C07_M03_SENS,M_RING,True
8,7181f4a2ef4bcc50a1baaa84308bd9376170676a6a6223099ae17af3bbf6249f,1,l_SW_C06_M03_ACT_SW_C06_M03_CTRL,M_RING,True
4,72f33efe096816ff0b3480a4564a96b557e13a8412b9fa942acdd68870aa75ea,1,l_SW_C07_M02_SENS_SW_C07_M03_ACT,M_RING,True
4,7767ac429e27c27fa9ec4933bba77e4c40a491acc4557e4bd6845ce3a3dae8f3,1,l_SW_C08_M02_SENS_SW_C08_M03_ACT,M_RING,True
10,79422d5d9f06a952149f80237a4b79685e133528bdfa14a02ac0d182a203b933,1,l_SW_C04_M03_CTRL_SW_C04_M03_SENS,M_RING,True
2,7a2d5c8d050176407efed43d8112006ffee140b3ef998cb5f95111fbf5e6150c,1,l_SW_C04_M03_SENS_SW_C05_CC,M_RING,True
6,7bc9dabf6cff45ed595bc3914094e382619fade0aad53da5d37ff9539d13af93,1,l_SW_C07_M01_SENS_SW_C07_M02_ACT,M_RING,True
10,81a37b0fc8f9f66c974678d81dca35fda35e59b0bb1f4eef0f4b3ed77696a828,1,l_SW_C07_M02_ACT_SW_C07_M02_CTRL,M_RING,True
6,81f9bad541892799402b5f8e6496799a6c7e46bd843c4304c071798576c096eb,1,l_SW_C08_M01_SENS_SW_C08_M02_ACT,M_RING,True
14,85d9f96b253a340b93ce91f876f8895621b6391358403c6394a6f3e32631219b,1,l_SW_C02_M01_CTRL_SW_C02_M01_SENS,M_RING,True
14,8851d7af0a893c8ebf6d34d9532bca291bd269de9d56b0b4ee525ed3595d8f25,1,l_SW_C07_M01_CTRL_SW_C07_M01_SENS,M_RING,True
6,89d8ca18bd41c7ac22b7e7a0b3e4a979a63710b23b5fac26f24edb6e354a95f4,1,l_SW_C04_M01_SENS_SW_C04_M02_ACT,M_RING,True
12,8e8cc7b5e6b4192c32ad30ccb141a0996e03c72cdaf0d767e2baf99c7a937d17,1,l_SW_C08_M01_ACT_SW_C08_M01_CTRL,M_RING,True
8,961c6737be5a65cb8dbd91b5d58f9e0921b45d90363162bb7642ba29cc464567,1,l_SW_C01_CC_SW_C01_M01_ACT,M_RING,True
14,a2052d854a8b516beca1faaa0b344a90d3af89607a3fdf81c441afcb27234e89,1,l_SW_C05_M01_CTRL_SW_C05_M01_SENS,M_RING,True
12,a41476f77e4115dce6937174f1e1d161d2ef5f6b3a594ea67f6ede26a29bf8fe,1,l_SW_C03_M02_CTRL_SW_C03_M02_SENS,M_RING,True
8,a579adcedb920255dd0d62f3e484a576e4b5c7672fe72dbc7492d5dee01aec07,1,l_SW_C03_M03_ACT_SW_C03_M03_CTRL,M_RING,True
8,a5c4c575fd3c0b0c5ae96d12577d041fcbe20b6406748defac720d33f5aae877,1,l_SW_C04_M03_ACT_SW_C04_M03_CTRL,M_RING,True
