affected_set_key,candidate_group_id,fault_ids,group_size,iteration,scenario,semantic_profile_hash
02d01b0c7219c1e590a0c6ee0517fdc9c34017ce1fe85ab8cfb0cf04e3f83ec4,FG_6f4303c40171c1ea07b33e8e151405b94366791ae71b3ef8da3c51f865e3edc8,l_SW_C06_CORE_B_SW_C06_M02_CTRL;l_SW_C06_CORE_B_SW_C06_M02_SENS,2,1,M_REDSTAR,6da603ac21ea8bec6b50e5dfc551db1882075afba23efe98421b9ad3add0b84c
0450623e8624c7f10f5dbd05c90ef0087b7fa16b676dc47628f46aa88de16db3,FG_cc2b702fbbc28306c7233fe292d137798ac93629fdae3bf3468056012f2aef55,l_SW_C07_CORE_B_SW_C07_M02_CTRL;l_SW_C07_CORE_B_SW_C07_M02_SENS,2,1,M_REDSTAR,296b30a6ac8386d8f3c0ffbd4aabe6db24740f4bf7f8aafb5e7015edad942fa3
054641b67163f6828007c017e7f3a447a46467d6eb834abad0940b1cc3e5a2b2,FG_220d31e838e49e4fe7ed842430ac2de98b5fe845272b8a4c6bcfa7c1ff8cf999,l_SW_C02_CORE_B_SW_C02_M01_CTRL;l_SW_C02_CORE_B_SW_C02_M01_SENS,2,1,M_REDSTAR,d9d43b25eb693e351e26dabbf6dca517f5799ccaa34bfa81c6212f46e62c2f4f
14102e982e6ac72b25752d307b076b3f1069516944b4cbf433ef5196e67361da,FG_80f13510b09929c8dd118c19ee4063ed1302255670d23fb163eebb4c32c3dd46,l_SW_C08_CC_SW_C08_CORE_B;l_SW_C08_CORE_B_SW_FACTORY_CORE_B,2,1,M_REDSTAR,90d275c5a551f287f0333969055130d2479b1b8891681cc350f9a7b5e76a9baa
1412c6a387ab1f6c3c5893c1423c6f1ce9bafeffbc1f8b5e9c6f9cf317ca6e26,FG_df73eb65eec4548f1567afd20409e71a1f65b05b32cdce53773251f57bc0819f,l_SW_C04_CORE_B_SW_C04_M03_CTRL;l_SW_C04_CORE_B_SW_C04_M03_SENS,2,1,M_REDSTAR,4ae727c4e8b7654a28a5be3663052696a6a2b72fa77ca9cd202e7cf53b78b624
18715c95acab9359e0f864e3d03aec2e42dbc9fbd839e92d87a7906d8b787b41,FG_0a9c1c7301f756c8e69bfb952c3fca2de9a76c2504c9000080c6aea25da5490d,l_SW_C08_CORE_B_SW_C08_M02_CTRL;l_SW_C08_CORE_B_SW_C08_M02_SENS,2,1,M_REDSTAR,e3e6b641f23e895ac761df6bd327a9c7c759f1a8140175391225a79ae9890b16
1d44426a53abf1712e6da5ffd00f0712364fed486b86393852efa7c3cd6f1457,FG_f028028ec5d0b325ae7e5b91ad34f6b65d103a57f35145faef1dc69b9dc296b0,l_SW_C03_CORE_B_SW_C03_M02_CTRL;l_SW_C03_CORE_B_SW_C03_M02_SENS,2,1,M_REDSTAR,b8dd118a79ed5c68c4968296baace0de6a1a8875b66efde2d4ebb5e407da0222
2b042f4f74d6fa59095a5e6563f93212964a415ed790d80ab7ef22c15301a7cc,FG_4d506f776de6863031c5df660bea508d7340732e02ea84c47d33c69b40bb3a73,l_SW_C05_CC_SW_C05_CORE_B;l_SW_C05_CORE_B_SW_FACTORY_CORE_B,2,1,M_REDSTAR,90d8ab2be2ed80b85f2fff0e72f557b791106a4a3cc6172973a1513499981f0a
2d726b2aa523b7cfb741daa6b4c0c28cc2ee716b9686c4453f341c5365dcf506,FG_ea2f24a23c6cc2e00e6d6a21a476548170857d3628bfabdfdf99dac3281d4684,l_SW_C02_CORE_B_SW_C02_M02_CTRL;l_SW_C02_CORE_B_SW_C02_M02_SENS,2,1,M_REDSTAR,c199790eb40e51c3be90c1a80398c81dd5647ff2d31eee71e86bea58d08e562e
323f2b2958662936dbe205c24e338176e0c40afeefc3240cc4be3487cf3aadd8,FG_8082e436572b7b5c02408b42938c75cce1706dc08d088708d1c2c5e7be58913a,l_SW_C01_CORE_B_SW_C01_M02_CTRL;l_SW_C01_CORE_B_SW_C01_M02_SENS,2,1,M_REDSTAR,61ff7589c0a24cac24697b5381d683373939654a07dab404e76b1f9b92a624f0
