canonical_gzip_bytes,canonical_profile_bytes,group_id,group_size,profile_sha256,scenario,semantic_gzip_bytes,semantic_payload_bytes,semantic_profile_hash
312326,7735001,FG_e6fc1a37d54647e5f1efde9def18acf6cc6772bc1e38386eebb7bd8c044dab81,1,04b66eb9db2d19e177b30ff2475ed4719cf87e9a357418e01bef312d616e601e,L_REDSTAR,311985,7734497,24e4301a32eb2cbdcef862202e1de254c7dc7a535b25543752e64cea40983e2e
312379,7734084,FG_5275bdd9a682c0578b764af5d2c613c67751a476ceec17e8ddaddc9f38c0c6d4,2,85041d9d887e347b4639b6ef709c15e603334d155d56cc2cc91842088c7943c5,L_REDSTAR,311969,7733452,ad294677d47d499c4d9ac19fa074b946a3d825a426877ca25c8932c0fd9ea147
312261,7735349,FG_d77c9a985d532c5d19236a8ab4c9271481d85dc3a60b1b463fc2972f0179055a,1,6933c3c0f52d31077cb0bf1108ac4265316401402e288fc27d1fe53ba444222f,L_REDSTAR,311936,7734894,d137b7e8108ca6e5c2d22ff80e1b1c98589f6292cc1a7636ee8b50351350119a
312398,7734080,FG_fb061cb30ba1e06c9797064602faf7d6da036ebc53c8c9adc9be83fe4b24f396,2,d9de237b62357c8e13b53ac549efa3a15ecdc93b13c09a8e4c17f8807cbdc754,L_REDSTAR,311983,7733448,5fb4971d25614dc93d53ee4540dc627380e2994a84639a0eb97593b75e48a4da
312310,7735115,FG_f83d20f6917e173ca2f8c580574c4325335f49f3bb608be5834a29cfe17524cd,1,a7f2e3345b0b947b96adb3514508b654e34607456c3245ebde2bb48cd810d2ee,L_REDSTAR,311974,7734611,85dba7d46fe6281f46b45d25d1f0e4723e15902e37ba1de70c7e1f27941971b0
312362,7734088,FG_1b1252e9877c154e1437cb9e82242eef5674bcacfd5520e3b55947bb355aa2f0,2,7ce2a33b113fcddde9d3b887bac286d4f4b187ed514545211585b5f17e3e1f15,L_REDSTAR,311949,7733456,6a48695c27e4a3ae09dc9f777eb5aedb792fcbaea6d6d171785239cc77d62a9e
312279,7735347,FG_1279a9b15350679a41e0f719da92fbd866a722d5cf815b26e65f29584e88e604,1,e80f9dafe46498436101d579d7262152a186126ee21a39678ce5aebb729aa5a0,L_REDSTAR,311952,7734892,ac47b04897fef4e303ef5ceea5818a6b279b0095de27bc8041dbf6998419b396
312187,7733252,FG_c3d383ad04465d1a9e1739cff9c1f5937fb70b653c8145c452ce57bc0567a494,2,1a48e41dd880ce4fd62893ccc29bd9e888012c115a035d61ea310a5ca422e4f1,L_REDSTAR,311778,7732722,1b026f713c2fa8ad1123840dcb94cc08b6e735fd0cab3f78926dcb4f273ff41f
312221,7733976,FG_2e3460ad36199ec04065919881cfde15291d024638bb8ae07078082c1a781282,2,b59e9bc94225a6deaf8cf2d938fa0e3168b0f285283ea3dcf33c6d0ff5cfdfc0,L_REDSTAR,311819,7733446,d590aa2f621fedbf0515668324341a598cf349fa270645cb498db94cfca922c2
312327,7735023,FG_0239a219ce93a2bf0217867ba219dc711ff917026667a1ba9d8188919f8cdbf6,1,afc68f903d0a0180e92369566582d30e0982640ad0d73d333d87c659931b943d,L_REDSTAR,311987,7734519,aeb51e5558f12d1b26b559b70b1211415c692ec4b52b5eca9105fc41b3fb28d9
312324,7735031,FG_30abc6d44ccdce1b03127a32c1096d1f7129244e603e1ceb1be03bc09bff4980,1,aab8967eeb34a2e4919091ca08a5252e9cb3b76ad94c3f54b4b29f4bf37942fe,L_REDSTAR,311980,7734527,18c17651184d7b3b89f9e423b5d09f7ca7dc433b7d803d6d34473b4cfe3cbcd4
312311,7734664,FG_332c5c6ce2279a3d18a5e9f462a39d0b79946270d1dfc6176d9bf65f851f3af5,1,743e874f0316c69b6aaba35c018c5ad99bd1cb2f265fae10f827a44d3253fa6d,L_REDSTAR,311972,7734160,592117f4cc14bf729c004c6787dfb477eda5366c2b1e480b12d106c4c02d161f
312344,7735057,FG_1bd60ba55e245b77d74911af400110d08e77561959a7370301177e178f854d86,1,aa2d52830b3c6746b83eb1a9139aed211d37d985539855e8b6678ad65c2e7cfa,L_REDSTAR,312003,7734553,d7f2e9fed505231878e65d95507494e5a5a7c358f2eca0effb941fcaf8f18729
