affected_set_key,fault_ids,group_id,group_size,profile,scenario
02250300fcecdaef088be80b6328d73844cd29f74aca4095c300d1869a8ca966,l_SW_C05_M02_CTRL_SW_C05_M02_SENS,FG_8959e591132145318b88a24c866f83debc95f951ebb6114ae4e8047a299e87a2,1,False,M_RING
044342199292ec5db1e24060414c143e42cb44c22d6c8d1c9fc72086553ee739,l_SW_C01_M02_SENS_SW_C01_M03_ACT,FG_7a47a73156a6e074d01da0e2cb654958d12c2e0849f45e01db7864e91996528a,1,False,M_RING
04ad42f83bfdffbeecaac8d368f3a1122e774001f3088bccc2b4be5e818e2971,l_SW_C01_M02_ACT_SW_C01_M02_CTRL,FG_c5b1252d4aa743e7801973194d09f19aacc2ec1f7fd30cf6c5e7e65716ae037a,1,False,M_RING
098363abc087e13e1613b8690e75de37b05f6a127964cfbecb7d6ca338d6ec11,l_SW_C08_CC_SW_C08_M01_ACT,FG_9140521eb320362aaa557f01e96e878f53a821b9b5ebfebf27b6dbc1a0747ddb,1,False,M_RING
0aa1d2350fb36d2204fa3fef4a2847fa18399d7250ebabbad6d7d75219540dba,l_SW_C05_M01_ACT_SW_C05_M01_CTRL,FG_d456979842a5264de3b02bad9fd6d4d14288426702ab5fcb079e89b60c58d987,1,False,M_RING
201eaca696d0b117ae7910f2a12039184b55d99e07cf6211032e9c27f83b1e2b,l_SW_C06_M02_ACT_SW_C06_M02_CTRL,FG_7ab27bc8a7a326bdf06da9139e32fedd01929e1f1d50725acdaa3a42906275db,1,False,M_RING
223b8fb4be8c3ed029d71aa94941d12548506adefeb3b60e7b6e9d9faa9de544,l_SW_C02_M01_SENS_SW_C02_M02_ACT,FG_ef89c77779ffea4c98d98969d62fdd4322b39e49c1dda6611af1a60b3eba54b4,1,False,M_RING
2428924bc4a8a19e39ae3ac629ab54dc5af3272e19797e02f09d0068a77bf8a9,l_SW_C05_M03_CTRL_SW_C05_M03_SENS,FG_df88e2185724be45cfa72ad1b62a54be5e5d8d38147fc75d254e293608d6e648,1,False,M_RING
25363b159ae8fec0bf4bcd9efb2d95c6bd09eb58ad9ed1f8e82f943fcb4588ca,l_SW_C02_M03_ACT_SW_C02_M03_CTRL,FG_a06f104470df2e3ff235818eee85ead6bfaa26dbf4553441c703c835495fae72,1,False,M_RING
28612d107ac26f9c63114c230d42ecc523d7503b0565c7860834075137cf672b,l_SW_C06_CC_SW_C06_M01_ACT,FG_c6d9ba5c3011839862bf8f0671bcda9d55e3a32983a5ce7ba3b32e73cf8e4da4,1,False,M_RING
