affected_set_exact_parity,candidate_count,candidate_set_sha256,p0_route_hash,recorded_candidate_count,scenario,scenario_sha256
True,80,fdf4d490cb166e4960d2b7c92f61c806a2982ac2e63a9cbf5b021b89b69e1c98,fa922ce0bfdaa2f2f93d02f6f082e420480fcef1342ea7b03e91047b90ebd222,80,M_RING,35917de7491e2c108745552a892dad59ee2a94c4b6bb18b9fc2fff34ee03db79
True,128,b99fafa60a5049ab0b64194531dfdad3ba04255c7201700700e5a7f777f8522d,9d18e41a81a7bc355bd64fcda6f91cba4ef3876eca64419a99ed4b45014c2e6a,128,M_REDSTAR,40d4ef3c3b649a14dbac5b3de918db61123945f7d472d27a0116c19f05a77bdd
True,110,190555768f4d5126a7a96bedd32be30a92ed61caeadee85f2cf0b640679cab37,8015dda9a8ce44d3e2e56de7e0da848b5f8e04e02732777e9119dfbdf1d3f46c,110,M_ROR,893befade56501d84a2d9ae1c443c053e9aa9adc1949471ef5e870e0865075b0
True,208,85eadba0a836bc28e3ffe01ed45c59d15c88109de79fae672bb6265baa74cae0,02d6cdac77330306d3d2f19e03c49717b09b76f1aaf060c5dbe48f4f944cc7cf,208,L_RING,3d215e4f84417b6ae05e9b43a41c391c6e34b8c9cb48ec605f7650514532d7b7
True,318,e9a0b3fc94f7d542576dcf0eb717e7364e8731a2ee7d985ba6fad808e9cb6d02,4621b4ac3bf9e1cf9e96160c8484d2d1e9b20b272e83dcb7b7ab65b9111c3140,318,L_REDSTAR,40c28d8eb477072672f7a9fbb8f70c5acb274c86547c36468f30dc8f78066790
True,255,4e775b1fd1f5b15b1b68fe07687e76394069930d745ba58cbc2091257e7c20bc,58ca8be89ac37a8e3e4fc35abb334adaaf406f13bcdc4ed4b677cabc06e1945d,255,L_ROR,491d1b46cabdc367249a76c38325cc64ccd10d56e8a0108b3f1cea6977dec9e0
