case_id,scenario,switch_count,case_type,policy_id,optimize_status,feasibility_status,optimize_z3_ms,feasibility_z3_ms,overhead_ratio,consistent
structured60_auto:SHARED:J040:4e8ab30b2b8576ef,structured60_auto,60,SHARED,J040,SAT,SAT,4259.180615,16.824723,253.15011813270272,True
structured60_auto:SHARED:J040:5331421013021212,structured60_auto,60,SHARED,J040,SAT,SAT,5229.082404,15.941662999999998,328.0136083669565,True
structured60_auto:SHARED:J040:5c50a2ac2b933a39,structured60_auto,60,SHARED,J040,SAT,SAT,4210.097095,15.778015,266.833127931492,True
structured60_auto:SHARED:J040:5ed9f14220ec1e69,structured60_auto,60,SHARED,J040,SAT,SAT,4200.60152,14.870213999999999,282.4842682156424,True
structured60_auto:SHARED:J040:626d41c3ee1efb40,structured60_auto,60,SHARED,J040,SAT,SAT,2449.278127,15.676395999999999,156.2398734377468,True
structured60_auto:SHARED:J040:6365c9a903430c0a,structured60_auto,60,SHARED,J040,SAT,SAT,4542.771543,16.142622,281.414725749014,True
structured60_auto:SHARED:J040:8ac4211873210d3d,structured60_auto,60,SHARED,J040,SAT,SAT,3074.61921,13.510558000000001,227.57159326802042,True
structured60_auto:SHARED:J040:a0ad95374738350e,structured60_auto,60,SHARED,J040,SAT,SAT,4023.756838,15.122786,266.07245768074745,True
structured60_auto:SHARED:J040:aac9b4d5db4a09a1,structured60_auto,60,SHARED,J040,SAT,SAT,5638.476075,15.027918,375.2000826062532,True
structured60_auto:SHARED:J040:acc0955611463d9b,structured60_auto,60,SHARED,J040,SAT,SAT,2663.422595,16.192315999999998,164.4868217122245,True
structured60_auto:SHARED:J040:c46dee8a74d54850,structured60_auto,60,SHARED,J040,SAT,SAT,3780.687978,15.348084,246.32963814897025,True
structured60_auto:SHARED:J040:e113252fd274ae0d,structured60_auto,60,SHARED,J040,SAT,SAT,4988.937857,16.085559,310.1501077457115,True
structured60_auto:SHARED:J040:fdcc4b526eb692b1,structured60_auto,60,SHARED,J040,SAT,SAT,4495.042327,15.636757000000001,287.4664054061849,True
structured60_auto:SHARED:J100:01209e44e9f0ad8c,structured60_auto,60,SHARED,J100,SAT,SAT,4971.544748,16.512642,301.0750640630373,True
structured60_auto:SHARED:J100:06214862f3cd0a90,structured60_auto,60,SHARED,J100,SAT,SAT,4776.0094899999995,16.473451999999998,289.9215956679875,True
structured60_auto:SHARED:J100:0b72756323b9a1f0,structured60_auto,60,SHARED,J100,SAT,SAT,4583.200607,16.687342,274.6513259571236,True
structured60_auto:SHARED:J100:0ca7ea56f4fbb271,structured60_auto,60,SHARED,J100,SAT,SAT,4182.718065999999,16.022354999999997,261.0551361519577,True
structured60_auto:SHARED:J100:269478d72ce5dba2,structured60_auto,60,SHARED,J100,SAT,SAT,4259.348884,16.466842,258.6621578077934,True
structured60_auto:SHARED:J100:2d75b06756aacbbb,structured60_auto,60,SHARED,J100,SAT,SAT,4006.8096779999996,14.448843,277.31007098630664,True
structured60_auto:SHARED:J100:376f030e655e287f,structured60_auto,60,SHARED,J100,SAT,SAT,2265.740089,15.836825,143.06782382200979,True
