case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured30_auto:PF:l_sw03_sw04,structured30_auto,30,PF,,30,124,125,535,102,102,5,295.154095,SAT,1
structured30_auto:PF:l_sw03_sw09,structured30_auto,30,PF,,30,128,129,552,107,107,5,318.219188,SAT,1
structured30_auto:PF:l_sw04_sw05,structured30_auto,30,PF,,30,124,125,528,95,95,5,398.30847600000004,SAT,1
structured30_auto:PF:l_sw05_sw07,structured30_auto,30,PF,,30,126,127,537,98,98,5,299.051536,SAT,1
structured30_auto:PF:l_sw05_sw11,structured30_auto,30,PF,,30,128,129,554,109,109,6,312.391615,SAT,1
structured30_auto:PF:l_sw07_sw13,structured30_auto,30,PF,,30,134,135,575,112,112,5,338.943448,SAT,1
structured30_auto:PF:l_sw08_sw16,structured30_auto,30,PF,,30,124,125,544,111,111,5,292.501896,SAT,1
structured30_auto:PF:l_sw09_sw10,structured30_auto,30,PF,,30,124,125,530,97,97,5,285.853859,SAT,1
structured30_auto:PF:l_sw09_sw15,structured30_auto,30,PF,,30,136,137,584,115,115,6,335.990464,SAT,1
structured30_auto:PF:l_sw10_sw11,structured30_auto,30,PF,,30,124,125,531,98,98,5,283.238225,SAT,1
structured30_auto:PF:l_sw11_sw17,structured30_auto,30,PF,,30,132,133,581,124,124,7,324.61467300000004,SAT,1
structured30_auto:PF:l_sw13_sw14,structured30_auto,30,PF,,30,126,127,553,114,114,6,296.207165,SAT,1
structured30_auto:PF:l_sw13_sw19,structured30_auto,30,PF,,30,134,135,567,104,104,5,326.993999,SAT,1
structured30_auto:PF:l_sw14_sw15,structured30_auto,30,PF,,30,126,127,549,110,110,6,304.480813,SAT,1
structured30_auto:PF:l_sw15_sw21,structured30_auto,30,PF,,30,132,133,544,87,87,4,320.51948400000003,SAT,1
structured30_auto:PF:l_sw15_sw23,structured30_auto,30,PF,,30,130,131,575,124,124,5,315.063211,SAT,1
