scenario,switch_count,case_type,mode,case_count,measurement_count,sat_count,unsat_count,timeout_count,unknown_other_count,no_route_count,completed_solve_count,timeout_rate,z3_mean_ms,z3_p50_ms,z3_p95_ms,z3_max_ms,z3_min_ms,build_mean_ms,build_p95_ms,mean_variables,max_variables,mean_constraints,max_constraints,mean_contention_pairs,max_contention_pairs
structured50_auto,50,PF,BENCHMARK_FEASIBILITY_ONLY,52,52,52,0,0,0,0,52,0.0,11.335662750000001,11.3170595,12.0575204,12.517637,10.548118,3.2144137500000003,3.37107085,282.96153846153845,291,1345.2884615384614,1409,398.40384615384613,447
structured50_auto,50,SHARED,PRODUCTION_OPTIMIZE,47,47,47,0,0,0,0,47,0.0,1997.4066279148938,2062.341347,2305.6855204999997,2318.8526939999997,1555.678705,1.2668902340425532,1.3706425,283.21276595744683,291,1347.9574468085107,1432,400.3191489361702,473
structured50_auto,50,SHARED,BENCHMARK_FEASIBILITY_ONLY,47,47,47,0,0,0,0,47,0.0,11.389163765957447,11.397361,12.054179599999998,12.995276,10.525191999999999,3.230084127659574,3.400703,283.21276595744683,291,1347.9574468085107,1432,400.3191489361702,473
structured60_auto,60,P0,PRODUCTION_OPTIMIZE,1,3,1,0,0,0,0,3,0.0,4347.201325666667,4339.585533,4360.2967002,4362.597941,4339.420503,1.6415123333333332,1.6537466,333.0,333,1743.0,1743,626.0,626
structured60_auto,60,P0,BENCHMARK_FEASIBILITY_ONLY,1,1,1,0,0,0,0,1,0.0,15.577636,15.577636,15.577636,15.577636,15.577636,4.224569,4.224569,333.0,333,1743.0,1743,626.0,626
structured60_auto,60,PF,PRODUCTION_OPTIMIZE,59,59,59,0,0,0,0,59,0.0,4490.4622806949155,4463.5792360000005,5371.676646499998,5667.844865,2769.1335019999997,1.6402609322033899,1.7188808,335.3728813559322,357,1744.2711864406779,1824,620.1525423728814,695
structured60_auto,60,PF,BENCHMARK_FEASIBILITY_ONLY,59,59,59,0,0,0,0,59,0.0,15.753676203389832,15.738449000000001,17.1704419,17.329759,14.552519,4.138269338983051,4.3376053,335.3728813559322,357,1744.2711864406779,1824,620.1525423728814,695
structured60_auto,60,SHARED,PRODUCTION_OPTIMIZE,53,53,53,0,0,0,0,53,0.0,4218.975413716981,4346.812937000001,5084.9956758,6307.273337,2265.740089,1.6447016981132077,1.7539984,335.75471698113205,345,1749.132075471698,1824,623.8679245283018,695
structured60_auto,60,SHARED,BENCHMARK_FEASIBILITY_ONLY,53,53,53,0,0,0,0,53,0.0,15.524110679245283,15.496151,16.791491399999998,16.947515,13.441309,4.163031301886792,4.4522792,335.75471698113205,345,1749.132075471698,1824,623.8679245283018,695
structured80_auto,80,P0,PRODUCTION_OPTIMIZE,1,3,1,0,0,0,0,3,0.0,20152.55244733333,20146.881376999998,20189.8746587,20194.65169,20116.124275000002,3.268762666666667,3.3669151,579.0,579,3465.0,3465,1570.0,1570
structured80_auto,80,P0,BENCHMARK_FEASIBILITY_ONLY,1,1,1,0,0,0,0,1,0.0,36.75824,36.75824,36.75824,36.75824,36.75824,7.976617,7.976617,579.0,579,3465.0,3465,1570.0,1570
structured80_auto,80,PF,PRODUCTION_OPTIMIZE,99,99,98,0,1,0,0,98,0.010101010101010102,15323.644086367347,13597.9946485,23037.091806099997,28005.113894000002,11071.91432,3.2673968571428573,3.4313694,580.5555555555555,603,3486.3232323232323,3595,1586.6565656565656,1694
structured80_auto,80,PF,BENCHMARK_FEASIBILITY_ONLY,99,99,99,0,0,0,0,99,0.0,44.92938181818182,36.212824999999995,108.17671119999999,130.18802300000002,30.555086,8.07625396969697,8.410496199999999,580.5555555555555,603,3486.3232323232323,3595,1586.6565656565656,1694
structured80_auto,80,SHARED,PRODUCTION_OPTIMIZE,85,85,84,0,1,0,0,84,0.011764705882352941,14899.458472190478,13234.0081415,22882.282385249997,23928.359012,9888.529143,3.2889905238095234,3.4706136,580.9294117647058,605,3506.0941176470587,3633,1605.3058823529411,1726
structured80_auto,80,SHARED,BENCHMARK_FEASIBILITY_ONLY,85,85,85,0,0,0,0,85,0.0,50.28360818823529,36.422639,108.3391584,123.273847,30.064522999999998,8.142057658823528,8.518284,580.9294117647058,605,3506.0941176470587,3633,1605.3058823529411,1726
structured100_auto,100,P0,PRODUCTION_OPTIMIZE,1,3,0,0,1,0,0,0,1.0,,,,,,,,895.0,895,5877.0,5877,2994.0,2994
structured100_auto,100,P0,BENCHMARK_FEASIBILITY_ONLY,1,1,1,0,0,0,0,1,0.0,398.390959,398.390959,398.390959,398.390959,398.390959,13.6893,13.6893,895.0,895,5877.0,5877,2994.0,2994
