scenario,switch_count,tt_flow_count,candidate_fault_count,p0_status,p0_z3_median_ms,pf_z3_mean_ms,pf_z3_p95_ms,pf_z3_max_ms,median_overhead_ratio,p95_overhead_ratio,timeout_count,unknown_other_count,unsat_count,no_route_count
structured20_auto,20,20,22,SAT,216.279044,230.7004364090909,296.6555443,306.142066,53.17514305411584,69.47332461424051,0,0,0,1
structured30_auto,30,30,26,SAT,299.00421700000004,312.84005315384616,338.23087599999997,398.30847600000004,63.137795287227455,71.12311690379232,0,0,0,0
structured40_auto,40,40,32,SAT,518.502664,557.4192713125,656.6749083,800.361207,82.01539184685721,119.83817090630308,0,0,0,0
structured50_auto,50,50,52,SAT,2191.0639779999997,2008.2012113076923,2325.271155,2374.117893,185.13460484921356,206.2023422349796,0,0,0,0
structured60_auto,60,60,59,SAT,4339.585533,4490.4622806949155,5371.676646499998,5667.844865,281.42961587134175,340.3461156457844,0,0,0,0
structured80_auto,80,80,99,SAT,20146.881376999998,15323.644086367347,23037.091806099997,28005.113894000002,376.0875716126039,608.250343850748,2,0,0,0
structured100_auto,100,100,0,TIMEOUT,,,,,,,1,0,0,0
