collision_event_count,density,first_collision_instance_a,first_collision_instance_b,flow_a,flow_b,kind_a,kind_b,maximum_overlap_ticks,minimum_overlap_ticks,scenario,source_egress
16,D100,0,0,CMD_PLC_C15_M04_A2_C15_M04,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,ControlCommand,2,2,L_ROR,PLC_C15_M04
16,D100,0,0,CMD_PLC_C16_M03_A1_C16_M03,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,ControlCommand,10,10,L_ROR,PLC_C16_M03
1,D095,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,M_RING,CC_C03
16,D095,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,M_RING,PLC_C06_M02
16,D095,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,M_RING,PLC_C06_M02
1,D095,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,M_REDSTAR,CC_C03
16,D095,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,M_REDSTAR,PLC_C06_M02
16,D095,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,M_REDSTAR,PLC_C06_M02
1,D095,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,M_ROR,CC_C03
16,D095,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,M_ROR,PLC_C06_M02
16,D095,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,M_ROR,PLC_C06_M02
