HNF_count,HNF_set_sha,cover_excess,is_minimum_vertex_cover,is_vertex_cover,mode_or_policy,scenario,source_experiment
14,56d140bc45619aeaf76edd373660b6050cf916a9c1fbc2579217f7b643830e3b,0,True,True,SEEDED_TIEBREAK:9,L_REDSTAR,exp18d
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,0,True,True,LOWEST_ID,L_REDSTAR,exp18f
14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,0,True,True,LOWEST_TRAFFIC,L_REDSTAR,exp18f
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,0,True,True,LOW_PERIOD,L_REDSTAR,exp18f
14,583a264f4ebc2e589fa4b90a648970ec9af809b92bd9f90fe8b2e960a939e2a3,0,True,True,SOURCE_NODE,L_REDSTAR,exp18f
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,0,True,True,H2S_FORMAL_D100,L_RING,baseline
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,0,True,True,BASELINE:0,L_RING,exp18d
14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,0,True,True,SEEDED_TIEBREAK:0,L_RING,exp18d
14,1cc9c441425cd00c9d5af37cf9cbf4665be6f276de999ae42aa5fed1d4768f80,0,True,True,SEEDED_TIEBREAK:1,L_RING,exp18d
14,da80a610b3f1b2d8f21505be02294efc58dbb28241fa4c8e479d05a718f9bc70,0,True,True,SEEDED_TIEBREAK:10,L_RING,exp18d
14,24aaa752835e9800cb20c05c5c054b470d91e3ef1bf3745cfb1d55cfe30b4785,0,True,True,SEEDED_TIEBREAK:11,L_RING,exp18d
14,57bfdcb791967aeb4f718f3cf3e23c1b56b50b97607e0bf2c652a1d669aaf6aa,0,True,True,SEEDED_TIEBREAK:12,L_RING,exp18d
14,04ec33a72fc70ecdedbf435bb8fd4f80a6ccf7ce233f9c6254bfb178e8b76f33,0,True,True,SEEDED_TIEBREAK:13,L_RING,exp18d
14,cc69b0709afa180ffb629449b77b849f921ee84bee6865d705d1239a34bdea6b,0,True,True,SEEDED_TIEBREAK:14,L_RING,exp18d
14,6b07afaf39e5a49a665c2b1c75c65170fcbae183fff480e06470010f885240fc,0,True,True,SEEDED_TIEBREAK:15,L_RING,exp18d
14,cb49f395cb062427269d026c19682bfcb604c984c6cbe2eb20114647b3918acb,0,True,True,SEEDED_TIEBREAK:16,L_RING,exp18d
14,04ec33a72fc70ecdedbf435bb8fd4f80a6ccf7ce233f9c6254bfb178e8b76f33,0,True,True,SEEDED_TIEBREAK:17,L_RING,exp18d
14,eb0bb7d9d19cb02ccf23b3e63cc03af3f8ce7c8daff74dc986d967ffcb87db60,0,True,True,SEEDED_TIEBREAK:18,L_RING,exp18d
14,05ceb106f2662109c91441ee67bc2cd65c8f0a551e0c3a6151f32cf190f9ac83,0,True,True,SEEDED_TIEBREAK:19,L_RING,exp18d
14,8bb194c1e8020c119d2dd36d60e1e35613ae184c86a252e4804ae4cfe828f549,0,True,True,SEEDED_TIEBREAK:2,L_RING,exp18d
14,60969812b2838e9363e0b964ec67759532b61da38da87ac854c6e5e08bdbd4ce,0,True,True,SEEDED_TIEBREAK:20,L_RING,exp18d
14,18a9e31fda7713d716b60b4a5cebe4e8abf8de96d9ab3ad257fb9dd2b64009ba,0,True,True,SEEDED_TIEBREAK:21,L_RING,exp18d
14,2496c40892d6fc49b9e34d3914ca10bd0deeaaf56d92c939afb0bfb15f809281,0,True,True,SEEDED_TIEBREAK:22,L_RING,exp18d
14,ad6f81450cffef2ceb0c30564eac79016be7f2b422b16caa08ef7e56f823d8db,0,True,True,SEEDED_TIEBREAK:23,L_RING,exp18d
14,ddf510bce6c9759cdb2cdb9d6c10dad95bdbfdee0501233be110ecfb597490c0,0,True,True,SEEDED_TIEBREAK:24,L_RING,exp18d
14,380c520f0bbcbd1fcabb430eae8d3d3606c4e391a2352bb775a840f686fdc80e,0,True,True,SEEDED_TIEBREAK:25,L_RING,exp18d
14,daa805bd8455652239fdd185688501c163c3a70f0d3933021947883d22d0f4d9,0,True,True,SEEDED_TIEBREAK:26,L_RING,exp18d
