HNF_is_vertex_cover,HNF_minus_MVC,cardinality_bound_matched,conflict_edge_count,density,full_set_infeasible_by_collision,historical_all_flow_static_checker,hnf_has_no_partial_instance,mechanism_explanation_status,mvc_exact,mvc_size,observed_HNF_count,observed_HNF_flow_ids,scale,scenario,scheduled_set_is_independent,scheduled_subset_continuity_checker,topology,upstream_verifier_passed,verified_historical_schedule
True,0,True,4,D100,True,False,True,EXACT_MVC_MATCH,True,4,4,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;COORD_CC_C05_PLC_C05_M02;IC_PREV_CC_C03,M,M_REDSTAR,True,True,REDSTAR,True,True
True,0,True,0,D050,False,True,True,NO_COLLISION_EDGE,True,0,0,,M,M_RING,True,True,RING,True,True
True,0,True,0,D060,False,True,True,NO_COLLISION_EDGE,True,0,0,,M,M_RING,True,True,RING,True,True
True,0,True,0,D070,False,True,True,NO_COLLISION_EDGE,True,0,0,,M,M_RING,True,True,RING,True,True
True,0,True,1,D080,True,False,True,EXACT_MVC_MATCH,True,1,1,CMD_PLC_C06_M02_A2_C06_M02,M,M_RING,True,True,RING,True,True
True,0,True,2,D085,True,False,True,EXACT_MVC_MATCH,True,2,2,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02,M,M_RING,True,True,RING,True,True
True,0,True,2,D090,True,False,True,EXACT_MVC_MATCH,True,2,2,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02,M,M_RING,True,True,RING,True,True
True,0,True,3,D095,True,False,True,EXACT_MVC_MATCH,True,3,3,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;IC_PREV_CC_C03,M,M_RING,True,True,RING,True,True
True,0,True,4,D100,True,False,True,EXACT_MVC_MATCH,True,4,4,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;COORD_CC_C05_PLC_C05_M02;IC_PREV_CC_C03,M,M_RING,True,True,RING,True,True
True,0,True,0,D050,False,True,True,NO_COLLISION_EDGE,True,0,0,,M,M_ROR,True,True,ROR,True,True
True,0,True,0,D060,False,True,True,NO_COLLISION_EDGE,True,0,0,,M,M_ROR,True,True,ROR,True,True
True,0,True,0,D070,False,True,True,NO_COLLISION_EDGE,True,0,0,,M,M_ROR,True,True,ROR,True,True
True,0,True,1,D080,True,False,True,EXACT_MVC_MATCH,True,1,1,CMD_PLC_C06_M02_A2_C06_M02,M,M_ROR,True,True,ROR,True,True
True,0,True,2,D085,True,False,True,EXACT_MVC_MATCH,True,2,2,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02,M,M_ROR,True,True,ROR,True,True
True,0,True,2,D090,True,False,True,EXACT_MVC_MATCH,True,2,2,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02,M,M_ROR,True,True,ROR,True,True
True,0,True,3,D095,True,False,True,EXACT_MVC_MATCH,True,3,3,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;IC_PREV_CC_C03,M,M_ROR,True,True,ROR,True,True
True,0,True,4,D100,True,False,True,EXACT_MVC_MATCH,True,4,4,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;COORD_CC_C05_PLC_C05_M02;IC_PREV_CC_C03,M,M_ROR,True,True,ROR,True,True
