density,fixed_release,fixed_release_parity,flow_id,flow_kind,frame_size,frame_size_parity,frames_per_hyper_cycle,parity_pass,period_parity,period_ticks,relative_deadline_parity,relative_deadline_ticks,release_offset_parity,release_offset_ticks,scenario,transmission_ticks,transmission_ticks_parity,upstream_input
D070,True,True,CMD_PLC_C03_M03_A3_C03_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,39,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M01_A2_C04_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,276,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M01_A3_C04_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,755,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M02_A2_C04_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,843,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M02_A3_C04_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,142,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M02_A4_C04_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,743,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M03_A1_C04_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,960,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M03_A2_C04_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,130,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M03_A3_C04_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,99,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C04_M03_A4_C04_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,723,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M01_A1_C05_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,679,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M01_A2_C05_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,813,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M01_A3_C05_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,317,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M01_A4_C05_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,876,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M02_A3_C05_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,886,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M03_A2_C05_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,961,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M03_A3_C05_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,677,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C05_M03_A4_C05_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,653,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M01_A1_C06_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,11,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M01_A2_C06_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,185,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M01_A3_C06_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,994,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M01_A4_C06_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,489,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,595,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,979,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M03_A1_C06_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,85,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M03_A3_C06_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,964,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C06_M03_A4_C06_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,825,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M01_A1_C07_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,687,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M01_A2_C07_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,975,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M01_A3_C07_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,843,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M02_A3_C07_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,309,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M02_A4_C07_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,399,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M03_A1_C07_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,761,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M03_A2_C07_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,581,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C07_M03_A3_C07_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,1,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
