PF_attempted,affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,link_id,p0_used,relevant_fault,scale,scenario,topology
False,0,,0.0,A4_C02_M01,SW_C02_M01_ACT,a_A4_C02_M01_SW_C02_M01_ACT,1,False,a_A4_C02_M01_SW_C02_M01_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C02_M02,SW_C02_M02_ACT,a_A4_C02_M02_SW_C02_M02_ACT,1,False,a_A4_C02_M02_SW_C02_M02_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C02_M03,SW_C02_M03_ACT,a_A4_C02_M03_SW_C02_M03_ACT,1,False,a_A4_C02_M03_SW_C02_M03_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C03_M01,SW_C03_M01_ACT,a_A4_C03_M01_SW_C03_M01_ACT,1,False,a_A4_C03_M01_SW_C03_M01_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C03_M02,SW_C03_M02_ACT,a_A4_C03_M02_SW_C03_M02_ACT,1,False,a_A4_C03_M02_SW_C03_M02_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C03_M03,SW_C03_M03_ACT,a_A4_C03_M03_SW_C03_M03_ACT,1,False,a_A4_C03_M03_SW_C03_M03_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C04_M01,SW_C04_M01_ACT,a_A4_C04_M01_SW_C04_M01_ACT,1,False,a_A4_C04_M01_SW_C04_M01_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C04_M02,SW_C04_M02_ACT,a_A4_C04_M02_SW_C04_M02_ACT,1,False,a_A4_C04_M02_SW_C04_M02_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C04_M03,SW_C04_M03_ACT,a_A4_C04_M03_SW_C04_M03_ACT,1,False,a_A4_C04_M03_SW_C04_M03_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C05_M01,SW_C05_M01_ACT,a_A4_C05_M01_SW_C05_M01_ACT,1,False,a_A4_C05_M01_SW_C05_M01_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C05_M02,SW_C05_M02_ACT,a_A4_C05_M02_SW_C05_M02_ACT,1,False,a_A4_C05_M02_SW_C05_M02_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C05_M03,SW_C05_M03_ACT,a_A4_C05_M03_SW_C05_M03_ACT,1,False,a_A4_C05_M03_SW_C05_M03_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C06_M01,SW_C06_M01_ACT,a_A4_C06_M01_SW_C06_M01_ACT,1,False,a_A4_C06_M01_SW_C06_M01_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C06_M02,SW_C06_M02_ACT,a_A4_C06_M02_SW_C06_M02_ACT,1,False,a_A4_C06_M02_SW_C06_M02_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C06_M03,SW_C06_M03_ACT,a_A4_C06_M03_SW_C06_M03_ACT,1,False,a_A4_C06_M03_SW_C06_M03_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C07_M01,SW_C07_M01_ACT,a_A4_C07_M01_SW_C07_M01_ACT,1,False,a_A4_C07_M01_SW_C07_M01_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C07_M02,SW_C07_M02_ACT,a_A4_C07_M02_SW_C07_M02_ACT,1,False,a_A4_C07_M02_SW_C07_M02_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C07_M03,SW_C07_M03_ACT,a_A4_C07_M03_SW_C07_M03_ACT,1,False,a_A4_C07_M03_SW_C07_M03_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C08_M01,SW_C08_M01_ACT,a_A4_C08_M01_SW_C08_M01_ACT,1,False,a_A4_C08_M01_SW_C08_M01_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C08_M02,SW_C08_M02_ACT,a_A4_C08_M02_SW_C08_M02_ACT,1,False,a_A4_C08_M02_SW_C08_M02_ACT,True,False,M,M_RING,RING
False,0,,0.0,A4_C08_M03,SW_C08_M03_ACT,a_A4_C08_M03_SW_C08_M03_ACT,1,False,a_A4_C08_M03_SW_C08_M03_ACT,True,False,M,M_RING,RING
False,0,,0.0,CC_C01,SW_C01_CC,a_CC_C01_SW_C01_CC,10,False,a_CC_C01_SW_C01_CC,True,False,M,M_RING,RING
False,0,,0.0,CC_C02,SW_C02_CC,a_CC_C02_SW_C02_CC,10,False,a_CC_C02_SW_C02_CC,True,False,M,M_RING,RING
False,0,,0.0,CC_C03,SW_C03_CC,a_CC_C03_SW_C03_CC,10,False,a_CC_C03_SW_C03_CC,True,False,M,M_RING,RING
False,0,,0.0,CC_C04,SW_C04_CC,a_CC_C04_SW_C04_CC,10,False,a_CC_C04_SW_C04_CC,True,False,M,M_RING,RING
False,0,,0.0,CC_C05,SW_C05_CC,a_CC_C05_SW_C05_CC,10,False,a_CC_C05_SW_C05_CC,True,False,M,M_RING,RING
False,0,,0.0,CC_C06,SW_C06_CC,a_CC_C06_SW_C06_CC,10,False,a_CC_C06_SW_C06_CC,True,False,M,M_RING,RING
False,0,,0.0,CC_C07,SW_C07_CC,a_CC_C07_SW_C07_CC,10,False,a_CC_C07_SW_C07_CC,True,False,M,M_RING,RING
False,0,,0.0,CC_C08,SW_C08_CC,a_CC_C08_SW_C08_CC,10,False,a_CC_C08_SW_C08_CC,True,False,M,M_RING,RING
False,0,,0.0,PLC_C01_M01,SW_C01_M01_CTRL,a_PLC_C01_M01_SW_C01_M01_CTRL,14,False,a_PLC_C01_M01_SW_C01_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C01_M02,SW_C01_M02_CTRL,a_PLC_C01_M02_SW_C01_M02_CTRL,14,False,a_PLC_C01_M02_SW_C01_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C01_M03,SW_C01_M03_CTRL,a_PLC_C01_M03_SW_C01_M03_CTRL,14,False,a_PLC_C01_M03_SW_C01_M03_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C02_M01,SW_C02_M01_CTRL,a_PLC_C02_M01_SW_C02_M01_CTRL,14,False,a_PLC_C02_M01_SW_C02_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C02_M02,SW_C02_M02_CTRL,a_PLC_C02_M02_SW_C02_M02_CTRL,14,False,a_PLC_C02_M02_SW_C02_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C02_M03,SW_C02_M03_CTRL,a_PLC_C02_M03_SW_C02_M03_CTRL,14,False,a_PLC_C02_M03_SW_C02_M03_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C03_M01,SW_C03_M01_CTRL,a_PLC_C03_M01_SW_C03_M01_CTRL,14,False,a_PLC_C03_M01_SW_C03_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C03_M02,SW_C03_M02_CTRL,a_PLC_C03_M02_SW_C03_M02_CTRL,14,False,a_PLC_C03_M02_SW_C03_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C03_M03,SW_C03_M03_CTRL,a_PLC_C03_M03_SW_C03_M03_CTRL,14,False,a_PLC_C03_M03_SW_C03_M03_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C04_M01,SW_C04_M01_CTRL,a_PLC_C04_M01_SW_C04_M01_CTRL,14,False,a_PLC_C04_M01_SW_C04_M01_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C04_M02,SW_C04_M02_CTRL,a_PLC_C04_M02_SW_C04_M02_CTRL,14,False,a_PLC_C04_M02_SW_C04_M02_CTRL,True,False,M,M_RING,RING
False,0,,0.0,PLC_C04_M03,SW_C04_M03_CTRL,a_PLC_C04_M03_SW_C04_M03_CTRL,14,False,a_PLC_C04_M03_SW_C04_M03_CTRL,True,False,M,M_RING,RING
