CELF_rescue_rate,CELF_trigger_rate,H2S_primary_success_rate,PF_attempted,candidate_coverage,internal_physical_links,relevant_faults,scenario,structural_no_route_count,successful_valid_profiles,unused_internal_faults,valid_profile_coverage
0.0,0.0,1.0,80,1.0,80,80,M_RING,0,80,0,1.0
0.0,0.0,1.0,128,1.0,201,128,M_REDSTAR,0,128,73,1.0
0.0,0.0,1.0,110,1.0,112,110,M_ROR,0,110,2,1.0
0.0,0.0,1.0,208,1.0,208,208,L_RING,0,208,0,1.0
0.0,0.0,1.0,318,1.0,497,318,L_REDSTAR,0,318,179,1.0
0.0,0.0,1.0,255,1.0,272,255,L_ROR,0,255,17,1.0
