load_imbalance_ratio,lower_bound_ms,lpt_makespan_ms,lpt_to_lower_bound,max_worker_load,min_worker_load,parallel_efficiency,scope,serial_work_ms,speedup,workers
1.0000000000000002,32972.940537,32972.94053700001,1.0000000000000002,32972.94053700001,32972.94053700001,0.9999999999999998,M_RING,32972.940537,0.9999999999999998,1
1.0001113379923117,16486.4702685,16488.305839,1.0001113379923117,16488.305839,16484.634697999998,0.999888674402457,M_RING,32972.940537,1.999777348804914,2
1.0003845470495958,8243.23513425,8246.405046,1.0003845470495958,8246.405046,8240.571942999999,0.9996156007699941,M_RING,32972.940537,3.9984624030799765,4
1.0012348403975166,4121.617567125,4126.707107,1.0012348403975166,4126.707107,4116.131969,0.9987666825526903,M_RING,32972.940537,7.990133460421522,8
1.0057849469259788,2060.8087835625,2072.730453,1.0057849469259788,2072.730453,2054.271786,0.99424832620168,M_RING,32972.940537,15.90797321922688,16
1.1442343582812498,1030.40439178125,1179.024108,1.1442343582812498,1179.024108,877.005975,0.8739468385673163,M_RING,32972.940537,27.96629883415412,32
0.9999999999999998,65830.23793,65830.23792999999,0.9999999999999998,65830.23792999999,65830.23792999999,1.0000000000000002,M_REDSTAR,65830.23793,1.0000000000000002,1
1.0000201472460333,32915.118965,32915.782114,1.0000201472460333,32915.782114,32914.455815999994,0.9999798531598701,M_REDSTAR,65830.23793,1.9999597063197403,2
1.001104292560469,16457.5594825,16475.733443,1.001104292560469,16475.733443,16439.039631000003,0.9988969255564327,M_REDSTAR,65830.23793,3.995587702225731,4
1.0015527015124672,8228.77974125,8241.556579999999,1.0015527015124672,8241.556579999999,8200.934245,0.9984497056319429,M_REDSTAR,65830.23793,7.987597645055543,8
1.0038188022693662,4114.389870625,4130.101912,1.0038188022693662,4130.101912,4087.927588,0.9961957255027174,M_REDSTAR,65830.23793,15.939131608043478,16
1.0050687606256992,2057.1949353125,2067.622364,1.0050687606256992,2067.622364,2028.336253,0.9949568021370562,M_REDSTAR,65830.23793,31.838617668385798,32
0.9999999999999997,45367.838137,45367.838136999984,0.9999999999999997,45367.838136999984,45367.838136999984,1.0000000000000002,M_ROR,45367.838137,1.0000000000000002,1
1.000627241106664,22683.9190685,22698.147355,1.000627241106664,22698.147355,22669.690782000005,0.9993731520781203,M_ROR,45367.838137,1.9987463041562405,2
1.0162649765406875,11341.95953425,11526.436240000003,1.0162649765406875,11526.436240000003,11170.399969000002,0.9839953388966993,M_ROR,45367.838137,3.9359813555867973,4
1.0182660270585862,5670.979767125,5774.566037,1.0182660270585862,5774.566037,5398.862151,0.9820616355910937,M_ROR,45367.838137,7.85649308472875,8
1.0189619013452265,2835.4898835625,2889.2561629999996,1.0189619013452265,2889.2561629999996,2510.6869,0.9813909614086719,M_ROR,45367.838137,15.70225538253875,16
1.1537249584152474,1417.74494178125,1635.687724,1.1537249584152474,1635.687724,1253.342116,0.8667577074640013,M_ROR,45367.838137,27.73624663884804,32
0.9999999999999999,413183.190149,413183.1901489999,0.9999999999999999,413183.1901489999,413183.1901489999,1.0000000000000002,L_RING,413183.190149,1.0000000000000002,1
1.0000131573334292,206591.5950745,206594.31326900006,1.0000131573334292,206594.31326900006,206588.87687999997,0.9999868428396839,L_RING,413183.190149,1.9999736856793677,2
1.0001704501941973,103295.79753725,103313.40432599999,1.0001704501941973,103313.40432599999,103275.131155,0.99982957885412,L_RING,413183.190149,3.99931831541648,4
