fault_count,max_peak_rss_bytes,mean_peak_rss_bytes,p50_peak_rss_bytes,p95_peak_rss_bytes,scenario
80,28160000,24515430.4,26386432.0,27996160.0,M_RING
128,23257088,23170304.0,23240704.0,23252992.0,M_REDSTAR
110,20262912,19693828.654545456,19566592.0,20254720.0,M_ROR
208,68579328,58671990.15384615,63553536.0,68411392.0,L_RING
318,53698560,53618378.86792453,53682176.0,53694464.0,L_REDSTAR
255,44621824,43945196.92549019,44253184.0,44613632.0,L_ROR
