fault_count,max_ms,max_pf_to_p0_ratio,mean_ms,p0_reference_ms,p50_ms,p50_pf_to_p0_ratio,p75_ms,p90_ms,p95_ms,p95_pf_to_p0_ratio,p99_ms,scenario,serial_fault_backend_ms
80,549.369858,2.5912520417842173,412.1617567125,212.00942600000002,425.38751,2.006455646929585,464.424464,502.544462,506.745205,2.390201296993276,549.369858,M_RING,32972.940537
128,595.847009,1.7946002603028262,514.298733828125,332.0221345,511.671394,1.5410761537646822,528.174162,546.886893,553.386857,1.666716762222369,574.425818,M_REDSTAR,65830.23793
110,473.989024,1.8785405671946256,412.4348921545455,252.317694,410.241886,1.625894242676457,431.066073,443.117856,452.581077,1.7936953601042345,470.641355,M_ROR,45367.838137
208,2530.265017,2.1602988294585144,1986.4576449471153,1171.2569495,2111.869567,1.8030796469566648,2231.596675,2358.253648,2400.969651,2.049908563637513,2466.558918,L_RING,413183.190149
318,2759.845035,1.4385244077171646,1720.4287841477988,1918.524997,1477.70365,0.7702290313186886,1522.119785,2587.229093,2645.795256,1.3790778124534386,2721.516052,L_REDSTAR,547096.3533590001
255,1122.883204,0.8221413087248016,1048.0249715764705,1365.803168,1045.982881,0.7658372051747943,1065.484441,1078.531971,1094.969118,0.8017034545346727,1115.370545,L_ROR,267246.367752
