affected_flow_count,affected_flow_ids,affected_flow_ratio,algorithm_used,all_flows_scheduled,candidate_rank,candidate_route_generation_ms,canonical_gzip_bytes,canonical_profile_bytes,celf_fallback_used,celf_wall_ms,conversion_ms,diagnostic,fault_id,h2s_wall_ms,heuristic_not_found,hnf_signature,input_semantics_pass,p0_reference_ms,peak_rss_bytes,pf_to_p0_ratio,primary_h2s_success,profile_normalization_ms,profile_ref,profile_sha256,project_static_checker_pass,repeat,requested_flow_count,route_hash,scale,scenario,schedule_hash,scheduled_flow_count,scheduled_flow_ratio,scheduling_ms,semantic_gzip_bytes,semantic_payload_bytes,semantic_profile_hash,semantic_valid,status,structural_no_route,topology,total_backend_ms,upstream_verifier_pass,verification_ms
2,IC_NEXT_CC_C01;IC_PREV_CC_C02,0.005681818181818182,H2S,True,11,23.763536,101946,2240553,False,0.0,7.804552,,l_SW_C01_M03_SENS_SW_C02_CC,112.520425,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,19738624,1.4924138986159983,True,38.990257,profiles/M_RING/l_SW_C01_M03_SENS_SW_C02_CC.json,9139cc19246df06468c3b8cf5b598df9fa5b2fa69f5a131785904c0ac51db857,True,1,352,e88e31bc88f7b3c7dcc5ecc4d7ee54e1548737ad8ea4f4feffdacfac04bc5f61,M,M_RING,6b45ee813b0edae6697b2155cd24e119d9138e72ee056a9d618d43aadb04f275,352,1.0,88.756889,101653,2240189,06bffdbcb93ba7f66f27418e6f605383232f4deeb4b08f57efa4c90793bdfac2,True,SUCCESS_H2S,False,RING,316.405814,True,117.102872
8,COORD_CC_C02_PLC_C02_M01;COORD_CC_C02_PLC_C02_M02;COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;STAT_PLC_C02_M01;STAT_PLC_C02_M02;STAT_PLC_C02_M03,0.022727272727272728,H2S,True,12,24.298555,119793,2574945,False,0.0,7.285962,,l_SW_C02_CC_SW_C02_M01_ACT,108.164236,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,21426176,1.5334216696572727,True,33.703293,profiles/M_RING/l_SW_C02_CC_SW_C02_M01_ACT.json,fcabf2a3ba4220acdfc376ce5d69a0293162cc137e32c96f36f1857c78c35c4c,True,1,352,f256e334fb4bfef674cdf60ce829792cfe88d8a3e2bc2aa7c955d338368a79a7,M,M_RING,149e545cde11d9c4cbc1cce0fb48510b690aa0315d5f63440bb34fb09df2bc39,352,1.0,83.865681,119512,2574446,3e67f409c21a3722cc2d3ff847b8ca426a6d5e8f6c0cf93b811fb771fc88219f,True,SUCCESS_H2S,False,RING,325.099848,True,131.291084
12,CMD_PLC_C02_M01_A1_C02_M01;CMD_PLC_C02_M01_A2_C02_M01;CMD_PLC_C02_M01_A3_C02_M01;CMD_PLC_C02_M01_A4_C02_M01;COORD_CC_C02_PLC_C02_M01;COORD_CC_C02_PLC_C02_M02;COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;STAT_PLC_C02_M01;STAT_PLC_C02_M02;STAT_PLC_C02_M03,0.03409090909090909,H2S,True,13,29.550869,177989,3877621,False,0.0,5.985113,,l_SW_C02_M01_ACT_SW_C02_M01_CTRL,127.70198,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,27230208,2.084976528354923,True,68.054529,profiles/M_RING/l_SW_C02_M01_ACT_SW_C02_M01_CTRL.json,2e836c9b96fde6382b8fc302fd4a61507fa943a2650a01d96a2d8c8e3677d04c,True,1,352,7e62fb86736f8dfeb889f9ac343560c821439fee58368932db0ed9bba8496281,M,M_RING,d6b0c635e85a2bee70c0802cecafbae8a34608069bd5a9e32e088b766cbc8ff8,352,1.0,98.15111100000001,177627,3876988,5552a34cbf23ac8ef10679de1d602d2241d10f4a8d3904be303d87a1bc8d5b77,True,SUCCESS_H2S,False,RING,442.034677,True,176.394734
14,COORD_CC_C02_PLC_C02_M02;COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;SC_S1_C02_M01;SC_S2_C02_M01;SC_S3_C02_M01;SC_S4_C02_M01;SF_S1_C02_M01;SF_S2_C02_M01;SF_S3_C02_M01;SF_S4_C02_M01;STAT_PLC_C02_M02;STAT_PLC_C02_M03,0.03977272727272727,H2S,True,14,26.352351,193201,4015993,False,0.0,5.550942,,l_SW_C02_M01_CTRL_SW_C02_M01_SENS,145.078874,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,28160000,2.32729775420457,True,60.241586,profiles/M_RING/l_SW_C02_M01_CTRL_SW_C02_M01_SENS.json,aaa7d59eaca88f72f4e89f258bfade588b63c6e4cfff68b4e573c792e8153a7b,True,1,352,0f73e3bbae8adcf5f03971e6ab321038f7db6e4b37d3a371d8d45a1b402672df,M,M_RING,052c42c6123030d3cd6bfa9a0950c49c2afdf0b6a0d505eeb0fd92386223602d,352,1.0,118.72652300000001,192866,4015391,3d011797cb2db32696739b8123284df3015c4c82fdf49a90c5b1e49081abb7ec,True,SUCCESS_H2S,False,RING,493.409061,True,221.004895
6,COORD_CC_C02_PLC_C02_M02;COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;STAT_PLC_C02_M02;STAT_PLC_C02_M03,0.017045454545454544,H2S,True,15,26.378085,114108,2454970,False,0.0,6.976145,,l_SW_C02_M01_SENS_SW_C02_M02_ACT,109.573376,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,20766720,1.551955633331133,True,34.430315,profiles/M_RING/l_SW_C02_M01_SENS_SW_C02_M02_ACT.json,7ee3fda370958df4c95d14d52eeb76d1c9a0327740fa1f88cd9d96a4a94f0b79,True,1,352,cfa76d2cc1d1ba1d426c92c61d1f61d5a2d28c3cd32dead4ffb9a0a6232784cd,M,M_RING,5e789571ec7ed734033845d11c25fa2babb33fdfd6cdccd74c4248ccc7dded66,352,1.0,83.195291,113814,2454499,78581550c7a2b4d5541aa2b8439308a49ac82a29e172340c15a818684d1f08c5,True,SUCCESS_H2S,False,RING,329.029223,True,131.597966
10,CMD_PLC_C02_M02_A1_C02_M02;CMD_PLC_C02_M02_A2_C02_M02;CMD_PLC_C02_M02_A3_C02_M02;CMD_PLC_C02_M02_A4_C02_M02;COORD_CC_C02_PLC_C02_M02;COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;STAT_PLC_C02_M02;STAT_PLC_C02_M03,0.028409090909090908,H2S,True,16,27.02647,172499,3753686,False,0.0,5.984537,,l_SW_C02_M02_ACT_SW_C02_M02_CTRL,129.670464,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,26558464,2.0075572677603493,True,50.40955,profiles/M_RING/l_SW_C02_M02_ACT_SW_C02_M02_CTRL.json,877a1c11ba7d37cc3a301f1b44e502f83cb1af72b5039338e76d69c0461b308f,True,1,352,850f645bd0953604876da15b417d158ac218aab0688ee76d236d8c383a423367,M,M_RING,84e5f52c298f00b7316d1a875e6edb3c93c5b9849a7328c7742fff65fe23d935,352,1.0,102.643994,172108,3753099,ba01e472fb13e225309ef28016cb1b4067faf0827bea89efe4bacef0d7c9d9e3,True,SUCCESS_H2S,False,RING,425.621064,True,169.803169
12,COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;SC_S1_C02_M02;SC_S2_C02_M02;SC_S3_C02_M02;SC_S4_C02_M02;SF_S1_C02_M02;SF_S2_C02_M02;SF_S3_C02_M02;SF_S4_C02_M02;STAT_PLC_C02_M03,0.03409090909090909,H2S,True,17,27.935082,186459,3895024,False,0.0,4.233479,,l_SW_C02_M02_CTRL_SW_C02_M02_SENS,134.293889,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,27656192,2.0574314511846277,True,56.629217,profiles/M_RING/l_SW_C02_M02_CTRL_SW_C02_M02_SENS.json,352781e94d37ba85fb43644934cadc869384330540cff21168cf9d769b0d6a8b,True,1,352,4d2a3af8858b5a15be54e01fab2189e8b1945579ce2374825eeac2e9169deb66,M,M_RING,06520159cdd7ecc52bb953935dae139ef6824051d66a94f2b14644a8d0ae20d5,352,1.0,106.35880700000001,186126,3894468,32ddcfb441914bffee62b4c64f958c62deb67b31a8d632f708149008330599c2,True,SUCCESS_H2S,False,RING,436.194861,True,178.319134
4,COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;STAT_PLC_C02_M03,0.011363636363636364,H2S,True,18,27.017276,108982,2342614,False,0.0,8.797537,,l_SW_C02_M02_SENS_SW_C02_M03_ACT,118.918132,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,20242432,1.6148716000957428,True,40.605834,profiles/M_RING/l_SW_C02_M02_SENS_SW_C02_M03_ACT.json,c3068d85fce31c44ee05c4056b296603384ca101ac04f38bb16fd1c4402bdc71,True,1,352,d6fcd8a1c02a79e9af56911d38eaf715ae62a5846b0b2da5c8ed31ea202582a6,M,M_RING,d0861d3958ed9bdaaf74fdb19a4a3bf705c9380bd6b59cf2c932deed5496a19b,352,1.0,91.900856,108673,2342189,38539c5a529087d8f24514c293327983b2f17a5cd8698a2c99b822a02b20869d,True,SUCCESS_H2S,False,RING,342.368001,True,127.641585
8,CMD_PLC_C02_M03_A1_C02_M03;CMD_PLC_C02_M03_A2_C02_M03;CMD_PLC_C02_M03_A3_C02_M03;CMD_PLC_C02_M03_A4_C02_M03;COORD_CC_C02_PLC_C02_M03;IC_NEXT_CC_C02;IC_PREV_CC_C03;STAT_PLC_C02_M03,0.022727272727272728,H2S,True,19,26.317095,167565,3650811,False,0.0,7.776832,,l_SW_C02_M03_ACT_SW_C02_M03_CTRL,130.959979,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,26382336,1.9951222970623956,True,48.839668,profiles/M_RING/l_SW_C02_M03_ACT_SW_C02_M03_CTRL.json,cadc87811aaf7505476e3387af9f9dd0603b3f9b414adae9e41b131768bc8cea,True,1,352,08edcf965a279cc867ed2b3f9c268b667827dd40d8be41cf7c10a11f5ebf34d2,M,M_RING,25b9c8485d425c8009b4ad8f4a0229d9033b622e883aed63311bfb05cedef46f,352,1.0,104.64288400000001,167224,3650270,37b4b3d69b32c513daea03f7bc9a82bed7562a7e156fc38cacd36735e349efcf,True,SUCCESS_H2S,False,RING,422.984733,True,170.80763
10,IC_NEXT_CC_C02;IC_PREV_CC_C03;SC_S1_C02_M03;SC_S2_C02_M03;SC_S3_C02_M03;SC_S4_C02_M03;SF_S1_C02_M03;SF_S2_C02_M03;SF_S3_C02_M03;SF_S4_C02_M03,0.028409090909090908,H2S,True,20,25.748542999999998,179921,3799980,False,0.0,6.137667,,l_SW_C02_M03_CTRL_SW_C02_M03_SENS,137.99891,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,27369472,2.3850720203355484,True,68.123724,profiles/M_RING/l_SW_C02_M03_CTRL_SW_C02_M03_SENS.json,9c8a6ee709511a0957be8f187756a214ae8513b8832fcfd2d365598909695c2b,True,1,352,3f14723e406180d2e0494c30600ccc9fe39480d4a145d35d56ca2eff22e82033,M,M_RING,908dc22427505de4a56728583ce0484698536e1511de02527af1ff17e8ab7d8f,352,1.0,112.250367,179607,3799470,f1ceaa7c64e81bb20e285a93ab62a5a4ba635c45f43bc58201f337bdfc18ccff,True,SUCCESS_H2S,False,RING,505.65775,True,217.767019
2,IC_NEXT_CC_C02;IC_PREV_CC_C03,0.005681818181818182,H2S,True,21,21.446562999999998,101861,2240264,False,0.0,5.960754,,l_SW_C02_M03_SENS_SW_C03_CC,99.028224,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,19742720,1.461932338800823,True,36.252625,profiles/M_RING/l_SW_C02_M03_SENS_SW_C03_CC.json,004dea180e47a70d441556bdcefc0daefed3d3a81cc3266870532b96ab19f3ce,True,1,352,d81bc3b238d58636a2cbee73b346a378c3ddf915b0c6321c62eb7208b5744af3,M,M_RING,5256917aaf2026d7ca382230806d3044e11362a2c6242325708536dc7cb1a705,352,1.0,77.581661,101576,2239900,3db174b9cf8a957e0b165241842cbaac65db4f0446998c2c8a67a77f60702eb9,True,SUCCESS_H2S,False,RING,309.943436,True,129.126189
8,COORD_CC_C03_PLC_C03_M01;COORD_CC_C03_PLC_C03_M02;COORD_CC_C03_PLC_C03_M03;IC_NEXT_CC_C03;IC_PREV_CC_C04;STAT_PLC_C03_M01;STAT_PLC_C03_M02;STAT_PLC_C03_M03,0.022727272727272728,H2S,True,22,26.695930999999998,120014,2577150,False,0.0,6.628784,,l_SW_C03_CC_SW_C03_M01_ACT,114.060362,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,21262336,1.6849944256723752,True,37.500512,profiles/M_RING/l_SW_C03_CC_SW_C03_M01_ACT.json,1f40f7ddb542c8cbec36c6a91e8ee8bdc59537935534835c8dd69ca0ebb14a37,True,1,352,1a9d1a251a1a3206c830c5593246a7cf6ce198c665e7501a4548b3cb1b90ba4b,M,M_RING,d40549117746c39fe8bae07ddc7d8b2760ca51cecc2492e8f71ea044067d8d98,352,1.0,87.364431,119725,2576651,350f3ef11ff00c9855d0fa08cf86924a1c4038c0f5a2f243f15f654de429bac1,True,SUCCESS_H2S,False,RING,357.234701,True,151.235733
12,CMD_PLC_C03_M01_A1_C03_M01;CMD_PLC_C03_M01_A2_C03_M01;CMD_PLC_C03_M01_A3_C03_M01;CMD_PLC_C03_M01_A4_C03_M01;COORD_CC_C03_PLC_C03_M01;COORD_CC_C03_PLC_C03_M02;COORD_CC_C03_PLC_C03_M03;IC_NEXT_CC_C03;IC_PREV_CC_C04;STAT_PLC_C03_M01;STAT_PLC_C03_M02;STAT_PLC_C03_M03,0.03409090909090909,H2S,True,23,25.247337,178719,3877098,False,0.0,4.308535,,l_SW_C03_M01_ACT_SW_C03_M01_CTRL,141.151095,False,ba8b68000c3fdced0ab4368572c055793dbf1c035e605df503bcf0b8337e5c67,True,212.00942600000002,27066368,2.1506463113578733,True,61.158727,profiles/M_RING/l_SW_C03_M01_ACT_SW_C03_M01_CTRL.json,656f0b2fbfdf6a788c8e6e1e8235e66c5e0a410c82ccaa3166d2bc72ebdbccba,True,1,352,f32bdd1567c9a1f339b416dfa1af973975a9d18cf279a2bb6703ca056d5b1b7b,M,M_RING,8050bbe1fe51f3d80b3fd726d3cb553be268c6e582536430aa7740708c79f587,352,1.0,115.903758,178389,3876465,c80d8c32a66190e5555eb925bb6ea784a1e5639e636ffe00bd02ace8f9189465,True,SUCCESS_H2S,False,RING,455.95729,True,180.585666
