scenario,mode,fault_id,flow_id,source,destination,period_s,deadline_e2e_s,route_before,route_after,sent,received,lost,deadline_miss_count,deadline_miss_ratio,mean_delay_us,p50_delay_us,p95_delay_us,max_delay_us,affected_by_fault
diamond,no-recovery,l_s1_s2,TT,source,destination,0.001,0.001,source->s1->s2->s4->destination,source->s1->s2->s4->destination,20,4,16,4,1,1342.92,1342.92,1342.92,1342.92,True
diamond,no-recovery,l_s1_s2,BE,source,destination,0.0002,,,,100,25,75,0,,480.264,465.6,521.64,521.64,False
