scenario,status,objective_ticks,route_solver_wall_us,smt_solver_wall_us,total_solver_wall_us,diagnostic
unit,PASS,,,,,
single,SAT,116,,7566.454,7566.454,lexicographic optimum found
multi_sat,SAT,216,,12192.567,12192.567,lexicographic optimum found
multi_unsat,UNSAT,-1,,8471.114,8471.114,minimum route serialization plus hop margins exceeds deadline for flow TT1
online_delay_0_1,SAT,116,12.164,7602.864,8086.893,
online_delay_1,SAT,116,14.453,8024.205,8508.694,
online_delay_5,SAT,116,11.554,7667.426,8101.404,
online_delay_10,SAT,116,12.34,7715.621,8162.997,
