baseline_HNF_count,exact_equal,intersection_count,jaccard,scenario,seed_HNF_count,tie_break_seed,union_count
14,False,8,0.4,L_REDSTAR,14,22,20
14,False,7,0.3333333333333333,L_REDSTAR,14,23,21
14,False,11,0.6470588235294118,L_REDSTAR,14,24,17
14,False,7,0.3333333333333333,L_REDSTAR,14,25,21
14,False,4,0.16666666666666666,L_REDSTAR,14,26,24
14,False,10,0.5555555555555556,L_REDSTAR,14,27,18
14,False,11,0.6470588235294118,L_REDSTAR,14,28,17
14,False,5,0.21739130434782608,L_REDSTAR,14,29,23
14,False,8,0.4,L_REDSTAR,14,30,20
14,False,8,0.4,L_REDSTAR,14,31,20
14,False,8,0.4,L_ROR,14,0,20
14,False,10,0.5555555555555556,L_ROR,14,1,18
14,False,7,0.3333333333333333,L_ROR,14,2,21
14,False,7,0.3333333333333333,L_ROR,14,3,21
14,False,11,0.6470588235294118,L_ROR,14,4,17
14,False,8,0.4,L_ROR,14,5,20
14,False,6,0.2727272727272727,L_ROR,14,6,22
14,False,7,0.3333333333333333,L_ROR,14,7,21
14,False,10,0.5555555555555556,L_ROR,14,8,18
14,False,8,0.4,L_ROR,14,9,20
14,False,6,0.2727272727272727,L_ROR,14,10,22
14,False,8,0.4,L_ROR,14,11,20
14,False,11,0.6470588235294118,L_ROR,14,12,17
14,False,7,0.3333333333333333,L_ROR,14,13,21
14,False,9,0.47368421052631576,L_ROR,14,14,19
14,False,5,0.21739130434782608,L_ROR,14,15,23
14,False,12,0.75,L_ROR,14,16,16
14,False,7,0.3333333333333333,L_ROR,14,17,21
14,False,9,0.47368421052631576,L_ROR,14,18,19
14,False,4,0.16666666666666666,L_ROR,14,19,24
14,False,8,0.4,L_ROR,14,20,20
14,False,9,0.47368421052631576,L_ROR,14,21,19
14,False,8,0.4,L_ROR,14,22,20
14,False,7,0.3333333333333333,L_ROR,14,23,21
14,False,11,0.6470588235294118,L_ROR,14,24,17
14,False,7,0.3333333333333333,L_ROR,14,25,21
14,False,4,0.16666666666666666,L_ROR,14,26,24
14,False,10,0.5555555555555556,L_ROR,14,27,18
14,False,11,0.6470588235294118,L_ROR,14,28,17
14,False,5,0.21739130434782608,L_ROR,14,29,23
14,False,8,0.4,L_ROR,14,30,20
14,False,8,0.4,L_ROR,14,31,20
