actual_candidate_count,flow_id,mode,scenario,tie_break_seed
1,CMD_PLC_C07_M03_A4_C07_M03,BASELINE,M_RING,0
1,CMD_PLC_C08_M01_A1_C08_M01,BASELINE,M_RING,0
1,CMD_PLC_C08_M01_A2_C08_M01,BASELINE,M_RING,0
1,CMD_PLC_C08_M01_A3_C08_M01,BASELINE,M_RING,0
1,CMD_PLC_C08_M01_A4_C08_M01,BASELINE,M_RING,0
1,CMD_PLC_C08_M02_A1_C08_M02,BASELINE,M_RING,0
1,CMD_PLC_C08_M02_A2_C08_M02,BASELINE,M_RING,0
1,CMD_PLC_C08_M02_A3_C08_M02,BASELINE,M_RING,0
1,CMD_PLC_C08_M02_A4_C08_M02,BASELINE,M_RING,0
1,CMD_PLC_C08_M03_A1_C08_M03,BASELINE,M_RING,0
1,CMD_PLC_C08_M03_A2_C08_M03,BASELINE,M_RING,0
1,CMD_PLC_C08_M03_A3_C08_M03,BASELINE,M_RING,0
1,CMD_PLC_C08_M03_A4_C08_M03,BASELINE,M_RING,0
1,COORD_CC_C01_PLC_C01_M01,BASELINE,M_RING,0
2,COORD_CC_C01_PLC_C01_M02,BASELINE,M_RING,0
2,COORD_CC_C01_PLC_C01_M03,BASELINE,M_RING,0
1,COORD_CC_C02_PLC_C02_M01,BASELINE,M_RING,0
2,COORD_CC_C02_PLC_C02_M02,BASELINE,M_RING,0
2,COORD_CC_C02_PLC_C02_M03,BASELINE,M_RING,0
1,COORD_CC_C03_PLC_C03_M01,BASELINE,M_RING,0
2,COORD_CC_C03_PLC_C03_M02,BASELINE,M_RING,0
2,COORD_CC_C03_PLC_C03_M03,BASELINE,M_RING,0
1,COORD_CC_C04_PLC_C04_M01,BASELINE,M_RING,0
2,COORD_CC_C04_PLC_C04_M02,BASELINE,M_RING,0
2,COORD_CC_C04_PLC_C04_M03,BASELINE,M_RING,0
1,COORD_CC_C05_PLC_C05_M01,BASELINE,M_RING,0
2,COORD_CC_C05_PLC_C05_M02,BASELINE,M_RING,0
2,COORD_CC_C05_PLC_C05_M03,BASELINE,M_RING,0
1,COORD_CC_C06_PLC_C06_M01,BASELINE,M_RING,0
2,COORD_CC_C06_PLC_C06_M02,BASELINE,M_RING,0
2,COORD_CC_C06_PLC_C06_M03,BASELINE,M_RING,0
1,COORD_CC_C07_PLC_C07_M01,BASELINE,M_RING,0
2,COORD_CC_C07_PLC_C07_M02,BASELINE,M_RING,0
2,COORD_CC_C07_PLC_C07_M03,BASELINE,M_RING,0
1,COORD_CC_C08_PLC_C08_M01,BASELINE,M_RING,0
2,COORD_CC_C08_PLC_C08_M02,BASELINE,M_RING,0
2,COORD_CC_C08_PLC_C08_M03,BASELINE,M_RING,0
2,IC_NEXT_CC_C01,BASELINE,M_RING,0
2,IC_NEXT_CC_C02,BASELINE,M_RING,0
2,IC_NEXT_CC_C03,BASELINE,M_RING,0
2,IC_NEXT_CC_C04,BASELINE,M_RING,0
2,IC_NEXT_CC_C05,BASELINE,M_RING,0
2,IC_NEXT_CC_C06,BASELINE,M_RING,0
2,IC_NEXT_CC_C07,BASELINE,M_RING,0
2,IC_NEXT_CC_C08,BASELINE,M_RING,0
2,IC_PREV_CC_C01,BASELINE,M_RING,0
2,IC_PREV_CC_C02,BASELINE,M_RING,0
2,IC_PREV_CC_C03,BASELINE,M_RING,0
2,IC_PREV_CC_C04,BASELINE,M_RING,0
2,IC_PREV_CC_C05,BASELINE,M_RING,0
2,IC_PREV_CC_C06,BASELINE,M_RING,0
2,IC_PREV_CC_C07,BASELINE,M_RING,0
2,IC_PREV_CC_C08,BASELINE,M_RING,0
1,SC_S1_C01_M01,BASELINE,M_RING,0
1,SC_S1_C01_M02,BASELINE,M_RING,0
1,SC_S1_C01_M03,BASELINE,M_RING,0
1,SC_S1_C02_M01,BASELINE,M_RING,0
1,SC_S1_C02_M02,BASELINE,M_RING,0
1,SC_S1_C02_M03,BASELINE,M_RING,0
1,SC_S1_C03_M01,BASELINE,M_RING,0
1,SC_S1_C03_M02,BASELINE,M_RING,0
1,SC_S1_C03_M03,BASELINE,M_RING,0
1,SC_S1_C04_M01,BASELINE,M_RING,0
1,SC_S1_C04_M02,BASELINE,M_RING,0
1,SC_S1_C04_M03,BASELINE,M_RING,0
1,SC_S1_C05_M01,BASELINE,M_RING,0
1,SC_S1_C05_M02,BASELINE,M_RING,0
1,SC_S1_C05_M03,BASELINE,M_RING,0
