HNF_rank_max,HNF_rank_median,HNF_rank_min,backend,rank_interpretation,scenario,scheduled_rank_median
0.37037037037037035,0.25071225071225073,0.18518518518518517,H2S,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,M_RING,0.5056980056980057
0.31054131054131057,0.24074074074074076,0.18518518518518517,CELF,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,M_RING,0.5056980056980057
0.37037037037037035,0.25071225071225073,0.18518518518518517,H2S,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,M_REDSTAR,0.5056980056980057
0.31054131054131057,0.24074074074074076,0.18518518518518517,CELF,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,M_REDSTAR,0.5056980056980057
0.37037037037037035,0.25071225071225073,0.18518518518518517,H2S,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,M_ROR,0.5056980056980057
0.31054131054131057,0.24074074074074076,0.18518518518518517,CELF,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,M_ROR,0.5056980056980057
0.9525350593311759,0.2168284789644013,0.03344120819848975,H2S,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,L_RING,0.5064724919093851
0.29449838187702265,0.2038834951456311,0.03344120819848975,CELF,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,L_RING,0.5075512405609492
0.9525350593311759,0.2168284789644013,0.03344120819848975,H2S,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,L_REDSTAR,0.5064724919093851
0.29449838187702265,0.2038834951456311,0.03344120819848975,CELF,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,L_REDSTAR,0.5075512405609492
0.9525350593311759,0.2168284789644013,0.03344120819848975,H2S,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,L_ROR,0.5064724919093851
0.29449838187702265,0.2038834951456311,0.03344120819848975,CELF,CANONICAL_INPUT_ID_NOT_PROVEN_ADMISSION_ORDER,L_ROR,0.5075512405609492
