HNF_count,HNF_fraction,HNF_rate,HNF_rate_enrichment_vs_all_flows,all_flow_count,all_flow_fraction,backend,flow_kind,scenario
2,0.14285714285714285,0.03125,2.071428571428571,64,0.06896551724137931,CELF,MachineCoordination,L_REDSTAR
0,0.0,0.0,0.0,64,0.06896551724137931,CELF,MachineStatus,L_REDSTAR
0,0.0,0.0,0.0,256,0.27586206896551724,CELF,SensorCyclic,L_REDSTAR
0,0.0,0.0,0.0,256,0.27586206896551724,CELF,SensorFast,L_REDSTAR
11,0.7857142857142857,0.04296875,2.8482142857142856,256,0.27586206896551724,H2S,ControlCommand,L_ROR
0,0.0,0.0,0.0,16,0.017241379310344827,H2S,InterCellNext,L_ROR
1,0.07142857142857142,0.0625,4.142857142857142,16,0.017241379310344827,H2S,InterCellPrevious,L_ROR
1,0.07142857142857142,0.015625,1.0357142857142856,64,0.06896551724137931,H2S,MachineCoordination,L_ROR
1,0.07142857142857142,0.015625,1.0357142857142856,64,0.06896551724137931,H2S,MachineStatus,L_ROR
0,0.0,0.0,0.0,256,0.27586206896551724,H2S,SensorCyclic,L_ROR
0,0.0,0.0,0.0,256,0.27586206896551724,H2S,SensorFast,L_ROR
12,0.8571428571428571,0.046875,3.107142857142857,256,0.27586206896551724,CELF,ControlCommand,L_ROR
0,0.0,0.0,0.0,16,0.017241379310344827,CELF,InterCellNext,L_ROR
0,0.0,0.0,0.0,16,0.017241379310344827,CELF,InterCellPrevious,L_ROR
2,0.14285714285714285,0.03125,2.071428571428571,64,0.06896551724137931,CELF,MachineCoordination,L_ROR
0,0.0,0.0,0.0,64,0.06896551724137931,CELF,MachineStatus,L_ROR
0,0.0,0.0,0.0,256,0.27586206896551724,CELF,SensorCyclic,L_ROR
0,0.0,0.0,0.0,256,0.27586206896551724,CELF,SensorFast,L_ROR
