scenario,policy_id,step,left_cluster,right_cluster,merged_members,min_pairwise_jaccard,max_edge_distance,merge_priority,result_candidate_group_id
structured20_auto,J100,1,l_sw06_sw07,l_sw07_sw08,l_sw06_sw07;l_sw07_sw08,1.0,0,"[-1.0,0,-2,[""l_sw06_sw07"",""l_sw07_sw08""]]",G0009
structured20_auto,J100,2,l_sw08_sw09,l_sw09_sw10,l_sw08_sw09;l_sw09_sw10,1.0,0,"[-1.0,0,-2,[""l_sw08_sw09"",""l_sw09_sw10""]]",G0011
structured20_auto,J100,3,l_sw11_sw17,l_sw17_sw18,l_sw11_sw17;l_sw17_sw18,1.0,0,"[-1.0,0,-2,[""l_sw11_sw17"",""l_sw17_sw18""]]",G0015
structured20_auto,J100,4,l_sw13_sw19,l_sw19_sw20,l_sw13_sw19;l_sw19_sw20,1.0,0,"[-1.0,0,-2,[""l_sw13_sw19"",""l_sw19_sw20""]]",G0016
structured20_auto,J100,5,l_sw03_sw08,l_sw13_sw18,l_sw03_sw08;l_sw13_sw18,1.0,1,"[-1.0,1,-2,[""l_sw03_sw08"",""l_sw13_sw18""]]",G0006
