CELF_HNF_count,CELF_HNF_set_sha,CELF_attempted,CELF_complete,CELF_ms,CELF_scheduled_count,CELF_status,H2S_HNF_count,H2S_HNF_set_sha,H2S_complete,H2S_ms,H2S_scheduled_count,H2S_status,actual_global_density,actual_global_density_decimal,candidate_vector_sha,density_tag,expected_instances,formal_HNF_count,formal_complete,formal_scheduled_count,formal_status,input_integrity_pass,instance_completion_sha,on_wire_bytes_per_hyperperiod,original_TT_count,peak_RSS,repeat,retained_TT_count,rho_decimal,rho_den,rho_num,scale,scenario,static_checker,topology,total_wall_ms,upstream_verifier
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,358.029037,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,360.278681,914,HEURISTIC_NOT_FOUND,928/928,1,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,D100,9632,14,False,914,HEURISTIC_NOT_FOUND,True,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,1386496,928,42659840,1,928,1,1,1,L,L_ROR,False,ROR,1871.235555,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,358.663697,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,373.085454,914,HEURISTIC_NOT_FOUND,928/928,1,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,D100,9632,14,False,914,HEURISTIC_NOT_FOUND,True,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,1386496,928,42659840,2,928,1,1,1,L,L_ROR,False,ROR,1915.876669,True
3,2eeaa87678b088950ac0b6f0834d608585abea9b791e26e4c81a34cbcea46814,True,False,60.313067,328,HEURISTIC_NOT_FOUND,3,e495bc233e5f995b5eba55a61feefa21f5c69306188302f3c0fd9e6330178bcf,False,63.471187,328,HEURISTIC_NOT_FOUND,331/352,0.9403409090909090909090909091,3287dcf882738732790f986181f5760c8daf24d04affbd945ead32826cac38bf,D095,3422,3,False,328,HEURISTIC_NOT_FOUND,True,e44bb2fd909047aebe6e40ac783a77dc865aa947a44f6c5cc10ebc01b9964d41,492928,352,18731008,1,331,0.95,20,19,M,M_RING,False,RING,298.757668,True
3,2eeaa87678b088950ac0b6f0834d608585abea9b791e26e4c81a34cbcea46814,True,False,59.943972,328,HEURISTIC_NOT_FOUND,3,e495bc233e5f995b5eba55a61feefa21f5c69306188302f3c0fd9e6330178bcf,False,59.543123,328,HEURISTIC_NOT_FOUND,331/352,0.9403409090909090909090909091,3287dcf882738732790f986181f5760c8daf24d04affbd945ead32826cac38bf,D095,3422,3,False,328,HEURISTIC_NOT_FOUND,True,e44bb2fd909047aebe6e40ac783a77dc865aa947a44f6c5cc10ebc01b9964d41,492928,352,18731008,2,331,0.95,20,19,M,M_RING,False,RING,296.351227,True
3,2eeaa87678b088950ac0b6f0834d608585abea9b791e26e4c81a34cbcea46814,True,False,93.538133,328,HEURISTIC_NOT_FOUND,3,e495bc233e5f995b5eba55a61feefa21f5c69306188302f3c0fd9e6330178bcf,False,90.040933,328,HEURISTIC_NOT_FOUND,331/352,0.9403409090909090909090909091,be363b2443dc1f854dd1e346d6704e0733f42e440ede5fe2992ae8ede0296da3,D095,3422,3,False,328,HEURISTIC_NOT_FOUND,True,40edb8430d9490ef293656859af96a8178cf53a1084a343fc1cbdc6d68f6200d,492928,352,22089728,1,331,0.95,20,19,M,M_REDSTAR,False,REDSTAR,492.044849,True
3,2eeaa87678b088950ac0b6f0834d608585abea9b791e26e4c81a34cbcea46814,True,False,88.354296,328,HEURISTIC_NOT_FOUND,3,e495bc233e5f995b5eba55a61feefa21f5c69306188302f3c0fd9e6330178bcf,False,90.878795,328,HEURISTIC_NOT_FOUND,331/352,0.9403409090909090909090909091,be363b2443dc1f854dd1e346d6704e0733f42e440ede5fe2992ae8ede0296da3,D095,3422,3,False,328,HEURISTIC_NOT_FOUND,True,40edb8430d9490ef293656859af96a8178cf53a1084a343fc1cbdc6d68f6200d,492928,352,22089728,2,331,0.95,20,19,M,M_REDSTAR,False,REDSTAR,484.756264,True
3,2eeaa87678b088950ac0b6f0834d608585abea9b791e26e4c81a34cbcea46814,True,False,82.644574,328,HEURISTIC_NOT_FOUND,3,e495bc233e5f995b5eba55a61feefa21f5c69306188302f3c0fd9e6330178bcf,False,83.637385,328,HEURISTIC_NOT_FOUND,331/352,0.9403409090909090909090909091,89945426b80bd04a5f64974e04a40841cf4a6eb920a0efbb5ca9df5bdf741196,D095,3422,3,False,328,HEURISTIC_NOT_FOUND,True,318ea5c7ea07c79e538d856fe90a1993619cb2695cb837635f7e203663c5db0a,492928,352,18391040,1,331,0.95,20,19,M,M_ROR,False,ROR,367.044001,True
3,2eeaa87678b088950ac0b6f0834d608585abea9b791e26e4c81a34cbcea46814,True,False,83.723373,328,HEURISTIC_NOT_FOUND,3,e495bc233e5f995b5eba55a61feefa21f5c69306188302f3c0fd9e6330178bcf,False,83.116439,328,HEURISTIC_NOT_FOUND,331/352,0.9403409090909090909090909091,89945426b80bd04a5f64974e04a40841cf4a6eb920a0efbb5ca9df5bdf741196,D095,3422,3,False,328,HEURISTIC_NOT_FOUND,True,318ea5c7ea07c79e538d856fe90a1993619cb2695cb837635f7e203663c5db0a,492928,352,18391040,2,331,0.95,20,19,M,M_ROR,False,ROR,361.541025,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,155.657142,866,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,159.571154,866,HEURISTIC_NOT_FOUND,879/928,0.9471982758620689655172413793,3c3d9994c148b718cd68408ff093c9e394778190986af112705c3f9dbd76f0c1,D095,9138,13,False,866,HEURISTIC_NOT_FOUND,True,b45bac11bf66e7a1a8afbab5aafc2765eda25f41a934bd7a30fc8ca7bb883362,1314432,928,42004480,1,879,0.95,20,19,L,L_RING,False,RING,1421.450583,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,152.214751,866,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,159.124367,866,HEURISTIC_NOT_FOUND,879/928,0.9471982758620689655172413793,3c3d9994c148b718cd68408ff093c9e394778190986af112705c3f9dbd76f0c1,D095,9138,13,False,866,HEURISTIC_NOT_FOUND,True,b45bac11bf66e7a1a8afbab5aafc2765eda25f41a934bd7a30fc8ca7bb883362,1314432,928,42004480,2,879,0.95,20,19,L,L_RING,False,RING,1397.317936,True
