algorithm,candidate_exact,count_exact,expected_scale_scheduled_count,hnf_exact,instance_exact,observed_HNF_set_sha,observed_candidate_vector_sha,observed_instance_completion_sha,observed_scheduled_count,parity_pass,repeat,scenario,source_HNF_set_sha,source_candidate_vector_sha,source_instance_completion_sha,source_scheduled_count
H2S,True,True,348,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,True,2,M_ROR,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348
CELF,True,True,348,True,True,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,f57dd6caf2af8579c586c20f63cb7d79a2a8c57d4e6bcfeefeb7508830f6d7a7,348,True,2,M_ROR,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,f57dd6caf2af8579c586c20f63cb7d79a2a8c57d4e6bcfeefeb7508830f6d7a7,348
H2S,True,True,914,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,True,1,L_RING,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914
CELF,True,True,914,True,True,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,True,1,L_RING,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914
H2S,True,True,914,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,True,2,L_RING,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914
CELF,True,True,914,True,True,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,True,2,L_RING,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914
H2S,True,True,914,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,True,1,L_REDSTAR,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914
CELF,True,True,914,True,True,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,True,1,L_REDSTAR,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914
H2S,True,True,914,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,True,2,L_REDSTAR,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914
CELF,True,True,914,True,True,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,True,2,L_REDSTAR,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914
H2S,True,True,914,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,True,1,L_ROR,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914
CELF,True,True,914,True,True,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914,True,1,L_ROR,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914
H2S,True,True,914,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,True,2,L_ROR,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914
CELF,True,True,914,True,True,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914,True,2,L_ROR,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914
