HNF_count,HNF_set_sha,backend,density_tag,repeat,rho_den,rho_num,scenario
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D090,1,10,9,M_RING
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D090,2,10,9,M_RING
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D090,2,10,9,M_RING
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D090,1,10,9,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D090,1,10,9,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D090,2,10,9,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D090,2,10,9,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D090,1,10,9,M_ROR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D090,1,10,9,M_ROR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D090,2,10,9,M_ROR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D090,2,10,9,M_ROR
13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,H2S,D090,1,10,9,L_RING
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,CELF,D090,1,10,9,L_RING
13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,H2S,D090,2,10,9,L_RING
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,CELF,D090,2,10,9,L_RING
13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,H2S,D090,1,10,9,L_REDSTAR
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,CELF,D090,1,10,9,L_REDSTAR
13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,H2S,D090,2,10,9,L_REDSTAR
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,CELF,D090,2,10,9,L_REDSTAR
13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,H2S,D090,1,10,9,L_ROR
