density_tag,flow_kind,logical_flow_count,on_wire_bytes_per_hyperperiod,packet_instance_count,rho,rho_den,rho_num,scale
D080,MachineCoordination,51,32640,102,4/5,5,4,L
D080,MachineStatus,51,65280,204,4/5,5,4,L
D080,SensorCyclic,204,156672,816,4/5,5,4,L
D080,SensorFast,204,417792,3264,4/5,5,4,L
D080,TOTAL,738,1104000,7674,4/5,5,4,L
D070,ControlCommand,179,366592,2864,7/10,10,7,L
D070,InterCellNext,11,6336,11,7/10,10,7,L
D070,InterCellPrevious,11,6336,11,7/10,10,7,L
D070,MachineCoordination,44,28160,88,7/10,10,7,L
D070,MachineStatus,44,56320,176,7/10,10,7,L
D070,SensorCyclic,179,137472,716,7/10,10,7,L
D070,SensorFast,179,366592,2864,7/10,10,7,L
D070,TOTAL,647,967808,6730,7/10,10,7,L
D060,ControlCommand,153,313344,2448,3/5,5,3,L
D060,InterCellNext,9,5184,9,3/5,5,3,L
D060,InterCellPrevious,9,5184,9,3/5,5,3,L
D060,MachineCoordination,38,24320,76,3/5,5,3,L
D060,MachineStatus,38,48640,152,3/5,5,3,L
D060,SensorCyclic,153,117504,612,3/5,5,3,L
D060,SensorFast,153,313344,2448,3/5,5,3,L
D060,TOTAL,553,827520,5754,3/5,5,3,L
D050,ControlCommand,128,262144,2048,1/2,2,1,L
D050,InterCellNext,8,4608,8,1/2,2,1,L
D050,InterCellPrevious,8,4608,8,1/2,2,1,L
D050,MachineCoordination,32,20480,64,1/2,2,1,L
D050,MachineStatus,32,40960,128,1/2,2,1,L
D050,SensorCyclic,128,98304,512,1/2,2,1,L
D050,SensorFast,128,262144,2048,1/2,2,1,L
D050,TOTAL,464,693248,4816,1/2,2,1,L
