CELF_fallback_complete_count,H2S_complete_count,alpha,alpha_den,alpha_num,complete_scenario_count,complete_scenario_count_over_6,large_complete_count,max_P0_ms,max_RSS,median_P0_ms,median_scheduled_ratio,medium_complete_count,minimum_scheduled_ratio,total_HNF_count
0,0,1/1,1,1,0,0/6,0,935.9535430000001,52719616,263.755087,0.986775078369906,0,0.9849137931034483,54
0,0,11/10,10,11,0,0/6,0,920.018631,52719616,258.0774205,0.986775078369906,0,0.9849137931034483,54
0,0,6/5,5,6,0,0/6,0,936.021026,52719616,262.68,0.986775078369906,0,0.9849137931034483,54
0,0,5/4,4,5,0,0/6,0,937.148416,52719616,266.143623,0.986775078369906,0,0.9849137931034483,54
0,0,4/3,3,4,0,0/6,0,924.634405,52719616,257.4842265,0.986775078369906,0,0.9849137931034483,54
