HNF_set_exact,alpha,formal_status_exact,instance_completion_exact,repeat_1_HNF_set_sha,repeat_1_instance_completion_sha,repeat_1_scheduled_count,repeat_1_status,repeat_2_HNF_set_sha,repeat_2_instance_completion_sha,repeat_2_scheduled_count,repeat_2_status,repeatability_pass,scenario,scheduled_count_exact
True,5/4,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,True,L_ROR,True
True,6/5,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,True,L_ROR,True
True,1/1,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,True,M_REDSTAR,True
True,11/10,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,True,M_REDSTAR,True
True,4/3,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,True,M_REDSTAR,True
True,5/4,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,True,M_REDSTAR,True
True,6/5,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,348,HEURISTIC_NOT_FOUND,True,M_REDSTAR,True
True,1/1,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,True,M_RING,True
True,11/10,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,True,M_RING,True
True,4/3,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,True,M_RING,True
True,5/4,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,True,M_RING,True
True,6/5,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,348,HEURISTIC_NOT_FOUND,True,M_RING,True
True,1/1,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,True,M_ROR,True
True,11/10,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,True,M_ROR,True
True,4/3,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,True,M_ROR,True
True,5/4,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,True,M_ROR,True
True,6/5,True,True,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,348,HEURISTIC_NOT_FOUND,True,M_ROR,True
