alpha,alpha_den,alpha_num,deadline_diff_count,derived_scenario,derived_scenario_sha,derived_topology_sha,integrity_pass,non_deadline_semantic_diff_count,non_deadline_semantic_diff_paths,parent_scenario_sha,parent_topology_sha,scenario
5/4,4,5,704,M_ROR_A125,5561201d4519a8de81ac72f75234245bb759484f474b27854cc4bdc0f1875549,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,True,0,,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,M_ROR
4/3,3,4,704,M_ROR_A133,81d2fa6ad951f2af440b9ddabb79a433f601aaf6e052dc12d6054799267dba47,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,True,0,,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,M_ROR
1/1,1,1,0,L_RING_A100,48309fc654a147136e595f5edcb2aa2c28831a8f346e661aadd594567ae6f226,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
11/10,10,11,1856,L_RING_A110,37fb0572b89626e9974331718e75dfdb24e3d43ba121ee33eec3be1a99ce08b1,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
6/5,5,6,1856,L_RING_A120,421e9f7e98aa8142abcbe665a4c734f089e6ab322c0fe54a1fd392d4afc91888,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
5/4,4,5,1856,L_RING_A125,f3bd09731065fb3ec9918f9a30dd59181f269ea506e355012ed40969f425302b,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
4/3,3,4,1856,L_RING_A133,0a503884c33be224950220266db752ee244c1850c424b6f9b89e232c4bf4c279,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
1/1,1,1,0,L_REDSTAR_A100,8098b7cae382dbca099ae1ab22434f42dd13b25eb8bdbe68704a31bb3c37c67e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,True,0,,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,L_REDSTAR
11/10,10,11,1856,L_REDSTAR_A110,87e4d759b904b4f47a8e2721ea59d0a87b9b6996aef5c75526fce111d07215bd,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,True,0,,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,L_REDSTAR
6/5,5,6,1856,L_REDSTAR_A120,38cd4666ac613bd472375e824be8d17b60b9710c8e7e67e8296d5ecd0cc3a6c0,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,True,0,,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,L_REDSTAR
5/4,4,5,1856,L_REDSTAR_A125,5c95a5c99b6b6d588cec77ccb8d188a8b9c17a3dd4c8c87e1db3ba602a223fe0,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,True,0,,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,L_REDSTAR
4/3,3,4,1856,L_REDSTAR_A133,04603cadb12ddd62ec0e6a53aa58baa5a3921390358ae1d85f3245537b7d62a8,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,True,0,,fe0c139dfdf185d7e05dc2bc70978f601b9c785342884c3a6f0aa66ff4f6f30e,a0d4e8328e5cdfa52e0d841b7ebb371c61eb6c7f2a07df5c3ad4ce2428fad46b,L_REDSTAR
1/1,1,1,0,L_ROR_A100,711ef3681ce6491d25d8ec35337b0dcfd3e5f3b63d5f75ff27e5db900285fa90,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,True,0,,ed3c5dea1f910e99aa05a826722c93c7f0b78b37e69f43b1e484d04fb6c98fa8,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,L_ROR
11/10,10,11,1856,L_ROR_A110,0632f08832746b9076e2b1e0940dd284ed585229d8e9eacf578be0f982d2482f,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,True,0,,ed3c5dea1f910e99aa05a826722c93c7f0b78b37e69f43b1e484d04fb6c98fa8,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,L_ROR
6/5,5,6,1856,L_ROR_A120,75c3bbe33c36c2942dff3d9a4bc470e3f092cf7901d7505ae3635d992a3ff21f,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,True,0,,ed3c5dea1f910e99aa05a826722c93c7f0b78b37e69f43b1e484d04fb6c98fa8,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,L_ROR
5/4,4,5,1856,L_ROR_A125,3485f7dd9362b6ddc8d0d36a171c3051812ecaf311e6572be6e9054d35552a12,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,True,0,,ed3c5dea1f910e99aa05a826722c93c7f0b78b37e69f43b1e484d04fb6c98fa8,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,L_ROR
4/3,3,4,1856,L_ROR_A133,a51bfdc62f273e7ece4e64709cf779c4b6cb17ffc94e44da366528d953a6780d,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,True,0,,ed3c5dea1f910e99aa05a826722c93c7f0b78b37e69f43b1e484d04fb6c98fa8,0d1537ea4f545d035aaf500391ed393440340a32df8b6fa9ba2bf3d3cd84d509,L_ROR
