CELF_attempted,CELF_ms,CELF_scheduled_count,CELF_status,H2S_ms,H2S_scheduled_count,H2S_status,HNF_count,HNF_set_sha,P0_complete,alpha,alpha_decimal,alpha_den,alpha_num,complete_instances,expected_instances,formal_algorithm,formal_scheduled_count,formal_status,instance_completion_sha,missing_instances,peak_RSS,repeat,scale,scenario,scheduled_ratio,static_checker,topology,total_flows,upstream_verifier
True,93.667128,348,PARTIAL_SCHEDULE,95.013478,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,11/10,1.1,10,11,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23068672,1,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,93.513129,348,PARTIAL_SCHEDULE,92.313378,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,11/10,1.1,10,11,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23072768,2,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,90.497217,348,PARTIAL_SCHEDULE,87.2503,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,11/10,1.1,10,11,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,18960384,1,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,86.807764,348,PARTIAL_SCHEDULE,88.383715,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,11/10,1.1,10,11,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,19124224,2,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,160.105825,914,PARTIAL_SCHEDULE,167.36841,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,11/10,1.1,10,11,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,1,L,L_RING,0.9849137931034483,False,RING,928,True
True,161.031621,914,PARTIAL_SCHEDULE,169.199938,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,11/10,1.1,10,11,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,2,L,L_RING,0.9849137931034483,False,RING,928,True
True,456.440805,914,PARTIAL_SCHEDULE,463.577826,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,11/10,1.1,10,11,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,183,52719616,1,L,L_REDSTAR,0.9849137931034483,False,REDSTAR,928,True
True,468.407797,914,PARTIAL_SCHEDULE,483.510346,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,11/10,1.1,10,11,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,183,52719616,2,L,L_REDSTAR,0.9849137931034483,False,REDSTAR,928,True
True,365.900719,914,PARTIAL_SCHEDULE,358.532743,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,11/10,1.1,10,11,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,183,42659840,1,L,L_ROR,0.9849137931034483,False,ROR,928,True
True,356.460297,914,PARTIAL_SCHEDULE,368.360516,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,11/10,1.1,10,11,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,183,42655744,2,L,L_ROR,0.9849137931034483,False,ROR,928,True
