K,backend,candidate_count_max,candidate_count_mean,candidate_count_median,candidate_count_min,candidate_count_p25,candidate_count_p75,candidate_count_p90,candidate_count_p95,candidate_saturation_ratio,candidate_underfilled_ratio,candidate_vector_sha256,flow_count,repeat,scenario
8,CELF,6,2.2252155172413794,2.0,2,2,2,3,3,0.0,1.0,af373cd1277510b7019d8db85eff5c923850e9ee44bc7f01b3b6231c95169831,928,1,L_ROR
8,H2S,6,2.2252155172413794,2.0,2,2,2,3,3,0.0,1.0,af373cd1277510b7019d8db85eff5c923850e9ee44bc7f01b3b6231c95169831,928,2,L_ROR
8,CELF,6,2.2252155172413794,2.0,2,2,2,3,3,0.0,1.0,af373cd1277510b7019d8db85eff5c923850e9ee44bc7f01b3b6231c95169831,928,2,L_ROR
12,H2S,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,1,M_RING
12,CELF,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,1,M_RING
12,H2S,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,2,M_RING
12,CELF,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,2,M_RING
12,H2S,8,2.2386363636363638,2.0,2,2,2,2,2,0.0,1.0,954f074f16cdbd91cc63f6de25e2c6234dc9e98eccd283d76786279f8f4a0745,352,1,M_REDSTAR
12,CELF,8,2.2386363636363638,2.0,2,2,2,2,2,0.0,1.0,954f074f16cdbd91cc63f6de25e2c6234dc9e98eccd283d76786279f8f4a0745,352,1,M_REDSTAR
12,H2S,8,2.2386363636363638,2.0,2,2,2,2,2,0.0,1.0,954f074f16cdbd91cc63f6de25e2c6234dc9e98eccd283d76786279f8f4a0745,352,2,M_REDSTAR
12,CELF,8,2.2386363636363638,2.0,2,2,2,2,2,0.0,1.0,954f074f16cdbd91cc63f6de25e2c6234dc9e98eccd283d76786279f8f4a0745,352,2,M_REDSTAR
12,H2S,6,2.247159090909091,2.0,2,2,2,3,3,0.0,1.0,e988bde6e2ef7713682e3acf84a2ad66c22a01f3d411c1880bcb186b5fbfed05,352,1,M_ROR
12,CELF,6,2.247159090909091,2.0,2,2,2,3,3,0.0,1.0,e988bde6e2ef7713682e3acf84a2ad66c22a01f3d411c1880bcb186b5fbfed05,352,1,M_ROR
