K,backend,repeat1_HNF_set_sha256,repeat1_candidate_vector_sha256,repeat1_instance_completion_sha256,repeat1_scheduled_flow_count,repeat1_status,repeat2_HNF_set_sha256,repeat2_candidate_vector_sha256,repeat2_instance_completion_sha256,repeat2_scheduled_flow_count,repeat2_status,repeat_consistent,scenario
8,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,True,L_RING
8,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING
12,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,True,L_RING
12,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING
16,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,True,L_RING
16,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING
5,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914,HEURISTIC_NOT_FOUND,True,L_ROR
5,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,True,L_ROR
8,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,af373cd1277510b7019d8db85eff5c923850e9ee44bc7f01b3b6231c95169831,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,af373cd1277510b7019d8db85eff5c923850e9ee44bc7f01b3b6231c95169831,9820c2a3b5c3a533387cf69a00ddbf09921ccb7b023b81ca28d866acd3f21a3d,914,HEURISTIC_NOT_FOUND,True,L_ROR
8,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,af373cd1277510b7019d8db85eff5c923850e9ee44bc7f01b3b6231c95169831,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,af373cd1277510b7019d8db85eff5c923850e9ee44bc7f01b3b6231c95169831,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,914,HEURISTIC_NOT_FOUND,True,L_ROR
