CELF_ms,CELF_scheduled_count,CELF_scheduled_ratio,CELF_status,H2S_ms,H2S_scheduled_count,H2S_scheduled_ratio,H2S_status,HNF_count,HNF_set_sha256,P0_complete,candidate_count_max,candidate_count_mean,candidate_count_median,candidate_count_min,candidate_count_p25,candidate_count_p75,candidate_count_p90,candidate_count_p95,candidate_saturation_ratio,candidate_underfilled_ratio,candidate_vector_sha256,formal_backend,formal_final_status,formal_scheduled_count,peak_RSS_bytes,repeat_consistent,requested_K,scale,scenario,topology,total_ms
92.509777,348,0.9886363636363636,HEURISTIC_NOT_FOUND,92.477104,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,5,2.1306818181818183,2.0,2,2,2,2,2,0.03977272727272727,0.9602272727272727,f92192456b709835c3a7a46fa152937432e5ef8738e2062cca14a009d6355fdf,CELF,HEURISTIC_NOT_FOUND,348,22724608,True,5,M,M_REDSTAR,REDSTAR,184.98688099999998
94.04773449999999,348,0.9886363636363636,HEURISTIC_NOT_FOUND,94.49351100000001,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,8,2.2386363636363638,2.0,2,2,2,2,2,0.03409090909090909,0.9659090909090909,954f074f16cdbd91cc63f6de25e2c6234dc9e98eccd283d76786279f8f4a0745,CELF,HEURISTIC_NOT_FOUND,348,22736896,True,8,M,M_REDSTAR,REDSTAR,188.5412455
95.704577,348,0.9886363636363636,HEURISTIC_NOT_FOUND,97.082934,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,8,2.2386363636363638,2.0,2,2,2,2,2,0.0,1.0,954f074f16cdbd91cc63f6de25e2c6234dc9e98eccd283d76786279f8f4a0745,CELF,HEURISTIC_NOT_FOUND,348,22736896,True,12,M,M_REDSTAR,REDSTAR,192.787511
96.54103549999999,348,0.9886363636363636,HEURISTIC_NOT_FOUND,98.52373800000001,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,8,2.2386363636363638,2.0,2,2,2,2,2,0.0,1.0,954f074f16cdbd91cc63f6de25e2c6234dc9e98eccd283d76786279f8f4a0745,CELF,HEURISTIC_NOT_FOUND,348,22732800,True,16,M,M_REDSTAR,REDSTAR,195.0647735
63.55274849999999,348,0.9886363636363636,HEURISTIC_NOT_FOUND,62.436231,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,CELF,HEURISTIC_NOT_FOUND,348,19226624,True,5,M,M_RING,RING,125.9889795
65.082863,348,0.9886363636363636,HEURISTIC_NOT_FOUND,67.214084,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,CELF,HEURISTIC_NOT_FOUND,348,19226624,True,8,M,M_RING,RING,132.296947
64.72252,348,0.9886363636363636,HEURISTIC_NOT_FOUND,62.5148365,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,CELF,HEURISTIC_NOT_FOUND,348,19226624,True,12,M,M_RING,RING,127.2373565
63.812912999999995,348,0.9886363636363636,HEURISTIC_NOT_FOUND,63.789441000000004,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,CELF,HEURISTIC_NOT_FOUND,348,19226624,True,16,M,M_RING,RING,127.602354
87.9598355,348,0.9886363636363636,HEURISTIC_NOT_FOUND,87.3262925,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,5,2.227272727272727,2.0,2,2,2,3,3,0.045454545454545456,0.9545454545454546,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,CELF,HEURISTIC_NOT_FOUND,348,18776064,True,5,M,M_ROR,ROR,175.286128
90.1887095,348,0.9886363636363636,HEURISTIC_NOT_FOUND,88.726322,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,6,2.247159090909091,2.0,2,2,2,3,3,0.0,1.0,e988bde6e2ef7713682e3acf84a2ad66c22a01f3d411c1880bcb186b5fbfed05,CELF,HEURISTIC_NOT_FOUND,348,18771968,True,8,M,M_ROR,ROR,178.9150315
90.192114,348,0.9886363636363636,HEURISTIC_NOT_FOUND,92.6267575,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,6,2.247159090909091,2.0,2,2,2,3,3,0.0,1.0,e988bde6e2ef7713682e3acf84a2ad66c22a01f3d411c1880bcb186b5fbfed05,CELF,HEURISTIC_NOT_FOUND,348,18776064,True,12,M,M_ROR,ROR,182.8188715
91.49413799999999,348,0.9886363636363636,HEURISTIC_NOT_FOUND,91.338344,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,False,6,2.247159090909091,2.0,2,2,2,3,3,0.0,1.0,e988bde6e2ef7713682e3acf84a2ad66c22a01f3d411c1880bcb186b5fbfed05,CELF,HEURISTIC_NOT_FOUND,348,18776064,True,16,M,M_ROR,ROR,182.83248200000003
