HNF_flows,HNF_rate,K,K5_HNF_rescued,backend,flow_kind,new_HNF,scenario,total_flows
1,0.015625,5,0,H2S,MachineStatus,0,L_ROR,64
0,0.0,5,0,H2S,SensorCyclic,0,L_ROR,256
0,0.0,5,0,H2S,SensorFast,0,L_ROR,256
11,0.04296875,8,0,H2S,ControlCommand,0,L_ROR,256
0,0.0,8,0,H2S,InterCellNext,0,L_ROR,16
1,0.0625,8,0,H2S,InterCellPrevious,0,L_ROR,16
1,0.015625,8,0,H2S,MachineCoordination,0,L_ROR,64
1,0.015625,8,0,H2S,MachineStatus,0,L_ROR,64
0,0.0,8,0,H2S,SensorCyclic,0,L_ROR,256
0,0.0,8,0,H2S,SensorFast,0,L_ROR,256
11,0.04296875,12,0,H2S,ControlCommand,0,L_ROR,256
0,0.0,12,0,H2S,InterCellNext,0,L_ROR,16
1,0.0625,12,0,H2S,InterCellPrevious,0,L_ROR,16
1,0.015625,12,0,H2S,MachineCoordination,0,L_ROR,64
1,0.015625,12,0,H2S,MachineStatus,0,L_ROR,64
0,0.0,12,0,H2S,SensorCyclic,0,L_ROR,256
0,0.0,12,0,H2S,SensorFast,0,L_ROR,256
11,0.04296875,16,0,H2S,ControlCommand,0,L_ROR,256
0,0.0,16,0,H2S,InterCellNext,0,L_ROR,16
1,0.0625,16,0,H2S,InterCellPrevious,0,L_ROR,16
1,0.015625,16,0,H2S,MachineCoordination,0,L_ROR,64
1,0.015625,16,0,H2S,MachineStatus,0,L_ROR,64
0,0.0,16,0,H2S,SensorCyclic,0,L_ROR,256
0,0.0,16,0,H2S,SensorFast,0,L_ROR,256
12,0.046875,5,0,CELF,ControlCommand,0,L_ROR,256
0,0.0,5,0,CELF,InterCellNext,0,L_ROR,16
0,0.0,5,0,CELF,InterCellPrevious,0,L_ROR,16
2,0.03125,5,0,CELF,MachineCoordination,0,L_ROR,64
0,0.0,5,0,CELF,MachineStatus,0,L_ROR,64
0,0.0,5,0,CELF,SensorCyclic,0,L_ROR,256
0,0.0,5,0,CELF,SensorFast,0,L_ROR,256
12,0.046875,8,0,CELF,ControlCommand,0,L_ROR,256
0,0.0,8,0,CELF,InterCellNext,0,L_ROR,16
0,0.0,8,0,CELF,InterCellPrevious,0,L_ROR,16
2,0.03125,8,0,CELF,MachineCoordination,0,L_ROR,64
0,0.0,8,0,CELF,MachineStatus,0,L_ROR,64
0,0.0,8,0,CELF,SensorCyclic,0,L_ROR,256
0,0.0,8,0,CELF,SensorFast,0,L_ROR,256
12,0.046875,12,0,CELF,ControlCommand,0,L_ROR,256
0,0.0,12,0,CELF,InterCellNext,0,L_ROR,16
0,0.0,12,0,CELF,InterCellPrevious,0,L_ROR,16
2,0.03125,12,0,CELF,MachineCoordination,0,L_ROR,64
0,0.0,12,0,CELF,MachineStatus,0,L_ROR,64
0,0.0,12,0,CELF,SensorCyclic,0,L_ROR,256
0,0.0,12,0,CELF,SensorFast,0,L_ROR,256
12,0.046875,16,0,CELF,ControlCommand,0,L_ROR,256
0,0.0,16,0,CELF,InterCellNext,0,L_ROR,16
0,0.0,16,0,CELF,InterCellPrevious,0,L_ROR,16
2,0.03125,16,0,CELF,MachineCoordination,0,L_ROR,64
0,0.0,16,0,CELF,MachineStatus,0,L_ROR,64
0,0.0,16,0,CELF,SensorCyclic,0,L_ROR,256
0,0.0,16,0,CELF,SensorFast,0,L_ROR,256
